family,variant,symbol,timeframe,requested_range,actual_range,net_perf_pct,asset_symbol,asset_perf_pct,excess_vs_asset_pct,beat_asset,max_drawdown_pct,positions,win_rate_pct,notes
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 3-month lookback, defensive BIL",QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,555.38,QQQ,367.0,188.38,True,-42.02,38,71.05,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 12-month lookback, defensive AGG",SPY/QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,392.21,SPY,210.16,182.04,True,-69.92,17,64.71,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 3-month lookback, defensive AGG",SPY/QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,391.9,SPY,210.16,181.74,True,-43.01,41,60.98,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 3-month lookback, defensive AGG",QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,529.96,QQQ,367.0,162.97,True,-42.02,38,65.79,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/SPY rotation, 12-month lookback, defensive BIL",SPY/QQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,354.57,SPY,210.16,144.4,True,-28.56,19,73.68,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/SPY rotation, 12-month lookback, defensive AGG",SPY/QQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,331.04,SPY,210.16,120.88,True,-28.56,19,68.42,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Moving-average crossover / trend following,"SMA3/SMA40 cross, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1276.69,TQQQ,1159.15,117.54,True,-56.51,42,42.86,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA3/SMA40 cross, 20% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1276.69,TQQQ,1159.15,117.54,True,-56.51,42,42.86,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 9-month lookback, defensive BIL",QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,481.89,QQQ,367.0,114.89,True,-69.92,19,78.95,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 12-month lookback, defensive BIL",QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,460.73,QQQ,367.0,93.73,True,-69.92,12,83.33,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 9-month lookback, defensive AGG",QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,456.33,QQQ,367.0,89.33,True,-69.92,19,63.16,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 12-month lookback, defensive AGG",QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,438.57,QQQ,367.0,71.57,True,-69.92,12,75.0,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 1-month lookback, defensive BIL",SPY/QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,266.76,SPY,210.16,56.6,True,-70.68,59,69.49,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 1-month lookback, defensive AGG",SPY/QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,260.01,SPY,210.16,49.85,True,-71.05,59,61.02,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Moving-average crossover / trend following,"SMA5/SMA252 cross, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1191.92,TQQQ,1159.15,32.78,True,-51.56,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA5/SMA252 cross, 20% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1191.92,TQQQ,1159.15,32.78,True,-51.56,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA5/SMA252 state, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1191.92,TQQQ,1159.15,32.78,True,-51.56,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA5/SMA252 state, 20% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1191.92,TQQQ,1159.15,32.78,True,-51.56,7,71.43,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 1-month lookback, defensive BIL",QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,390.82,QQQ,367.0,23.82,True,-74.9,50,72.0,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/SPY rotation, 3-month lookback, defensive BIL",SPY/QQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,232.72,SPY,210.16,22.56,True,-28.56,31,70.97,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Momentum / relative strength rotation,"QQQ/TQQQ rotation, 1-month lookback, defensive AGG",QQQ/TQQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,382.56,QQQ,367.0,15.56,True,-75.62,50,62.0,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Moving-average crossover / trend following,"SMA5/SMA252 state, 10% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1170.75,TQQQ,1159.15,11.6,True,-51.56,8,62.5,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Momentum / relative strength rotation,"QQQ/SPY rotation, 3-month lookback, defensive AGG",SPY/QQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,217.25,SPY,210.16,7.08,True,-28.56,31,61.29,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Moving-average crossover / trend following,"SMA3/SMA40 state, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1165.13,TQQQ,1159.15,5.98,True,-56.51,43,41.86,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Moving-average crossover / trend following,"SMA3/SMA40 state, 20% stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1165.13,TQQQ,1159.15,5.98,True,-56.51,43,41.86,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Momentum / relative strength rotation,"QQQ/SPY rotation, 9-month lookback, defensive BIL",SPY/QQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,215.35,SPY,210.16,5.19,True,-28.56,23,69.57,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Moving-average crossover / trend following,"SMA5/SMA20 cross, no stop",TQQQ,1d,2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,1162.75,TQQQ,1159.15,3.6,True,-57.1,58,50.0,Daily ETF parameter search; optimized in-sample; no costs/slippage.
Momentum / relative strength rotation,"SPY/QQQ/TQQQ rotation, 6-month lookback, defensive BIL",SPY/QQQ/TQQQ/BIL,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,203.47,SPY,210.16,-6.7,False,-70.5,25,68.0,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Opening range breakout,"long-only, 3-bar ORB, no volume filter, 2.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,8.39,QQQ,16.77,-8.37,False,-4.39,56,62.5,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 3-bar ORB, no volume filter, no target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,8.14,QQQ,16.77,-8.63,False,-4.39,48,56.25,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 3-bar ORB, no volume filter, 3.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,8.09,QQQ,16.77,-8.68,False,-4.39,49,57.14,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 3-bar ORB, volume >= 1.0x SMA20, 1.5R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.95,QQQ,16.77,-8.82,False,-2.9,48,62.5,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 3-bar ORB, no volume filter, 1.5R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.88,QQQ,16.77,-8.89,False,-4.4,58,60.34,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Momentum / relative strength rotation,"QQQ/SPY rotation, 9-month lookback, defensive AGG",SPY/QQQ/AGG,"Daily signal, monthly rebalance",2018-01-02 to 2026-05-19,2018-01-02 00:00:00 to 2026-05-19 00:00:00,201.23,SPY,210.16,-8.93,False,-28.56,23,60.87,GEM-style monthly ETF rotation parameter search; benchmark is listed in asset_symbol.
Opening range breakout,"long-only, 3-bar ORB, volume >= 1.0x SMA20, 1.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.73,QQQ,16.77,-9.03,False,-2.96,56,66.07,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 3-bar ORB, no volume filter, 0.5R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.7,QQQ,16.77,-9.07,False,-4.28,93,67.74,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 3 bars, no target, no stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.68,QQQ,16.77,-9.09,False,-6.16,155,29.03,Intraday VWAP parameter search; source proxy only; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 3 bars, no target, 0.5% stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.68,QQQ,16.77,-9.09,False,-6.16,155,29.03,Intraday VWAP parameter search; source proxy only; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 3 bars, no target, 1.0% stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.68,QQQ,16.77,-9.09,False,-6.16,155,29.03,Intraday VWAP parameter search; source proxy only; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 3 bars, no target, 2.0% stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.68,QQQ,16.77,-9.09,False,-6.16,155,29.03,Intraday VWAP parameter search; source proxy only; no costs/slippage.
Opening range breakout,"long-only, 3-bar ORB, volume >= 1.0x SMA20, 2.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.68,QQQ,16.77,-9.09,False,-2.9,45,62.22,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 6-bar ORB, no volume filter, 3.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.6,QQQ,16.77,-9.17,False,-3.32,44,63.64,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 6-bar ORB, no volume filter, no target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.56,QQQ,16.77,-9.21,False,-3.32,43,62.79,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 3 bars, 2.0% target, no stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.51,QQQ,16.77,-9.26,False,-6.16,155,29.03,Intraday VWAP parameter search; source proxy only; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 3 bars, 2.0% target, 0.5% stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.51,QQQ,16.77,-9.26,False,-6.16,155,29.03,Intraday VWAP parameter search; source proxy only; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 3 bars, 2.0% target, 1.0% stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.51,QQQ,16.77,-9.26,False,-6.16,155,29.03,Intraday VWAP parameter search; source proxy only; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 3 bars, 2.0% target, 2.0% stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.51,QQQ,16.77,-9.26,False,-6.16,155,29.03,Intraday VWAP parameter search; source proxy only; no costs/slippage.
Opening range breakout,"long-only, 6-bar ORB, no volume filter, 1.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.51,QQQ,16.77,-9.26,False,-3.32,56,66.07,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 6-bar ORB, no volume filter, 1.5R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.43,QQQ,16.77,-9.34,False,-3.32,46,65.22,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 3-bar ORB, volume >= 1.0x SMA20, no target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.36,QQQ,16.77,-9.41,False,-2.9,43,60.47,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 3-bar ORB, volume >= 1.0x SMA20, 3.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.36,QQQ,16.77,-9.41,False,-2.9,43,60.47,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 2-bar ORB, no volume filter, no target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.33,QQQ,16.77,-9.44,False,-4.81,53,52.83,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 6-bar ORB, no volume filter, 2.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.33,QQQ,16.77,-9.44,False,-3.32,45,62.22,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long+short, 3-bar ORB, volume >= 1.0x SMA20, 1.5R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.32,QQQ,16.77,-9.45,False,-4.38,87,52.87,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 2-bar ORB, no volume filter, 1.5R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.27,QQQ,16.77,-9.5,False,-4.86,64,57.81,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 2-bar ORB, no volume filter, 2.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.27,QQQ,16.77,-9.5,False,-4.81,63,58.73,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 3-bar ORB, no volume filter, 1.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.18,QQQ,16.77,-9.58,False,-4.45,66,63.64,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 1-bar ORB, volume >= 2.0x SMA20, no target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.13,QQQ,16.77,-9.64,False,-1.46,33,75.76,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 1-bar ORB, volume >= 2.0x SMA20, 1.5R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.13,QQQ,16.77,-9.64,False,-1.46,33,75.76,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 1-bar ORB, volume >= 2.0x SMA20, 2.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.13,QQQ,16.77,-9.64,False,-1.46,33,75.76,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 1-bar ORB, volume >= 2.0x SMA20, 3.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.13,QQQ,16.77,-9.64,False,-1.46,33,75.76,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 2-bar ORB, no volume filter, 3.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.08,QQQ,16.77,-9.69,False,-4.81,55,52.73,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 6-bar ORB, no volume filter, 0.5R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.08,QQQ,16.77,-9.69,False,-3.38,72,69.44,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 2-bar ORB, no volume filter, 1.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,7.06,QQQ,16.77,-9.71,False,-4.55,74,62.16,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 2-bar ORB, volume >= 2.0x SMA20, no target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,6.96,QQQ,16.77,-9.8,False,-1.46,33,75.76,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 2-bar ORB, volume >= 2.0x SMA20, 1.5R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,6.96,QQQ,16.77,-9.8,False,-1.46,33,75.76,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 2-bar ORB, volume >= 2.0x SMA20, 2.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,6.96,QQQ,16.77,-9.8,False,-1.46,33,75.76,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
Opening range breakout,"long-only, 2-bar ORB, volume >= 2.0x SMA20, 3.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,6.96,QQQ,16.77,-9.8,False,-1.46,33,75.76,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 1 bars, no target, no stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,6.96,QQQ,16.77,-9.81,False,-6.18,170,29.41,Intraday VWAP parameter search; source proxy only; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 1 bars, no target, 0.5% stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,6.96,QQQ,16.77,-9.81,False,-6.18,170,29.41,Intraday VWAP parameter search; source proxy only; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 1 bars, no target, 1.0% stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,6.96,QQQ,16.77,-9.81,False,-6.18,170,29.41,Intraday VWAP parameter search; source proxy only; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 1 bars, no target, 2.0% stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,6.96,QQQ,16.77,-9.81,False,-6.18,170,29.41,Intraday VWAP parameter search; source proxy only; no costs/slippage.
Opening range breakout,"long-only, 1-bar ORB, volume >= 2.0x SMA20, 1.0R target",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,6.94,QQQ,16.77,-9.83,False,-1.46,37,72.97,Intraday ORB parameter search; ETF proxy for stocks-in-play; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 2 bars, no target, no stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,6.87,QQQ,16.77,-9.9,False,-6.43,161,27.95,Intraday VWAP parameter search; source proxy only; no costs/slippage.
VWAP trend / reclaim,"long-only reclaim, after 2 bars, no target, 0.5% stop",QQQ,5m,period=60d; interval=5m,2026-02-24 09:30:00-05:00 to 2026-05-19 15:55:00-04:00,6.87,QQQ,16.77,-9.9,False,-6.43,161,27.95,Intraday VWAP parameter search; source proxy only; no costs/slippage.
