family,variant,symbol,timeframe,requested_range,actual_range,net_perf_pct,asset_symbol,asset_perf_pct,excess_vs_asset_pct,beat_asset,strategy_max_drawdown_pct,asset_max_drawdown_pct,positions,win_rate_pct,notes
Moving-average trend,"SMA8/SMA126 cross, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,32950.13,SOXL,28725.16,4224.97,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 state, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,32950.13,SOXL,28725.16,4224.97,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 6-month return if positive, else BIL",SMH/SOXL/BIL,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,7784.62,SMH,4807.43,2977.19,True,-87.32,-45.3,49,61.22,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
Moving-average trend,"SMA3/SMA150 cross, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 cross, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 cross, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 state, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 state, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 state, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 cross, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31320.0,SOXL,28725.16,2594.84,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 cross, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31320.0,SOXL,28725.16,2594.84,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 state, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31320.0,SOXL,28725.16,2594.84,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 state, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31320.0,SOXL,28725.16,2594.84,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA63/SMA200 cross, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,30767.2,SOXL,28725.16,2042.04,True,-80.38,-90.46,8,75.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 state, 10% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,30230.3,SOXL,28725.16,1505.15,True,-62.24,-90.46,35,40.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 state, 10% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,30068.62,SOXL,28725.16,1343.46,True,-66.39,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
VWAP intraday,"long-only pullback, after 3 bars, no target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,19.57,SMH,32.19,-12.62,False,-2.62,-15.69,95,43.16,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 3 bars, no target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,19.57,SMH,32.19,-12.62,False,-2.62,-15.69,95,43.16,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short pullback, after 3 bars, 2.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,19.06,SMH,32.19,-13.13,False,-5.05,-15.69,130,37.69,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short pullback, after 3 bars, 2.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,19.06,SMH,32.19,-13.13,False,-5.05,-15.69,130,37.69,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 3 bars, 1.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,18.0,SMH,32.19,-14.2,False,-4.22,-15.69,124,45.16,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 3 bars, 1.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,18.0,SMH,32.19,-14.2,False,-4.22,-15.69,124,45.16,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 3 bars, 2.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,17.26,SMH,32.19,-14.93,False,-2.62,-15.69,95,43.16,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 3 bars, 2.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,17.26,SMH,32.19,-14.93,False,-2.62,-15.69,95,43.16,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, 1.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,17.01,SMH,32.19,-15.18,False,-4.31,-15.69,147,44.9,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, 1.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,17.01,SMH,32.19,-15.18,False,-4.31,-15.69,147,44.9,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short pullback, after 3 bars, 1.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,16.94,SMH,32.19,-15.26,False,-5.33,-15.69,136,36.76,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short pullback, after 3 bars, 1.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,16.94,SMH,32.19,-15.26,False,-5.33,-15.69,136,36.76,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 3 bars, 1.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,16.37,SMH,32.19,-15.82,False,-2.62,-15.69,98,42.86,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 3 bars, 1.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,16.37,SMH,32.19,-15.82,False,-2.62,-15.69,98,42.86,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 3 bars, no target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,16.31,SMH,32.19,-15.88,False,-4.16,-15.69,104,41.35,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 3 bars, no target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,16.31,SMH,32.19,-15.88,False,-4.16,-15.69,104,41.35,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short pullback, after 3 bars, no target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,16.05,SMH,32.19,-16.15,False,-5.05,-15.69,128,37.5,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short pullback, after 3 bars, no target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,16.05,SMH,32.19,-16.15,False,-5.05,-15.69,128,37.5,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, no target, no stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,15.81,SMH,32.06,-16.25,False,-2.39,-15.68,58,46.55,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, no target, 1.0% stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,15.81,SMH,32.06,-16.25,False,-2.39,-15.68,58,46.55,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 3 bars, 2.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,15.83,SMH,32.19,-16.36,False,-4.16,-15.69,107,42.06,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 3 bars, 2.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,15.83,SMH,32.19,-16.36,False,-4.16,-15.69,107,42.06,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, no target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,15.0,SMH,32.19,-17.2,False,-4.01,-15.69,102,44.12,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, no target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,15.0,SMH,32.19,-17.2,False,-4.01,-15.69,102,44.12,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 1 bars, no target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,15.0,SMH,32.19,-17.2,False,-4.63,-15.69,121,41.32,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 1 bars, no target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,15.0,SMH,32.19,-17.2,False,-4.63,-15.69,121,41.32,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, no target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,14.75,SMH,32.19,-17.44,False,-4.63,-15.69,123,41.46,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, no target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,14.75,SMH,32.19,-17.44,False,-4.63,-15.69,123,41.46,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, 2.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,14.69,SMH,32.19,-17.5,False,-4.36,-15.69,127,41.73,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, 2.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,14.69,SMH,32.19,-17.5,False,-4.36,-15.69,127,41.73,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, 2.0% target, no stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,13.66,SMH,32.06,-18.4,False,-2.39,-15.68,58,46.55,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, 2.0% target, 1.0% stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,13.66,SMH,32.06,-18.4,False,-2.39,-15.68,58,46.55,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, 1.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,13.31,SMH,32.19,-18.88,False,-2.96,-15.69,102,44.12,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, 1.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,13.31,SMH,32.19,-18.88,False,-2.96,-15.69,102,44.12,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 1 bars, 2.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,12.74,SMH,32.19,-19.46,False,-4.15,-15.69,121,41.32,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 1 bars, 2.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,12.74,SMH,32.19,-19.46,False,-4.15,-15.69,121,41.32,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 1 bars, 1.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,12.72,SMH,32.19,-19.47,False,-4.41,-15.69,126,42.06,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 1 bars, 1.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,12.72,SMH,32.19,-19.47,False,-4.41,-15.69,126,42.06,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, no target, no stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,12.48,SMH,32.06,-19.58,False,-5.55,-15.68,81,40.74,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, no target, 1.0% stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,12.48,SMH,32.06,-19.58,False,-5.55,-15.68,81,40.74,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short pullback, after 1 bars, 2.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,12.47,SMH,32.19,-19.73,False,-6.46,-15.69,161,35.4,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short pullback, after 1 bars, 2.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,12.47,SMH,32.19,-19.73,False,-6.46,-15.69,161,35.4,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, 2.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,12.17,SMH,32.19,-20.03,False,-4.01,-15.69,102,44.12,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, 2.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,12.17,SMH,32.19,-20.03,False,-4.01,-15.69,102,44.12,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, 1.0% target, no stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,11.6,SMH,32.06,-20.46,False,-2.6,-15.68,58,46.55,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 1 bars, 1.0% target, 1.0% stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,11.6,SMH,32.06,-20.46,False,-2.6,-15.68,58,46.55,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, 2.0% target, no stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,11.45,SMH,32.06,-20.61,False,-5.55,-15.68,84,41.67,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, 2.0% target, 1.0% stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,11.45,SMH,32.06,-20.61,False,-5.55,-15.68,84,41.67,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short reclaim, after 1 bars, 2.0% target, no stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,11.54,SMH,32.19,-20.65,False,-4.22,-15.69,115,37.39,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long+short reclaim, after 1 bars, 2.0% target, 1.0% stop",SMH,15m,period=60d; interval=15m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:45:00-04:00,11.54,SMH,32.19,-20.65,False,-4.22,-15.69,115,37.39,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, 1.0% target, no stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,11.4,SMH,32.06,-20.66,False,-5.34,-15.68,93,43.01,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only state, after 1 bars, 1.0% target, 1.0% stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,11.4,SMH,32.06,-20.66,False,-5.34,-15.68,93,43.01,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 6 bars, no target, no stop",SMH,5m,period=60d; interval=5m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:55:00-04:00,11.97,SMH,32.75,-20.78,False,-4.89,-15.77,162,30.25,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only reclaim, after 6 bars, no target, 1.0% stop",SMH,5m,period=60d; interval=5m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:55:00-04:00,11.97,SMH,32.75,-20.78,False,-4.89,-15.77,162,30.25,Intraday VWAP parameter search; no costs/slippage.
VWAP intraday,"long-only pullback, after 1 bars, no target, no stop",SMH,30m,period=60d; interval=30m,2026-02-25 09:30:00-05:00 to 2026-05-20 15:30:00-04:00,10.94,SMH,32.06,-21.12,False,-6.0,-15.68,79,41.77,Intraday VWAP parameter search; no costs/slippage.
