date,baseline,is_rank_1_with_exit_profiles,is_rank_2_with_exit_profiles,is_rank_3_with_exit_profiles,risk_first_trend_runner__one_r_invalidation,risk_first_trend_runner__trend_structure_break,risk_first_trend_runner__time_and_volatility_failure,volatility_ladder__one_r_invalidation,volatility_ladder__trend_structure_break,volatility_ladder__time_and_volatility_failure,structure_ladder__one_r_invalidation,structure_ladder__trend_structure_break,structure_ladder__time_and_volatility_failure
2018-08-28,21.152775935244748,26.590075951619617,27.954656211451105,23.443041968096654,26.590075951619617,26.545674207634743,23.443041968096654,27.954656211451105,25.06099485232392,27.61132831093556,26.748630985754968,22.973943915506084,27.76829414711495
2018-08-29,21.892592128755183,27.21006609179167,28.932367477932655,23.98965397861911,27.21006609179167,27.474106471399146,23.98965397861911,28.932367477932655,25.718374167714575,28.57703171890894,27.684161642254946,23.77745527446547,28.739487419292868
2018-08-30,21.768786281765994,27.107481459226964,28.80965486446249,23.899210617311233,27.107481459226964,27.370526380564222,23.899210617311233,28.80965486446249,25.60929325994818,28.455826212649498,27.527603612938577,23.642990247565518,28.576961366596386
2018-08-31,21.832197440950747,27.16012309634474,28.872595452434027,23.945621921681585,27.16012309634474,27.423678840323916,23.945621921681585,28.872595452434027,25.665242002926874,28.517993789507535,27.607789859065534,23.71186084966462,28.660204328458324
2018-09-04,21.57250535918486,26.94474490160936,28.615017701523705,23.755734534094533,26.94474490160936,27.206210663884512,23.755734534094533,28.615017701523705,25.436277643883574,28.26357950545478,27.2793976099185,23.429810335819308,28.319293701114304
2018-09-05,20.714923512578995,26.23064691115635,27.76185811322336,23.12615268596507,26.23064691115635,26.485183226665733,23.12615268596507,27.76185811322336,24.677892505390602,27.42089808179507,26.194947019359304,22.49839417998268,27.193503637215436
2018-09-06,20.150241520410614,25.753954380940545,27.438826717728016,22.70587848245921,25.753954380940545,26.003864979033086,22.70587848245921,27.438826717728016,24.42977026384663,27.101834028626424,25.480881391327667,21.88509536483487,26.452217684671304
2018-09-07,19.950941709404788,25.584138112300952,27.16743776323208,22.55616059824455,25.584138112300952,25.832400851403225,22.55616059824455,27.16743776323208,24.18814295672137,26.833778164663435,25.228857868909362,21.66863665064834,26.190586975188246
2018-09-10,20.126081953357776,25.733865787835622,27.405928344114646,22.754170874018005,25.733865787835622,25.98358145072546,22.754170874018005,27.405928344114646,24.400479663424946,27.06933969967229,25.45033053852942,21.858855757315084,26.42050222725598
2018-09-11,20.57299466686416,26.11482391685792,28.014494772037118,23.259442007886104,26.11482391685792,26.368236312003468,23.259442007886104,28.014494772037118,24.94230815257205,27.670431958267034,26.015471647810806,22.344245837872545,27.00718662861879
