rank_drawdown_first,variant,cash_mode,cash_sma,exit_buffer_pct,reentry_buffer_pct,dca_start_below_sma_pct,dca_max_below_sma_pct,dca_entry_exposure,dca_max_exposure,dca_filter,recover_buffer_pct,max_dca_days,normal_exposure,trade_events,2010_return_pct,2010_cagr_pct,2010_max_drawdown_pct,2010_calmar,2010_sharpe,2010_2022_return_pct,2010_2022_drawdown_pct,2010_cash_days_pct,2010_deep_dca_days_pct,2010_avg_exposure,2020_return_pct,2020_cagr_pct,2020_max_drawdown_pct,2020_calmar,2020_sharpe,2020_2022_return_pct,2020_2022_drawdown_pct,2020_cash_days_pct,2020_deep_dca_days_pct,2020_avg_exposure
256,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->1.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,1.0,1.0,none,5.0,20,1.0,185,313236.04,65.96,-75.64,0.872,1.12,-73.6,-75.34,17.06,8.53,0.829,4622.49,82.9,-75.64,1.096,1.16,-73.6,-75.34,9.15,15.63,0.908
257,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 0.67->2.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,200,0.0,1.0,25.0,50.0,0.67,2.0,none,5.0,20,1.0,149,688375.22,74.39,-76.34,0.974,1.14,-50.85,-76.05,13.73,6.85,0.876,33425.14,148.62,-76.34,1.947,1.44,-50.85,-76.05,6.29,14.07,0.974
258,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.50->2.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,200,0.0,1.0,20.0,50.0,0.5,2.0,none,5.0,20,1.0,173,720163.78,74.89,-76.46,0.979,1.14,-58.62,-76.17,12.11,8.48,0.882,29024.24,143.2,-76.46,1.873,1.42,-58.62,-76.17,4.86,15.5,0.979
259,selected_and_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,150,0.0,1.0,20.0,50.0,1.0,2.0,none,5.0,63,1.0,214,199975.74,61.34,-76.69,0.8,1.02,-64.69,-76.69,17.21,8.73,0.859,11986.67,111.91,-76.69,1.459,1.25,-64.69,-76.69,10.59,16.06,0.967
260,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->1.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,150,0.0,1.0,25.0,50.0,1.0,1.0,none,5.0,63,1.0,142,197595.68,61.22,-76.75,0.798,1.07,-74.8,-76.46,13.36,6.9,0.866,9798.7,105.38,-76.75,1.373,1.29,-74.8,-76.46,6.72,14.13,0.933
261,selected_or_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->1.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,200,0.0,1.0,25.0,50.0,1.0,1.0,none,5.0,20,1.0,149,211066.58,61.89,-76.88,0.805,1.07,-74.0,-76.6,13.73,6.85,0.863,10562.47,107.78,-76.88,1.402,1.3,-74.0,-76.6,6.29,14.07,0.937
262,selected_and_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,150,0.0,1.0,25.0,50.0,1.0,2.0,none,5.0,63,1.0,190,82092.27,52.56,-77.16,0.681,0.95,-71.21,-76.93,18.91,7.03,0.838,8111.91,99.46,-77.16,1.289,1.2,-71.21,-76.93,12.2,14.45,0.942
263,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->2.00; filter=none; recover=5%; maxDays=20; normal=1.00,selected_or_qqq,150,0.0,1.0,25.0,50.0,1.0,2.0,none,5.0,20,1.0,154,516989.8,71.28,-77.23,0.923,1.1,-67.64,-76.95,13.51,6.75,0.892,22130.59,133.13,-77.23,1.724,1.35,-67.64,-76.95,7.04,13.82,0.993
264,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->1.00; filter=none; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,25.0,50.0,1.0,1.0,none,5.0,63,1.0,143,142228.57,57.92,-77.33,0.749,1.05,-75.43,-77.05,18.56,7.03,0.814,4129.11,79.77,-77.33,1.032,1.14,-75.43,-77.05,10.34,14.45,0.897
265,selected_or_qqq; cashSMA150; exit 0%; reentry 1%; DCA below SMA200 25%->50%; exp 1.00->1.50; filter=none; recover=5%; maxDays=63; normal=1.00,selected_or_qqq,150,0.0,1.0,25.0,50.0,1.0,1.5,none,5.0,63,1.0,142,299964.64,65.51,-77.39,0.847,1.08,-74.0,-77.11,13.36,6.9,0.88,13560.6,116.01,-77.39,1.499,1.31,-74.0,-77.11,6.72,14.13,0.965
