period,signal_date,trade_date,action,ticker,price,old_weight,new_weight,score,rank,equity_before_trade
2020,2020-08-31,2020-09-01,BUY,EQT,14.590033716753457,0.0,0.5,1.3609757320409988,2,1.7551994131107234
2020,2020-09-30,2020-10-01,SELL,EQT,11.965321080723037,0.5,0.0,,,1.6740392733416012
2020,2020-09-30,2020-10-01,SELL,MRNA,69.56999969482422,0.5,0.0,,,1.6740392733416012
2020,2020-09-30,2020-10-01,BUY,TSLA,146.9199981689453,0.0,0.5,4.174017995285337,1,1.6740392733416012
2020,2020-09-30,2020-10-01,BUY,CVNA,45.459999084472656,0.0,0.5,3.2713606956993457,2,1.6740392733416012
2020,2020-11-30,2020-12-01,SELL,CVNA,50.29999923706055,0.5,0.0,,,2.0719500434932083
2020,2020-11-30,2020-12-01,BUY,FDX,264.9893507760573,0.0,0.5,1.004983298252704,2,2.0719500434932083
2021,2020-12-31,2021-01-04,BUY,TSLA,239.82000732421875,0.0,0.5,1.419042607101007,1,1.0
2021,2020-12-31,2021-01-04,BUY,MRNA,107.2300033569336,0.0,0.5,1.4075464442813863,2,1.0
2021,2021-01-29,2021-02-01,SELL,MRNA,173.02999877929688,0.5,0.0,,,1.362726018346864
2021,2021-01-29,2021-02-01,BUY,TPR,28.36586199449587,0.0,0.5,1.2639096858174228,1,1.362726018346864
2021,2021-02-26,2021-03-01,SELL,TSLA,230.0366668701172,0.5,0.0,,,1.4624917031847395
2021,2021-02-26,2021-03-01,BUY,MRNA,154.46299743652344,0.0,0.5,1.2089361096104834,1,1.4624917031847395
2021,2021-03-31,2021-04-01,SELL,MRNA,132.1999969482422,0.5,0.0,,,1.3358085516289926
2021,2021-03-31,2021-04-01,BUY,OXY,25.161752667453584,0.0,0.5,1.7862418837285947,1,1.3358085516289926
2021,2021-04-30,2021-05-03,SELL,OXY,24.064090508820005,0.5,0.0,,,1.4136086125074339
2021,2021-04-30,2021-05-03,SELL,TPR,42.71617768398199,0.5,0.0,,,1.4136086125074339
2021,2021-04-30,2021-05-03,BUY,TPL,164.76967767135767,0.0,0.5,2.597044738124836,1,1.4136086125074339
2021,2021-04-30,2021-05-03,BUY,FANG,67.19346867456667,0.0,0.5,2.039500969000795,2,1.4136086125074339
2021,2021-06-30,2021-07-01,SELL,FANG,78.46910849680933,0.5,0.0,,,1.5572074739570854
2021,2021-06-30,2021-07-01,BUY,NUE,90.27283069635727,0.0,0.5,1.1540869275283105,2,1.5572074739570854
2021,2021-08-31,2021-09-01,SELL,NUE,108.69037821765616,0.5,0.0,,,1.5726466735838074
2021,2021-08-31,2021-09-01,SELL,TPL,142.49481299155104,0.5,0.0,,,1.5726466735838074
2021,2021-08-31,2021-09-01,BUY,MRNA,382.8370056152344,0.0,0.5,1.6414417171707538,1,1.5726466735838074
2021,2021-08-31,2021-09-01,BUY,BX,106.72575466801092,0.0,0.5,0.6806537786737306,2,1.5726466735838074
2021,2021-10-29,2021-11-01,SELL,BX,119.34793693518232,0.5,0.0,,,1.5713663569812353
2021,2021-10-29,2021-11-01,BUY,DDOG,167.4600067138672,0.0,0.5,0.7631284686528661,2,1.5713663569812353
2021,2021-11-30,2021-12-01,SELL,MRNA,330.0,0.5,0.0,,,1.6806180568156168
2021,2021-11-30,2021-12-01,BUY,TSLA,386.8999938964844,0.0,0.5,0.840957230808149,1,1.6806180568156168
2022,2021-12-31,2022-01-03,BUY,BLDR,86.19999694824219,0.0,0.5,0.6232085979011757,1,1.0
2022,2021-12-31,2022-01-03,BUY,TSLA,382.5833435058594,0.0,0.5,0.6129032040557227,2,1.0
2022,2022-01-31,2022-02-01,SELL,TSLA,311.7366638183594,0.5,0.0,,,0.8085777972910522
2022,2022-01-31,2022-02-01,BUY,DVN,40.99304207709582,0.0,0.5,0.7764719474566668,2,0.8085777972910522
2022,2022-02-28,2022-03-01,SELL,BLDR,76.5,0.5,0.0,,,0.937372733934747
2022,2022-02-28,2022-03-01,BUY,APA,31.60517594707705,0.0,0.5,0.7691453181806529,1,0.937372733934747
2022,2022-04-29,2022-05-02,SELL,APA,35.20550022960548,0.5,0.0,,,0.9776372114796398
2022,2022-04-29,2022-05-02,SELL,DVN,47.62498187278123,0.5,0.0,,,0.9776372114796398
2022,2022-04-29,2022-05-02,BUY,CF,88.24001062556951,0.0,0.5,0.7697677241781575,1,0.9776372114796398
2022,2022-04-29,2022-05-02,BUY,OXY,51.33543466427464,0.0,0.5,0.7036918179875249,2,0.9776372114796398
2022,2022-05-31,2022-06-01,SELL,CF,91.05683565827314,0.5,0.0,,,1.1334947081987774
2022,2022-05-31,2022-06-01,BUY,EQT,45.64574879831999,0.0,0.5,0.9304981966643988,1,1.1334947081987774
2022,2022-08-31,2022-09-01,SELL,OXY,65.30665209080266,0.5,0.0,,,1.121673341881062
2022,2022-08-31,2022-09-01,BUY,TPL,191.29547194392248,0.0,0.5,0.49009300303282677,2,1.121673341881062
2022,2022-09-30,2022-10-03,SELL,EQT,38.59927701668132,0.5,0.0,,,1.055866401469591
2022,2022-09-30,2022-10-03,SELL,TPL,195.03485062740512,0.5,0.0,,,1.055866401469591
2022,2022-09-30,2022-10-03,BUY,SMCI,5.65500020980835,0.0,0.5,0.7094825402382245,1,1.055866401469591
2022,2022-09-30,2022-10-03,BUY,FSLR,132.6999969482422,0.0,0.5,0.5231670206065631,2,1.055866401469591
2022,2022-10-31,2022-11-01,SELL,SMCI,7.019999980926514,0.5,0.0,,,1.2514943949864865
2022,2022-10-31,2022-11-01,BUY,CEG,92.6583695267165,0.0,0.5,0.435470941775298,2,1.2514943949864865
2022,2022-11-30,2022-12-01,SELL,CEG,94.51504307898357,0.5,0.0,,,1.3674873834048158
2022,2022-11-30,2022-12-01,BUY,DXCM,116.38999938964844,0.0,0.5,0.7020256640086218,2,1.3674873834048158
2023,2022-12-30,2023-01-03,BUY,FSLR,151.00999450683594,0.0,0.5,1.5316213487358659,1,1.0
2023,2022-12-30,2023-01-03,BUY,SMCI,8.307999610900879,0.0,0.5,1.3059032755409477,2,1.0
2023,2023-01-31,2023-02-01,SELL,SMCI,7.199999809265137,0.5,0.0,,,1.016127299327246
2023,2023-01-31,2023-02-01,BUY,PCG,15.574228908496174,0.0,0.5,0.49770864084983857,1,1.016127299327246
2023,2023-02-28,2023-03-01,SELL,FSLR,180.5500030517578,0.5,0.0,,,1.0189195113700038
2023,2023-02-28,2023-03-01,SELL,PCG,15.317943418979455,0.5,0.0,,,1.0189195113700038
2023,2023-02-28,2023-03-01,BUY,WYNN,106.65696512616638,0.0,0.5,0.6523342762139035,1,1.0189195113700038
2023,2023-02-28,2023-03-01,BUY,NFLX,32.154998779296875,0.0,0.5,0.615773965168505,2,1.0189195113700038
2023,2023-03-31,2023-04-03,SELL,NFLX,34.18299865722656,0.5,0.0,,,1.078296584069122
2023,2023-03-31,2023-04-03,SELL,WYNN,111.86516540904417,0.5,0.0,,,1.078296584069122
2023,2023-03-31,2023-04-03,BUY,AXON,223.97999572753903,0.0,0.5,0.9123159649218946,1,1.078296584069122
2023,2023-03-31,2023-04-03,BUY,NVDA,27.48466960367856,0.0,0.5,0.9083437773358971,2,1.078296584069122
2023,2023-04-28,2023-05-01,SELL,AXON,211.3300018310547,0.5,0.0,,,1.0543976054588007
2023,2023-04-28,2023-05-01,BUY,WYNN,112.505290846581,0.0,0.5,0.908804627244933,2,1.0543976054588007
2023,2023-05-31,2023-06-01,SELL,WYNN,94.78722593074194,0.5,0.0,,,1.147797569244395
2023,2023-05-31,2023-06-01,BUY,META,263.8296201878953,0.0,0.5,1.235520987709474,1,1.147797569244395
2023,2023-06-30,2023-07-03,SELL,META,284.4676665294726,0.5,0.0,,,1.253808091573994
2023,2023-06-30,2023-07-03,SELL,NVDA,42.4837864062488,0.5,0.0,,,1.253808091573994
2023,2023-06-30,2023-07-03,BUY,CVNA,5.179999828338623,0.0,0.5,2.3733684103308392,1,1.253808091573994
2023,2023-06-30,2023-07-03,BUY,SMCI,25.48900032043457,0.0,0.5,1.7785358922882892,2,1.253808091573994
2023,2023-09-29,2023-10-02,SELL,SMCI,27.5,0.5,0.0,,,1.7426964642652438
2023,2023-09-29,2023-10-02,BUY,APP,40.150001525878906,0.0,0.5,1.8653333028157553,2,1.7426964642652438
2023,2023-10-31,2023-11-01,SELL,APP,36.56999969482422,0.5,0.0,,,1.3341268499518097
2023,2023-10-31,2023-11-01,BUY,SMCI,24.1299991607666,0.0,0.5,1.7660634034986682,2,1.3341268499518097
2023,2023-11-30,2023-12-01,SELL,SMCI,26.22599983215332,0.5,0.0,,,1.5146677281604362
2023,2023-11-30,2023-12-01,BUY,VRT,43.351783163950856,0.0,0.5,1.024226828685277,1,1.5146677281604362
2024,2023-12-29,2024-01-02,BUY,COIN,173.02000427246094,0.0,0.5,0.7864429663596497,1,1.0
2024,2023-12-29,2024-01-02,BUY,VRT,47.344439934802175,0.0,0.5,0.7073069721028575,2,1.0
2024,2024-02-29,2024-03-01,SELL,COIN,202.6999969482422,0.5,0.0,,,1.3281578476015083
2024,2024-02-29,2024-03-01,SELL,VRT,68.2047050211083,0.5,0.0,,,1.3281578476015083
2024,2024-02-29,2024-03-01,BUY,CRWD,319.25,0.0,0.5,1.0541923133770488,1,1.3281578476015083
2024,2024-02-29,2024-03-01,BUY,SMCI,88.18800354003906,0.0,0.5,0.9606696737984042,2,1.3281578476015083
2024,2024-03-28,2024-04-01,SELL,CRWD,321.0,0.5,0.0,,,1.4449975466395797
2024,2024-03-28,2024-04-01,BUY,COIN,261.8699951171875,0.0,0.5,1.8076064384326926,2,1.4449975466395797
