strategy,universe,top_n,date,equity,daily_return,holdings
S&P 500 Top1 PIT membership,S&P 500,1,2024-11-27,1.9865236672952087,0.011789492674920243,FICO
S&P 500 Top1 PIT membership,S&P 500,1,2024-11-29,1.981754166941043,-0.0024009280295460567,FICO
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-02,1.9817458204681027,-4.211659084485397e-06,FICO
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-03,1.951478980283269,-0.015272816459218963,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-04,2.0901774861194586,0.07107353306775388,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-05,2.0602045618740217,-0.01433989431255589,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-06,2.1436587532888183,0.040507720912375866,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-09,2.3678688621155817,0.10459225773821434,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-10,2.1154488762954147,-0.10660218133644495,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-11,2.144540501107008,0.01375198670011768,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-12,2.1245584768793258,-0.009317625019144016,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-13,2.1595268511336396,0.016459125335856806,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-16,2.205661789163295,0.021363447278016867,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-17,2.1533559615593485,-0.023714346352161297,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-18,2.1833291099969587,0.013919272508900571,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-19,2.1742195094130476,-0.004172344216087476,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-20,2.1345493768970796,-0.01824568878359356,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-23,2.369925825307011,0.11026985412353874,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-24,2.3828552121422124,0.005455608229226527,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-26,2.4436830326434493,0.025527283483813612,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-27,2.392552420412743,-0.020923586057474797,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-30,2.263844814594308,-0.0537951038064326,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-31,2.27971291243913,0.007009357594886856,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-02,2.2391610321049717,-0.017788152233068066,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-03,2.2153589974338255,-0.010629889646110224,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-06,2.3123306317547905,0.04377242443924101,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-07,2.209775715546155,-0.0443513201789868,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-08,2.0017278446957834,-0.09414886288536817,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-10,1.939724808821306,-0.03097475815145112,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-13,1.8891820284693932,-0.02605667573155679,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-14,1.9741055753889998,0.044952548584432206,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-15,2.014363539783761,0.020393014890720096,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-16,2.029937721689186,0.007731564634602561,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-17,2.0834189888585457,0.026346260083711215,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-21,2.152180521993934,0.03300417894965091,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-22,2.189206083631851,0.017203743486914558,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-23,2.2344594980354895,0.02067115322855484,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-24,2.3229093636513367,0.039584456864674156,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-27,2.176570388543873,-0.06299814250067703,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-28,2.2197668397560815,0.019846108097201,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-29,2.3493559692005332,0.05837961317536022,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-30,2.3514129323919635,0.0008755434333478362,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-31,2.3802106412641604,0.0122469807303911,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-03,2.3544984892751954,-0.010802469135802517,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-04,3.020810631923235,0.2829953579002533,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-05,2.9908374834856253,-0.00992222025467615,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-06,2.970561543318546,-0.006779352030672259,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-07,3.281164554569726,0.10456036904867205,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-10,3.2920369782134973,0.0033135868265519175,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-11,3.423389379102156,0.039900038109517366,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-12,3.2409065901749647,-0.053304713171439144,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-13,3.4471914137733024,0.06365034531501301,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-14,3.464528867122934,0.005029443181008064,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-18,3.5538602563647976,0.025784570620722702,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-19,3.6396653269104213,0.02414418810980279,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-20,3.0240430346800786,-0.16914255486037277,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-21,3.1642108960210784,0.046351146373758034,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-24,2.8174640709501704,-0.10958398048212714,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-25,2.6637789908951763,-0.05454730785729767,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-26,2.619994931996348,-0.01643682116590106,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-27,2.700804552533094,0.030843426279138608,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-28,2.350237717018723,-0.12980089032565256,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-03,2.602069870960096,0.10715177963394362,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-04,2.3555270829669968,-0.09474871937321616,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-05,2.537422040015395,0.07722049063400505,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-06,2.5713620447700807,0.01337578227801628,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-07,2.3515600024577483,-0.08548078352458766,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-10,2.4095959578229764,0.02467976802827554,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-11,2.2269663230221735,-0.07579263826695881,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-12,2.453086324974582,0.10153723458446606,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-13,2.4344265861859244,-0.007606637646088821,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-14,2.4380997507557765,0.001508841790791804,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-17,2.598837468203252,0.06592745739695394,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-18,2.5206724185445557,-0.030076928863403185,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-19,2.484528604724828,-0.014338957158343102,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-20,2.513620005344248,0.011709022212139875,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-21,2.522729381735986,0.0036240069590351975,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-24,2.7445886114319222,0.0879441256371567,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-25,2.8568405117189157,0.0408993536661324,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-26,2.829512158351529,-0.00956593595452182,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-27,2.674504568665336,-0.05478244340766514,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-28,2.6252840737524488,-0.018403593506460147,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-31,2.350825324705343,-0.10454440027696055,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-01,2.4651341881837663,0.04862499237060547,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-02,2.4213501292849378,-0.01776132881881254,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-03,2.3875569704038635,-0.013956328939117024,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-04,2.352882287896773,-0.014523080679086586,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-07,1.9585313934835733,-0.16760332484193563,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-08,2.4475030430869107,0.24966240073059032,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-09,2.29763797347538,-0.06123182156395346,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-10,2.597662028637838,0.1305793421879451,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-11,2.5853202494892566,-0.004751110426421845,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-14,2.8151134160115165,0.08888383037562053,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-15,2.748408621875386,-0.023695242172742992,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-16,2.8292182424121317,0.02940233118669422,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-17,2.7830833043824765,-0.01630660277035456,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-21,2.7281326817083067,-0.01974451234989627,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-22,2.733275201782969,0.0018849963233613654,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-23,2.9050324129400007,0.06283934052633677,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-24,2.98349115434592,0.027007871256939264,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-25,3.175083543857022,0.06421751552104249,PLTR
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-28,3.3434612821914254,0.053030963125417996,PLTR
