signal_date,execution_date,execution_type,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2013-03-18,2013-03-18,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.5581,-8.71,,,,
2013-04-02,2013-04-02,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.5396,,,,2.0,extra shares max holding days 10
2013-04-02,2013-04-02,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.5396,-11.73,,,,
2013-04-03,2013-04-03,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,0.5072,-17.04,,,,
2013-04-10,2013-04-10,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.5883,,,,3.0,extra shares profit >= 12%
2013-04-12,2013-04-12,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.5739,-6.13,,,,
2013-04-17,2013-04-17,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,0.5093,-16.7,,,,
2013-04-26,2013-04-26,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.5771,,,,3.0,extra shares max holding days 10
2013-04-26,2013-04-26,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.5771,-5.61,,,,
2013-05-02,2013-05-02,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.6619,,SOXL,TQQQ,2.0,
2013-06-04,2013-06-04,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.7096,-5.25,,,,
2013-06-18,2013-06-18,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.7225,,,,2.0,extra shares max holding days 10
2013-06-19,2013-06-19,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.6998,-6.56,,,,
2013-06-24,2013-06-24,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.6193,-17.31,,,,
2013-07-02,2013-07-02,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.7081,,TQQQ,SOXL,3.0,
2013-07-08,2013-07-08,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.703,-5.95,,,,
2013-07-11,2013-07-11,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.7973,,,,2.0,extra shares profit >= 12%
2013-07-24,2013-07-24,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.7372,-10.05,,,,
2013-08-07,2013-08-07,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.7354,,,,2.0,extra shares max holding days 10
2013-08-07,2013-08-07,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.7354,-10.27,,,,
2013-08-15,2013-08-15,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,0.6758,-17.54,,,,
2013-08-21,2013-08-21,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.667,,,,3.0,extra shares max holding days 10
2013-08-21,2013-08-21,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.667,-18.62,,,,
2013-08-22,2013-08-22,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,0.6896,-15.86,,,,
2013-08-28,2013-08-28,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.7768,,SOXL,TQQQ,3.0,
2013-08-29,2013-08-29,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.6802,,TQQQ,SOXL,1.0,
2013-09-04,2013-09-04,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.8167,,SOXL,TQQQ,1.0,
2013-10-08,2013-10-08,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.8373,-9.07,,,,
2013-10-16,2013-10-16,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.9404,,,,2.0,extra shares profit >= 12%
2013-11-07,2013-11-07,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.9753,-5.81,,,,
2013-11-21,2013-11-21,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,1.05,,,,2.0,extra shares max holding days 10
2013-12-13,2013-12-13,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,1.0978,-5.14,,,,
2013-12-30,2013-12-30,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,1.208,,,,2.0,extra shares max holding days 10
2014-01-06,2014-01-06,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,1.1642,-5.48,,,,
2014-01-21,2014-01-21,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,1.2514,,,,2.0,extra shares max holding days 10
2014-01-24,2014-01-24,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,1.1739,-7.06,,,,
2014-02-07,2014-02-07,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,1.1895,,,,2.0,extra shares max holding days 10
2014-02-07,2014-02-07,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,1.1895,-5.81,,,,
2014-02-24,2014-02-24,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,1.3211,,,,2.0,extra shares max holding days 10
2014-03-04,2014-03-04,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,1.2553,,TQQQ,SOXL,1.0,
2014-03-13,2014-03-13,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,1.2247,-5.21,,,,
2014-03-20,2014-03-20,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,1.3719,,,,2.0,extra shares profit >= 12%
2014-03-27,2014-03-27,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,1.2735,-7.17,,,,
2014-04-01,2014-04-01,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,1.4273,,,,2.0,extra shares profit >= 12%
2014-04-04,2014-04-04,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,1.3069,-8.44,,,,
2014-04-11,2014-04-11,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,1.1764,-17.58,,,,
2014-04-21,2014-04-21,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,1.3264,,,,3.0,extra shares max holding days 10
2014-04-21,2014-04-21,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,1.3264,-7.07,,,,
2014-05-05,2014-05-05,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,1.2721,,,,2.0,extra shares max holding days 10
2014-05-05,2014-05-05,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,1.2721,-10.87,,,,
2014-05-19,2014-05-19,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,1.3129,,,,2.0,extra shares max holding days 10
2014-05-19,2014-05-19,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,1.3129,-8.01,,,,
2014-06-03,2014-06-03,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,1.5043,,,,2.0,extra shares max holding days 10
2014-07-17,2014-07-17,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,1.707,-7.72,,,,
2014-07-25,2014-07-25,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,1.5542,-15.98,,,,
2014-07-31,2014-07-31,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,1.4799,,,,3.0,extra shares max holding days 10
2014-07-31,2014-07-31,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,1.4799,-20.0,,,,
2014-08-01,2014-08-01,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,1.5021,-18.8,,,,
2014-08-04,2014-08-04,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,1.5431,,SOXL,TQQQ,3.0,
2014-09-25,2014-09-25,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,1.6636,-6.96,,,,
2014-10-09,2014-10-09,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,1.6096,,,,2.0,extra shares max holding days 10
2014-10-09,2014-10-09,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,1.6096,-9.98,,,,
