strategy,date,equity,daily_return,holding
Top1 current-member baseline,2022-11-18,3.3076333680675902,0.05629391411242013,FSLR
Top1 current-member baseline,2022-11-21,3.315436737578076,0.002359200262586736,FSLR
Top1 current-member baseline,2022-11-22,3.3288425105674695,0.004043441045775031,FSLR
Top1 current-member baseline,2022-11-23,3.359255776101607,0.00913628849595316,FSLR
Top1 current-member baseline,2022-11-25,3.3818656721252585,0.0067306265228455064,FSLR
Top1 current-member baseline,2022-11-28,3.351652383391049,-0.008933911533873018,FSLR
Top1 current-member baseline,2022-11-29,3.310034310899096,-0.012417180462445776,FSLR
Top1 current-member baseline,2022-11-30,3.2618136456205016,-0.014568025811640739,FSLR
Top1 current-member baseline,2022-12-01,3.4526962334275044,0.05852038422344963,FSLR
Top1 current-member baseline,2022-12-02,3.371261100875319,-0.02358595342496861,FSLR
Top1 current-member baseline,2022-12-05,3.3614567421331842,-0.002908216969486288,FSLR
Top1 current-member baseline,2022-12-06,3.2540102761100163,-0.03196425664992564,FSLR
Top1 current-member baseline,2022-12-07,3.131557001465662,-0.03763149598615889,FSLR
Top1 current-member baseline,2022-12-08,3.125754621186826,-0.001852873914196862,FSLR
Top1 current-member baseline,2022-12-09,3.026111524674144,-0.031878093001058594,FSLR
Top1 current-member baseline,2022-12-12,2.9966987537558314,-0.009719658604280923,FSLR
Top1 current-member baseline,2022-12-13,3.0591257098397153,0.020831909115203162,FSLR
Top1 current-member baseline,2022-12-14,3.159169065260346,0.032703250833674424,FSLR
Top1 current-member baseline,2022-12-15,3.1713743668339864,0.0038634531174210895,FSLR
Top1 current-member baseline,2022-12-16,3.175176063189265,0.0011987535735409338,FSLR
Top1 current-member baseline,2022-12-19,3.120952430215723,-0.017077362607438418,FSLR
Top1 current-member baseline,2022-12-20,3.1375596638525187,0.005321206909791876,FSLR
Top1 current-member baseline,2022-12-21,3.141961595915674,0.0014029795556940172,FSLR
Top1 current-member baseline,2022-12-22,3.220995785636354,0.02515440985129125,FSLR
Top1 current-member baseline,2022-12-23,3.160969772383976,-0.01863585588036376,FSLR
Top1 current-member baseline,2022-12-27,3.1279555872184046,-0.010444321693298675,FSLR
Top1 current-member baseline,2022-12-28,3.0013006626189154,-0.04049127970903177,FSLR
Top1 current-member baseline,2022-12-29,2.9686864310532,-0.010866699218750053,FSLR
Top1 current-member baseline,2022-12-30,2.938873706535031,-0.010042395925120573,FSLR
Top1 current-member baseline,2023-01-03,3.021509310502969,0.028118120143844738,FSLR
Top1 current-member baseline,2023-01-04,2.9342714923638553,-0.028872265207282033,FSLR
Top1 current-member baseline,2023-01-05,2.913262631971996,-0.007159821593377691,FSLR
Top1 current-member baseline,2023-01-06,2.965284993605869,0.01785707922895341,FSLR
Top1 current-member baseline,2023-01-09,3.152366190365685,0.06309046083706105,FSLR
Top1 current-member baseline,2023-01-10,3.1933840271497624,0.01301176142208238,FSLR
Top1 current-member baseline,2023-01-11,3.4106782073356956,0.06804511400399216,FSLR
Top1 current-member baseline,2023-01-12,3.4635010867854645,0.015487500209242056,FSLR
Top1 current-member baseline,2023-01-13,3.555941049495538,0.026689745547580745,FSLR
Top1 current-member baseline,2023-01-17,3.6215694662268247,0.01845599120395902,FSLR
Top1 current-member baseline,2023-01-18,3.574149013456035,-0.013093895675069023,FSLR
Top1 current-member baseline,2023-01-19,3.5075201021089244,-0.01864189520254045,FSLR
Top1 current-member baseline,2023-01-20,3.3170374679017782,-0.05430692587980235,FSLR
Top1 current-member baseline,2023-01-23,3.3682596170278463,0.015442137636892284,FSLR
