date,OOS Rank 1 - IS#4 rebound 8/20,OOS Rank 3 - IS#8 profit 5/15
2023-01-24,523053.5764783267,16087794.884873854
2023-01-25,525237.7417856507,16162995.658736192
2023-01-26,542433.6371889903,16755344.013175422
2023-01-27,536233.3648072132,16540954.289047966
2023-01-30,507932.5628624842,15563735.22310263
2023-01-31,543443.70639918,16781767.779300384
2023-02-01,600617.5328928662,20734495.134579252
2023-02-02,627445.0849019281,21771218.68844383
2023-02-03,604220.4919230962,20869145.88214467
2023-02-06,584373.6840844224,19334471.138515268
2023-02-07,656843.4276009828,22018485.478940748
2023-02-08,629322.387547802,19953072.588550746
2023-02-09,631623.7124245731,20116427.045915708
2023-02-10,611714.9980727792,18696872.47512724
2023-02-13,643880.3387390348,19797383.640977267
2023-02-14,691696.8161705185,21443144.294300888
2023-02-15,697312.6124089244,21832907.186569657
2023-02-16,663750.9620159217,19480330.36665018
2023-02-17,621137.2294460663,18080333.089547627
2023-02-21,541126.7889833115,15473267.313819496
2023-02-22,527221.9253683663,15075664.245450828
2023-02-23,622526.0002683719,17800839.670224596
2023-02-24,579931.6093505275,15982978.959036056
2023-02-27,595331.8448796051,16407411.144584803
2023-02-28,607648.9627387517,16746872.26793895
2023-03-01,610137.6735692334,16815461.412240397
2023-03-02,637568.9527853797,17571470.48548632
2023-03-03,694487.0876050511,19140140.54337331
2023-03-06,664218.3362866762,17895050.817152135
2023-03-07,633709.0515530193,16974939.097817007
2023-03-08,700947.0242565249,19663117.715069704
2023-03-09,647478.1889184322,17424432.12160368
2023-03-10,597434.385541211,15414372.238213092
2023-03-13,594883.0998355683,15348546.653840035
2023-03-14,696717.6501712807,17975974.374063615
2023-03-15,664207.2284052229,16724034.624841843
2023-03-16,769024.372597848,20663116.252966125
2023-03-17,750824.552126521,19933242.046109594
2023-03-20,780764.2604177388,21119590.412463855
2023-03-21,786126.3074597893,21281951.75980424
2023-03-22,758953.876962782,20458507.75557965
2023-03-23,837232.6229398085,22820556.684481345
2023-03-24,807726.0600519807,21019965.28488535
2023-03-27,788130.0695797418,19878266.403699707
2023-03-28,765645.7203831297,19243451.094915774
2023-03-29,860824.9318045613,21921285.17297517
2023-03-30,890202.8174534685,23596182.414749503
2023-03-31,901832.4228028379,24286317.670433864
2023-04-03,885653.683306449,23310885.746891234
2023-04-04,879732.5304188662,23136429.076965198
2023-04-05,860848.9403162865,22580503.437908802
2023-04-06,872431.5504549068,22920597.908064254
2023-04-10,871152.9498900754,22882995.47627003
2023-04-11,859850.474314934,22550658.624821916
2023-04-12,844610.8834976543,22103258.5395986
2023-04-13,877095.9968399834,24006528.850018546
2023-04-14,873692.9782614763,23798001.50359384
2023-04-17,874332.3127680705,23836989.08043453
2023-04-18,874758.3542715806,23862993.264628746
2023-04-19,873480.5783542411,23784954.933241993
2023-04-20,859840.6922001254,22953428.07448925
2023-04-21,860914.6997990274,23017616.00478551
2023-04-24,857479.9859415935,22812023.519773483
2023-04-25,825001.09300839,20877573.59316886
2023-04-26,827126.0954090209,20931349.15102061
2023-04-27,871901.2247781078,22199727.468626797
2023-04-28,883715.5089498174,22536451.590283196
2023-05-01,882038.8242487564,22488587.377329588
2023-05-02,866304.9100227387,22039534.262353424
2023-05-03,854874.1064687886,21714001.38359875
2023-05-04,848481.7091513061,21532245.733788453
2023-05-05,883343.4889482816,23512919.067502983
2023-05-08,888168.8799452119,23800477.364345264
2023-05-09,876660.820644287,23110064.836658012
2023-05-10,895614.8185004368,24228695.834695507
2023-05-11,900617.0680463077,24531659.521444283
2023-05-12,894381.3048364888,24151388.854029182
2023-05-15,903558.6665685556,24706210.89321047
2023-05-16,905841.5453483731,24845960.0177653
2023-05-17,927605.8317241883,26182446.08279399
2023-05-18,961006.3390979847,27237771.19424314
2023-05-19,956574.1695296185,27097150.85441392
2023-05-22,963237.650584487,27308447.502534892
2023-05-23,938284.1885050867,26516528.37872593
2023-05-24,928088.7588580281,26193995.302081574
2023-05-25,972987.7070116828,29031031.36328461
2023-05-26,1022301.1261422854,32325130.636672016
2023-05-30,1031896.0615096751,32664748.06087997
2023-05-31,1017861.9384000744,32167451.90673128
2023-06-01,1042589.3473860725,33042219.847452857
2023-06-02,1058302.098647717,33599655.35563136
2023-06-05,1059842.7890189951,33654410.76048689
2023-06-06,1059072.8809792479,33627043.844607584
2023-06-07,1022881.542256216,32340709.244974162
2023-06-08,1046392.132906367,34004904.17389476
2023-06-09,1054918.2796437885,34625224.980768554
2023-06-12,1091010.782737291,37277430.929514945
2023-06-13,1107343.3972356976,38526795.24999876
2023-06-14,1123181.0522780074,39143614.47959479
2023-06-15,1149582.3906952145,40173582.07613789
2023-06-16,1134770.49749448,39594156.7320884
2023-06-20,1131043.5270285513,39448588.88008234
2023-06-21,1100672.9793011954,38262844.0518182
2023-06-22,1125160.0082377288,40168618.472336665
2023-06-23,1102811.0510497561,38382351.66749817
2023-06-26,1073597.1072176134,36106011.73474079
2023-06-27,1144739.9042829517,38784289.297473274
2023-06-28,1154116.6755864169,39139911.444858596
2023-06-29,1148831.2787112496,38738616.04385832
2023-06-30,1183559.7570508309,41360358.704735495
2023-07-03,1188975.2155072829,41784046.34156698
2023-07-05,1188396.3164228827,41738499.63156936
2023-07-06,1169672.896565387,40266264.52716832
2023-07-07,1161696.0805497635,39958872.25047003
2023-07-10,1162281.7006955985,39981421.036615744
2023-07-11,1173406.3376862044,40409791.12191582
2023-07-12,1202545.8557904116,41533120.202674106
2023-07-13,1242667.751539284,43084295.281747006
2023-07-14,1241912.1782962303,43054971.02615207
2023-07-17,1264972.9274858397,43949907.66506674
2023-07-18,1285205.6644248858,44736804.560126394
2023-07-19,1285205.6644248858,44736804.560126394
2023-07-20,1224788.397439767,42382623.476314835
2023-07-21,1217548.1108696628,41821705.98292579
2023-07-24,1220796.7468737033,42071529.38766579
2023-07-25,1237208.865847285,43337798.604963884
2023-07-26,1228676.8731112496,42668699.02549735
2023-07-27,1221637.5350921075,42121405.8990019
2023-07-28,1265901.4027463584,45538258.98061847
2023-07-31,1267589.3555036217,45674200.86486263
2023-08-01,1261029.0036395632,45144981.21193977
2023-08-02,1205780.318236713,40716826.2923712
2023-08-03,1194245.0134595288,40280791.38085066
2023-08-04,1171997.363526467,39440799.35981803
2023-08-07,1210934.6972095612,40907602.20361878
2023-08-08,1169367.9350897514,39335734.62041431
2023-08-09,1117110.547642705,37367983.18059187
2023-08-10,1123895.953506791,37622060.440351844
