date,equity,units,exposure,allocation
2011-02-24,2.667410442821952,2.0,1.34,SOXL
2011-02-25,2.9376321683135105,2.0,1.34,SOXL
2011-02-28,2.8185703737483565,2.0,1.34,SOXL
2011-03-01,2.5930687556311263,2.0,1.34,SOXL
2011-03-02,2.7412558790710984,2.0,1.34,SOXL
2011-03-03,2.9543831727984373,2.0,1.34,SOXL
2011-03-04,2.829676601951529,2.0,1.34,SOXL
2011-03-07,2.515752417029049,2.0,1.34,SOXL
2011-03-08,2.533683530318661,2.0,1.34,SOXL
2011-03-09,2.4885101283373667,3.0,0.2,SOXL
2011-03-10,2.4508389280266196,3.0,0.2,SOXL
2011-03-11,2.4639073698327985,3.0,0.2,SOXL
2011-03-14,2.46189618535534,3.0,0.2,SOXL
2011-03-15,2.444013310923336,2.0,0.2,SOXL
2011-03-16,2.412459568814884,3.0,0.2,SOXL
2011-03-17,2.430104376549423,3.0,0.2,SOXL
2011-03-18,2.434948061370738,3.0,0.2,SOXL
2011-03-21,2.460129090146223,3.0,0.2,SOXL
2011-03-22,2.4485874481745395,3.0,0.2,SOXL
2011-03-23,2.461856196477027,3.0,0.2,SOXL
2011-03-24,2.498150895545711,3.0,0.2,SOXL
2011-03-25,2.493971921426379,3.0,0.2,SOXL
2011-03-28,2.496338518547356,3.0,0.2,SOXL
2011-03-29,2.5100471053836166,3.0,0.2,SOXL
2011-03-30,2.5116702922056207,3.0,0.2,SOXL
2011-03-31,2.4988860241119566,3.0,0.2,SOXL
2011-04-01,2.4813973679853762,3.0,0.2,SOXL
2011-04-04,2.46638088580895,1.0,0.67,TQQQ
2011-04-05,2.447600498224755,1.0,0.67,TQQQ
2011-04-06,2.4599705108372976,1.0,0.67,TQQQ
2011-04-07,2.4595795721427365,1.0,0.67,TQQQ
2011-04-08,2.4348980318859947,1.0,0.67,TQQQ
2011-04-11,2.430489366525736,1.0,0.2,TQQQ
2011-04-12,2.4208992614489815,1.0,0.2,TQQQ
2011-04-13,2.43244889475074,1.0,0.2,TQQQ
2011-04-14,2.4297920879217756,1.0,0.2,TQQQ
2011-04-15,2.4266501381110746,1.0,0.2,TQQQ
2011-04-18,2.417292984502525,2.0,0.2,TQQQ
2011-04-19,2.426010430531915,2.0,0.2,TQQQ
2011-04-20,2.642333074836343,2.0,1.34,TQQQ
2011-04-21,2.7321655208310935,2.0,1.34,TQQQ
2011-04-25,2.7593386624432417,2.0,1.34,TQQQ
2011-04-26,2.8229128040634253,2.0,1.34,TQQQ
2011-04-27,2.9013832794924874,2.0,1.34,TQQQ
2011-04-28,2.8955319846999004,2.0,1.34,TQQQ
2011-04-29,2.8767275984106115,2.0,1.34,TQQQ
2011-05-02,2.855872190269704,2.0,1.34,TQQQ
2011-05-03,2.798408019087607,2.0,1.34,TQQQ
2011-05-04,2.776458461099906,2.0,1.34,TQQQ
2011-05-05,2.7206534087696337,2.0,1.34,TQQQ
2011-05-06,2.7523162185440446,2.0,1.34,TQQQ
2011-05-09,2.7923229592972905,2.0,1.34,TQQQ
