rank,family,variant,rebalance,requested_range,actual_range,net_perf_pct,cagr_pct,max_drawdown_pct,sharpe,positions,win_rate_pct,avg_trade_pct,median_trade_days,soxl_return_pct,soxl_max_drawdown_pct,tqqq_return_pct,tqqq_max_drawdown_pct,soxl_only_net_pct,soxl_only_max_drawdown_pct,excess_vs_soxl_only_pct,beats_soxl_only,notes
11,Relative momentum rotation,"84d return_minus_half_vol, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,535148.31,71.87,-80.03,1.12,140,49.29,10.43,7.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,494078.51,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
12,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,527918.42,71.73,-79.06,1.12,140,49.29,10.67,7.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,486848.62,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
13,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,511536.78,71.38,-77.87,1.12,198,48.99,6.81,6.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,470466.98,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
14,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA200, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,504377.26,71.23,-77.96,1.12,308,50.97,4.2,3.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,463307.46,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
15,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, 2% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,493201.25,70.99,-80.22,1.11,136,46.32,11.56,6.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,452131.45,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
16,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,490149.59,70.92,-80.45,1.12,234,51.28,5.64,5.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,449079.79,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
17,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA50, 5% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,472892.52,70.26,-85.33,1.11,64,57.81,25.04,60.5,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,431822.72,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
18,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,471526.0,70.62,-81.05,1.11,154,48.7,8.55,7.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,430456.21,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
19,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA50, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,464045.74,70.33,-79.65,1.11,174,51.15,8.18,7.5,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,422975.95,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
20,Relative momentum rotation,"42d return_minus_half_vol, skip 21d, chosen/alternate above SMA50, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-06-11 to 2026-05-20,462886.45,69.81,-80.22,1.12,159,49.06,8.99,6.0,33908.38,-90.46,34470.73,-81.66,41854.25,-66.18,421032.2,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
21,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,460755.01,69.98,-80.08,1.11,134,52.24,11.65,6.5,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,419685.21,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
22,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,451060.31,69.75,-79.1,1.11,158,55.7,8.89,10.0,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,409990.51,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
23,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,448294.46,69.96,-83.72,1.1,128,48.44,11.06,8.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,407224.66,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
24,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA100, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,443697.41,69.85,-80.03,1.11,142,47.89,10.36,7.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,402627.61,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
25,Relative momentum rotation,"63d return_minus_vol, skip 21d, chosen/alternate above SMA200, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,443071.71,69.84,-75.65,1.13,269,54.28,4.38,4.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,402001.91,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
26,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, chosen/alternate above SMA200, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,441118.66,69.9,-80.22,1.1,132,51.52,10.64,8.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,400048.86,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
27,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,439967.04,69.87,-81.05,1.1,150,49.33,9.11,7.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,398897.24,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
28,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA100, 2% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,436661.86,69.68,-81.02,1.1,148,45.27,10.54,6.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,395592.06,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
29,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,430946.32,69.65,-83.25,1.1,190,50.53,7.22,6.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,389876.52,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
30,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,429802.41,69.51,-83.72,1.1,128,46.88,11.78,8.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,388732.61,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
