strategy,universe,top_n,signal_date,trade_date,action,ticker,security,index_date_added,price,old_weight,new_weight,rank,score,skipped_not_yet_index_before_buy,equity_before_trade
S&P 500 Top3 PIT membership,S&P 500,3,2023-02-28,2023-03-01,BUY,LVS,Las Vegas Sands,2019-10-03,55.16096901371072,0.0,0.3333333333333333,3,0.5533873600764896,1,1.085625306017392
S&P 500 Top3 PIT membership,S&P 500,3,2023-03-31,2023-04-03,SELL,LVS,Las Vegas Sands,2019-10-03,56.29421742595485,0.3333333333333333,0.0,,,,1.1358148450624856
S&P 500 Top3 PIT membership,S&P 500,3,2023-03-31,2023-04-03,SELL,NFLX,Netflix,2010-12-20,34.18299865722656,0.3333333333333333,0.0,,,,1.1358148450624856
S&P 500 Top3 PIT membership,S&P 500,3,2023-03-31,2023-04-03,BUY,NVDA,Nvidia,2001-11-30,27.48466960367856,0.0,0.3333333333333333,1,0.9083440899136019,2,1.1358148450624856
S&P 500 Top3 PIT membership,S&P 500,3,2023-03-31,2023-04-03,BUY,STLD,Steel Dynamics,2022-12-22,108.25017327201078,0.0,0.3333333333333333,2,0.8857855163992752,2,1.1358148450624856
S&P 500 Top3 PIT membership,S&P 500,3,2023-04-28,2023-05-01,SELL,STLD,Steel Dynamics,2022-12-22,99.4710481095818,0.3333333333333333,0.0,,,,1.1145364460124423
S&P 500 Top3 PIT membership,S&P 500,3,2023-04-28,2023-05-01,BUY,FSLR,First Solar,2022-12-19,182.5800018310547,0.0,0.3333333333333333,3,0.6388890114649945,0,1.1145364460124423
S&P 500 Top3 PIT membership,S&P 500,3,2023-05-31,2023-06-01,SELL,FSLR,First Solar,2022-12-19,204.6199951171875,0.3333333333333333,0.0,,,,1.234263966302608
S&P 500 Top3 PIT membership,S&P 500,3,2023-05-31,2023-06-01,SELL,WYNN,Wynn Resorts,2008-11-14,94.7872413524304,0.3333333333333333,0.0,,,,1.234263966302608
S&P 500 Top3 PIT membership,S&P 500,3,2023-05-31,2023-06-01,BUY,META,Meta Platforms,2013-12-23,263.8295904214734,0.0,0.3333333333333333,1,1.2355214284760017,0,1.234263966302608
S&P 500 Top3 PIT membership,S&P 500,3,2023-05-31,2023-06-01,BUY,ALGN,Align Technology,2017-06-19,283.6499938964844,0.0,0.3333333333333333,3,0.6720939435841287,0,1.234263966302608
S&P 500 Top3 PIT membership,S&P 500,3,2023-06-30,2023-07-03,SELL,ALGN,Align Technology,2017-06-19,350.70001220703125,0.3333333333333333,0.0,,,,1.4061898482986404
S&P 500 Top3 PIT membership,S&P 500,3,2023-06-30,2023-07-03,BUY,AMD,Advanced Micro Devices,2017-03-20,115.16000366210938,0.0,0.3333333333333333,3,0.8892440412501867,5,1.4061898482986404
