strategy,signal_date,trade_date,action,ticker,security,sp500_date_added,price,score,skipped_not_yet_sp500_before_buy,equity_before_trade
Top1 current-member baseline,2021-11-30,2021-12-01,BUY,TSLA,"Tesla, Inc.",2020-12-21,386.8999938964844,0.840957230808149,0,3.143940860373375
Top1 current-member baseline,2021-12-31,2022-01-03,SELL,TSLA,"Tesla, Inc.",2020-12-21,382.5833435058594,,,3.108863854022571
Top1 current-member baseline,2021-12-31,2022-01-03,BUY,BLDR,Builders FirstSource,2023-12-18,86.19999694824219,0.6232085979011757,0,3.108863854022571
Top1 current-member baseline,2022-02-28,2022-03-01,SELL,BLDR,Builders FirstSource,2023-12-18,76.5,,,2.7590266038585574
Top1 current-member baseline,2022-02-28,2022-03-01,BUY,APA,APA Corporation,1997-07-28,31.60517965947619,0.769144965413536,0,2.7590266038585574
Top1 current-member baseline,2022-04-29,2022-05-02,SELL,APA,APA Corporation,1997-07-28,35.20549644308862,,,3.0733222318325284
Top1 current-member baseline,2022-04-29,2022-05-02,BUY,CF,CF Industries,2008-08-27,87.8811997683611,0.7697676075160873,0,3.0733222318325284
Top1 current-member baseline,2022-05-31,2022-06-01,SELL,CF,CF Industries,2008-08-27,90.68659160278251,,,3.1714305088753365
Top1 current-member baseline,2022-05-31,2022-06-01,BUY,EQT,EQT Corporation,2022-10-03,45.64574138034258,0.9304987677030525,0,3.1714305088753365
Top1 current-member baseline,2022-06-30,2022-07-01,SELL,EQT,EQT Corporation,2022-10-03,32.90038519009116,,,2.2858931017503448
Top1 current-member baseline,2022-06-30,2022-07-01,BUY,OXY,Occidental Petroleum,1957-03-04,56.035074021458975,1.3744161661715681,0,2.2858931017503448
Top1 current-member baseline,2022-07-29,2022-08-01,SELL,OXY,Occidental Petroleum,1957-03-04,61.467851952926345,,,2.507517679102146
Top1 current-member baseline,2022-07-29,2022-08-01,BUY,EQT,EQT Corporation,2022-10-03,40.57399215878196,0.8672189184671739,0,2.507517679102146
Top1 current-member baseline,2022-09-30,2022-10-03,SELL,EQT,EQT Corporation,2022-10-03,38.59928074457702,,,2.38547832534898
Top1 current-member baseline,2022-09-30,2022-10-03,BUY,SMCI,Supermicro,2024-03-18,5.65500020980835,0.7094825402382245,0,2.38547832534898
Top1 current-member baseline,2022-10-31,2022-11-01,SELL,SMCI,Supermicro,2024-03-18,7.019999980926514,,,2.9612833204506614
Top1 current-member baseline,2022-10-31,2022-11-01,BUY,FSLR,First Solar,2022-12-19,148.0,0.7961706323839828,0,2.9612833204506614
Top1 current-member baseline,2023-01-31,2023-02-01,SELL,FSLR,First Solar,2022-12-19,177.39999389648438,,,3.549538128200734
Top1 current-member baseline,2023-01-31,2023-02-01,BUY,PCG,PG&E Corporation,2022-10-03,15.574228908496174,0.4977084634897635,0,3.549538128200734
Top1 current-member baseline,2023-02-28,2023-03-01,SELL,PCG,PG&E Corporation,2022-10-03,15.317942469581688,,,3.491127628906514
Top1 current-member baseline,2023-02-28,2023-03-01,BUY,WYNN,Wynn Resorts,2008-11-14,106.65698007901824,0.6523345066860791,0,3.491127628906514
Top1 current-member baseline,2023-03-31,2023-04-03,SELL,WYNN,Wynn Resorts,2008-11-14,111.86517317375188,,,3.661603736482727
Top1 current-member baseline,2023-03-31,2023-04-03,BUY,AXON,Axon Enterprise,2023-05-04,223.97999572753903,0.9123159649218946,0,3.661603736482727
Top1 current-member baseline,2023-04-28,2023-05-01,SELL,AXON,Axon Enterprise,2023-05-04,211.3300018310547,,,3.4548028355031777
Top1 current-member baseline,2023-04-28,2023-05-01,BUY,NVDA,Nvidia,2001-11-30,27.81537661530885,1.0933221313305976,0,3.4548028355031777
