strategy,top_n,signal_date,trade_date,selected,skipped_not_yet_nasdaq100_count,first_skipped_tickers,equity_before_rebalance
Nasdaq-100 Top1 PIT membership,1,2022-01-31,2022-02-01,DDOG,0,,4.1517094853328915
Nasdaq-100 Top1 PIT membership,1,2022-02-28,2022-03-01,TSLA,3,"FANG, STX, BKR",4.498410666585814
Nasdaq-100 Top1 PIT membership,1,2022-03-31,2022-04-01,QCOM,1,FANG,5.592236840010549
Nasdaq-100 Top1 PIT membership,1,2022-04-29,2022-05-02,VRTX,1,BKR,5.174862429316651
Nasdaq-100 Top1 PIT membership,1,2022-05-31,2022-06-01,VRTX,0,,5.393885429107477
Nasdaq-100 Top1 PIT membership,1,2022-06-30,2022-07-01,EXC,2,"BKR, FANG",5.488704561077868
Nasdaq-100 Top1 PIT membership,1,2022-07-29,2022-08-01,TMUS,0,,5.635636397200439
Nasdaq-100 Top1 PIT membership,1,2022-08-31,2022-09-01,CEG,0,,5.654949511981818
Nasdaq-100 Top1 PIT membership,1,2022-09-30,2022-10-03,PDD,0,,5.893372456141181
Nasdaq-100 Top1 PIT membership,1,2022-10-31,2022-11-01,CEG,1,ALNY,5.630857341991673
Nasdaq-100 Top1 PIT membership,1,2022-11-30,2022-12-01,DXCM,0,,5.743687028530589
Nasdaq-100 Top1 PIT membership,1,2022-12-30,2023-01-03,NFLX,1,AXON,5.6405485723181155
Nasdaq-100 Top1 PIT membership,1,2023-01-31,2023-02-01,PDD,0,,6.696519572099821
Nasdaq-100 Top1 PIT membership,1,2023-02-28,2023-03-01,PDD,0,,6.064241651631358
Nasdaq-100 Top1 PIT membership,1,2023-03-31,2023-04-03,NVDA,1,AXON,4.848120560043498
Nasdaq-100 Top1 PIT membership,1,2023-04-28,2023-05-01,NVDA,0,,4.906455493312273
Nasdaq-100 Top1 PIT membership,1,2023-05-31,2023-06-01,META,0,,6.78320918433662
Nasdaq-100 Top1 PIT membership,1,2023-06-30,2023-07-03,NVDA,0,,7.313825100769247
Nasdaq-100 Top1 PIT membership,1,2023-07-31,2023-08-01,NVDA,2,"APP, PLTR",7.99210439738457
Nasdaq-100 Top1 PIT membership,1,2023-08-31,2023-09-01,NVDA,2,"PLTR, APP",8.560120042850652
Nasdaq-100 Top1 PIT membership,1,2023-09-29,2023-10-02,NVDA,2,"APP, PLTR",7.574716424435511
Nasdaq-100 Top1 PIT membership,1,2023-10-31,2023-11-01,ZS,2,"APP, PLTR",7.033495009391898
Nasdaq-100 Top1 PIT membership,1,2023-11-30,2023-12-01,PDD,0,,8.720916477991278
Nasdaq-100 Top1 PIT membership,1,2023-12-29,2024-01-02,PDD,0,,8.754991915381728
Nasdaq-100 Top1 PIT membership,1,2024-01-31,2024-02-01,PDD,0,,7.741243010585706
Nasdaq-100 Top1 PIT membership,1,2024-02-29,2024-03-01,CRWD,0,,7.721771265756451
Nasdaq-100 Top1 PIT membership,1,2024-03-28,2024-04-01,CRWD,2,"MSTR, ARM",7.76409890777704
Nasdaq-100 Top1 PIT membership,1,2024-04-30,2024-05-01,NVDA,2,"MSTR, ARM",7.024937401028296
Nasdaq-100 Top1 PIT membership,1,2024-05-31,2024-06-03,NVDA,2,"MSTR, APP",9.381859371348463
Nasdaq-100 Top1 PIT membership,1,2024-06-28,2024-07-01,NVDA,1,MSTR,10.195944327311409
Nasdaq-100 Top1 PIT membership,1,2024-07-31,2024-08-01,ARM,2,"MSTR, INSM",9.705428197102021
Nasdaq-100 Top1 PIT membership,1,2024-08-30,2024-09-03,NVDA,3,"INSM, ALNY, MSTR",9.79252133000137
Nasdaq-100 Top1 PIT membership,1,2024-09-30,2024-10-01,AAPL,4,"INSM, ALNY, MPWR, PLTR",10.279606407196628
Nasdaq-100 Top1 PIT membership,1,2024-10-31,2024-11-01,CEG,5,"INSM, APP, ALNY, PLTR, MSTR",9.896672459242748
Nasdaq-100 Top1 PIT membership,1,2024-11-29,2024-12-02,APP,0,,9.69601716492766
Nasdaq-100 Top2 PIT membership,2,2019-12-31,2020-01-02,"TSLA, LRCX",3,"PDD, ALNY, DXCM",1.0
Nasdaq-100 Top2 PIT membership,2,2020-01-31,2020-02-03,"TSLA, AMD",1,PDD,1.2748146575129042
Nasdaq-100 Top2 PIT membership,2,2020-02-28,2020-03-02,"TSLA, AAPL",0,,1.343175279329455
Nasdaq-100 Top2 PIT membership,2,2020-03-31,2020-04-01,"TSLA, REGN",1,DXCM,1.0710171993178632
Nasdaq-100 Top2 PIT membership,2,2020-04-30,2020-05-01,"DXCM, TSLA",0,,1.3815082473247644
Nasdaq-100 Top2 PIT membership,2,2020-05-29,2020-06-01,"TSLA, DXCM",1,SHOP,1.5893214835192964
Nasdaq-100 Top2 PIT membership,2,2020-06-30,2020-07-01,"TSLA, DXCM",4,"ZS, SHOP, CRWD, DDOG",1.8501234092094814
Nasdaq-100 Top2 PIT membership,2,2020-07-31,2020-08-03,"REGN, TSLA",4,"PDD, SHOP, ZS, DDOG",2.2490833771700807
Nasdaq-100 Top2 PIT membership,2,2020-08-31,2020-09-01,"PDD, TSLA",4,"ZS, DDOG, SHOP, CRWD",2.934899362284593
Nasdaq-100 Top2 PIT membership,2,2020-09-30,2020-10-01,"TSLA, MELI",1,SHOP,2.543442808517934
Nasdaq-100 Top2 PIT membership,2,2020-10-30,2020-11-02,"TSLA, NVDA",3,"DDOG, ZS, CRWD",2.553004770942294
Nasdaq-100 Top2 PIT membership,2,2020-11-30,2020-12-01,"TSLA, QCOM",0,,3.263042911714138
Nasdaq-100 Top2 PIT membership,2,2020-12-31,2021-01-04,"TSLA, AMD",1,MSTR,3.6604388467334377
Nasdaq-100 Top2 PIT membership,2,2021-01-29,2021-02-01,"TSLA, PDD",1,MSTR,3.7944231592795314
Nasdaq-100 Top2 PIT membership,2,2021-02-26,2021-03-01,"TSLA, PDD",3,"MSTR, AXON, WBD",3.5914909345409853
Nasdaq-100 Top2 PIT membership,2,2021-03-31,2021-04-01,"PDD, AMAT",3,"MSTR, WBD, FANG",3.1749184517166875
Nasdaq-100 Top2 PIT membership,2,2021-04-30,2021-05-03,"AMAT, LRCX",4,"MSTR, FANG, WBD, PLTR",3.0467700529090753
Nasdaq-100 Top2 PIT membership,2,2021-05-28,2021-06-01,"AMAT, ASML",5,"MSTR, FANG, STX, FTNT, WDC",3.1687537200309164
Nasdaq-100 Top2 PIT membership,2,2021-06-30,2021-07-01,"AMAT, ASML",4,"FANG, STX, WDC, FTNT",3.2061210048887845
Nasdaq-100 Top2 PIT membership,2,2021-07-30,2021-08-02,"NVDA, AMAT",2,"FANG, FTNT",3.3892225403985163
Nasdaq-100 Top2 PIT membership,2,2021-08-31,2021-09-01,"NVDA, ASML",1,FTNT,3.559040404944753
Nasdaq-100 Top2 PIT membership,2,2021-09-30,2021-10-01,"NVDA, CRWD",3,"FTNT, ZS, DDOG",3.224372513049041
Nasdaq-100 Top2 PIT membership,2,2021-10-29,2021-11-01,"DXCM, NVDA",4,"DDOG, DASH, ZS, FTNT",3.7941299897678293
Nasdaq-100 Top2 PIT membership,2,2021-11-30,2021-12-01,"TSLA, DXCM",1,DDOG,4.128315718189886
Nasdaq-100 Top2 PIT membership,2,2021-12-31,2022-01-03,"TSLA, AMD",0,,3.990528850918168
Nasdaq-100 Top2 PIT membership,2,2022-01-31,2022-02-01,"DDOG, TSLA",0,,3.235157599898278
Nasdaq-100 Top2 PIT membership,2,2022-02-28,2022-03-01,"TSLA, PCAR",3,"FANG, STX, BKR",3.2635972906066444
Nasdaq-100 Top2 PIT membership,2,2022-03-31,2022-04-01,"QCOM, MU",1,FANG,3.5937307553634326
Nasdaq-100 Top2 PIT membership,2,2022-04-29,2022-05-02,"VRTX, EXC",2,"BKR, FANG",3.2282980588939707
Nasdaq-100 Top2 PIT membership,2,2022-05-31,2022-06-01,"VRTX, KHC",1,BKR,3.4034200243754658
Nasdaq-100 Top2 PIT membership,2,2022-06-30,2022-07-01,"EXC, VRTX",2,"BKR, FANG",3.4479580322309777
Nasdaq-100 Top2 PIT membership,2,2022-07-29,2022-08-01,"TMUS, CEG",0,,3.494919785351073
Nasdaq-100 Top2 PIT membership,2,2022-08-31,2022-09-01,"CEG, ADP",1,CSGP,3.9039779043342877
Nasdaq-100 Top2 PIT membership,2,2022-09-30,2022-10-03,"PDD, CEG",0,,3.8739524438532618
Nasdaq-100 Top2 PIT membership,2,2022-10-31,2022-11-01,"CEG, PDD",1,ALNY,4.040526490123575
Nasdaq-100 Top2 PIT membership,2,2022-11-30,2022-12-01,"DXCM, NFLX",1,ALNY,4.747888503619857
Nasdaq-100 Top2 PIT membership,2,2022-12-30,2023-01-03,"NFLX, CEG",1,AXON,4.666832480143815
Nasdaq-100 Top2 PIT membership,2,2023-01-31,2023-02-01,"PDD, GILD",2,"ALNY, AXON",5.0768791653381
Nasdaq-100 Top2 PIT membership,2,2023-02-28,2023-03-01,"PDD, NFLX",0,,4.7470143266989195
Nasdaq-100 Top2 PIT membership,2,2023-03-31,2023-04-03,"NVDA, PDD",1,AXON,4.399551257690049
Nasdaq-100 Top2 PIT membership,2,2023-04-28,2023-05-01,"NVDA, AMD",0,,4.236223931418169
Nasdaq-100 Top2 PIT membership,2,2023-05-31,2023-06-01,"META, NVDA",0,,5.678934993553332
Nasdaq-100 Top2 PIT membership,2,2023-06-30,2023-07-03,"NVDA, META",2,"APP, PLTR",6.203441508841801
Nasdaq-100 Top2 PIT membership,2,2023-07-31,2023-08-01,"NVDA, META",2,"APP, PLTR",6.834307554603822
Nasdaq-100 Top2 PIT membership,2,2023-08-31,2023-09-01,"NVDA, META",2,"PLTR, APP",6.883602056404607
Nasdaq-100 Top2 PIT membership,2,2023-09-29,2023-10-02,"NVDA, ADBE",2,"APP, PLTR",6.518297142606054
Nasdaq-100 Top2 PIT membership,2,2023-10-31,2023-11-01,"ZS, NVDA",2,"APP, PLTR",6.451757401779791
Nasdaq-100 Top2 PIT membership,2,2023-11-30,2023-12-01,"PDD, CEG",3,"APP, MSTR, INSM",7.679676101393936
Nasdaq-100 Top2 PIT membership,2,2023-12-29,2024-01-02,"PDD, CRWD",0,,7.566754172275887
Nasdaq-100 Top2 PIT membership,2,2024-01-31,2024-02-01,"PDD, CRWD",0,,7.75830972012818
Nasdaq-100 Top2 PIT membership,2,2024-02-29,2024-03-01,"CRWD, ZS",0,,8.095186640519385
Nasdaq-100 Top2 PIT membership,2,2024-03-28,2024-04-01,"CRWD, NVDA",2,"MSTR, ARM",7.498395402711882
Nasdaq-100 Top2 PIT membership,2,2024-04-30,2024-05-01,"NVDA, DASH",2,"MSTR, ARM",6.928046415879227
Nasdaq-100 Top2 PIT membership,2,2024-05-31,2024-06-03,"NVDA, CEG",2,"MSTR, APP",7.452049746907232
Nasdaq-100 Top2 PIT membership,2,2024-06-28,2024-07-01,"NVDA, CEG",2,"MSTR, APP",7.66057685945355
Nasdaq-100 Top2 PIT membership,2,2024-07-31,2024-08-01,"ARM, NVDA",3,"MSTR, INSM, APP",7.129476896699087
Nasdaq-100 Top2 PIT membership,2,2024-08-30,2024-09-03,"NVDA, CHTR",3,"INSM, ALNY, MSTR",7.127491104911529
Nasdaq-100 Top2 PIT membership,2,2024-09-30,2024-10-01,"AAPL, MELI",5,"INSM, ALNY, MPWR, PLTR, APP",7.092131422752563
Nasdaq-100 Top2 PIT membership,2,2024-10-31,2024-11-01,"CEG, ARM",5,"INSM, APP, ALNY, PLTR, MSTR",6.913716077255041
Nasdaq-100 Top2 PIT membership,2,2024-11-29,2024-12-02,"APP, TSLA",4,"PLTR, ALNY, MSTR, AXON",6.6342669326064305
Nasdaq-100 Top3 PIT membership,3,2019-12-31,2020-01-02,"TSLA, LRCX, KLAC",3,"PDD, ALNY, DXCM",1.0
Nasdaq-100 Top3 PIT membership,3,2020-01-31,2020-02-03,"TSLA, AMD, LRCX",3,"PDD, ALNY, DXCM",1.1484075647048313
Nasdaq-100 Top3 PIT membership,3,2020-02-28,2020-03-02,"TSLA, AAPL, AMD",0,,1.1924444276334867
Nasdaq-100 Top3 PIT membership,3,2020-03-31,2020-04-01,"TSLA, REGN, AMD",1,DXCM,1.0055875874611846
Nasdaq-100 Top3 PIT membership,3,2020-04-30,2020-05-01,"DXCM, TSLA, REGN",0,,1.2535344612826191
Nasdaq-100 Top3 PIT membership,3,2020-05-29,2020-06-01,"TSLA, DXCM, REGN",1,SHOP,1.4468396686798157
Nasdaq-100 Top3 PIT membership,3,2020-06-30,2020-07-01,"TSLA, DXCM, REGN",5,"ZS, SHOP, CRWD, DDOG, PDD",1.6221355320152402
Nasdaq-100 Top3 PIT membership,3,2020-07-31,2020-08-03,"REGN, TSLA, DXCM",5,"PDD, SHOP, ZS, DDOG, CRWD",1.8648791253562027
Nasdaq-100 Top3 PIT membership,3,2020-08-31,2020-09-01,"PDD, TSLA, MELI",4,"ZS, DDOG, SHOP, CRWD",2.200721266975377
Nasdaq-100 Top3 PIT membership,3,2020-09-30,2020-10-01,"TSLA, MELI, PDD",1,SHOP,1.9482318933931297
Nasdaq-100 Top3 PIT membership,3,2020-10-30,2020-11-02,"TSLA, NVDA, MELI",3,"DDOG, ZS, CRWD",2.0945440789257526
Nasdaq-100 Top3 PIT membership,3,2020-11-30,2020-12-01,"TSLA, QCOM, MELI",0,,2.6731385222310218
Nasdaq-100 Top3 PIT membership,3,2020-12-31,2021-01-04,"TSLA, AMD, QCOM",1,MSTR,2.970729783426831
Nasdaq-100 Top3 PIT membership,3,2021-01-29,2021-02-01,"TSLA, PDD, MELI",3,"MSTR, CRWD, ZS",3.0741646076102276
Nasdaq-100 Top3 PIT membership,3,2021-02-26,2021-03-01,"TSLA, PDD, MU",4,"MSTR, AXON, WBD, CRWD",2.899032890348735
Nasdaq-100 Top3 PIT membership,3,2021-03-31,2021-04-01,"PDD, AMAT, MU",5,"MSTR, WBD, FANG, BKR, AXON",2.6658954879046624
Nasdaq-100 Top3 PIT membership,3,2021-04-30,2021-05-03,"AMAT, LRCX, MU",4,"MSTR, FANG, WBD, PLTR",2.5393820413280386
Nasdaq-100 Top3 PIT membership,3,2021-05-28,2021-06-01,"AMAT, ASML, LRCX",5,"MSTR, FANG, STX, FTNT, WDC",2.5872137977599303
Nasdaq-100 Top3 PIT membership,3,2021-06-30,2021-07-01,"AMAT, ASML, GOOG",5,"FANG, STX, WDC, FTNT, ODFL",2.5983538278758815
Nasdaq-100 Top3 PIT membership,3,2021-07-30,2021-08-02,"NVDA, AMAT, GOOG",2,"FANG, FTNT",2.773599150196172
Nasdaq-100 Top3 PIT membership,3,2021-08-31,2021-09-01,"NVDA, ASML, DXCM",1,FTNT,2.9365500257096047
Nasdaq-100 Top3 PIT membership,3,2021-09-30,2021-10-01,"NVDA, CRWD, DXCM",3,"FTNT, ZS, DDOG",2.7854408860756985
Nasdaq-100 Top3 PIT membership,3,2021-10-29,2021-11-01,"DXCM, NVDA, MRVL",7,"DDOG, DASH, ZS, FTNT, ALNY, MPWR, PANW",3.2444748613599836
Nasdaq-100 Top3 PIT membership,3,2021-11-30,2021-12-01,"TSLA, DXCM, NVDA",4,"DDOG, ZS, FTNT, MPWR",3.501756041230457
Nasdaq-100 Top3 PIT membership,3,2021-12-31,2022-01-03,"TSLA, AMD, DDOG",0,,3.309593684482434
Nasdaq-100 Top3 PIT membership,3,2022-01-31,2022-02-01,"DDOG, TSLA, NVDA",0,,2.714759015501542
Nasdaq-100 Top3 PIT membership,3,2022-02-28,2022-03-01,"TSLA, PCAR, EXC",3,"FANG, STX, BKR",2.7049276196258254
Nasdaq-100 Top3 PIT membership,3,2022-03-31,2022-04-01,"QCOM, MU, VRTX",1,FANG,3.0121402177031205
Nasdaq-100 Top3 PIT membership,3,2022-04-29,2022-05-02,"VRTX, EXC, PANW",2,"BKR, FANG",2.8185879156976203
Nasdaq-100 Top3 PIT membership,3,2022-05-31,2022-06-01,"VRTX, KHC, EXC",1,BKR,2.8405079898778363
Nasdaq-100 Top3 PIT membership,3,2022-06-30,2022-07-01,"EXC, VRTX, AEP",2,"BKR, FANG",2.781932167125938
Nasdaq-100 Top3 PIT membership,3,2022-07-29,2022-08-01,"TMUS, CEG, PDD",0,,2.829745082404337
Nasdaq-100 Top3 PIT membership,3,2022-08-31,2022-09-01,"CEG, ADP, VRTX",1,CSGP,3.4836711538809535
Nasdaq-100 Top3 PIT membership,3,2022-09-30,2022-10-03,"PDD, CEG, TMUS",1,ALNY,3.5171254538885046
Nasdaq-100 Top3 PIT membership,3,2022-10-31,2022-11-01,"CEG, PDD, NFLX",1,ALNY,3.7677243459655743
Nasdaq-100 Top3 PIT membership,3,2022-11-30,2022-12-01,"DXCM, NFLX, CEG",1,ALNY,4.250174393206079
Nasdaq-100 Top3 PIT membership,3,2022-12-30,2023-01-03,"NFLX, CEG, ROST",1,AXON,4.041204691307314
Nasdaq-100 Top3 PIT membership,3,2023-01-31,2023-02-01,"PDD, GILD, ROST",2,"ALNY, AXON",4.3065319626214995
Nasdaq-100 Top3 PIT membership,3,2023-02-28,2023-03-01,"PDD, NFLX, IDXX",2,"AXON, SHOP",3.9786888589031864
Nasdaq-100 Top3 PIT membership,3,2023-03-31,2023-04-03,"NVDA, PDD, BKNG",2,"AXON, SHOP",3.865232305495873
Nasdaq-100 Top3 PIT membership,3,2023-04-28,2023-05-01,"NVDA, AMD, META",2,"SHOP, AXON",3.7878183917520856
Nasdaq-100 Top3 PIT membership,3,2023-05-31,2023-06-01,"META, NVDA, MELI",1,MSTR,4.792077639174495
Nasdaq-100 Top3 PIT membership,3,2023-06-30,2023-07-03,"NVDA, META, AMD",3,"APP, PLTR, MSTR",5.017634181517494
Nasdaq-100 Top3 PIT membership,3,2023-07-31,2023-08-01,"NVDA, META, PANW",2,"APP, PLTR",5.344119030942375
Nasdaq-100 Top3 PIT membership,3,2023-08-31,2023-09-01,"NVDA, META, ADBE",3,"PLTR, APP, MSTR",5.34393702588619
Nasdaq-100 Top3 PIT membership,3,2023-09-29,2023-10-02,"NVDA, ADBE, META",2,"APP, PLTR",4.9789232313823995
Nasdaq-100 Top3 PIT membership,3,2023-10-31,2023-11-01,"ZS, NVDA, TSLA",2,"APP, PLTR",4.942476269307573
Nasdaq-100 Top3 PIT membership,3,2023-11-30,2023-12-01,"PDD, CEG, FANG",3,"APP, MSTR, INSM",5.812369765820549
Nasdaq-100 Top3 PIT membership,3,2023-12-29,2024-01-02,"PDD, CRWD, ZS",2,"APP, MSTR",5.789579870972585
Nasdaq-100 Top3 PIT membership,3,2024-01-31,2024-02-01,"PDD, CRWD, INTC",1,MSTR,6.055279851854387
Nasdaq-100 Top3 PIT membership,3,2024-02-29,2024-03-01,"CRWD, ZS, AMD",0,,6.262124324019811
Nasdaq-100 Top3 PIT membership,3,2024-03-28,2024-04-01,"CRWD, NVDA, AMD",2,"MSTR, ARM",5.784116842839898
Nasdaq-100 Top3 PIT membership,3,2024-04-30,2024-05-01,"NVDA, DASH, AMD",3,"MSTR, ARM, APP",5.146642906830695
Nasdaq-100 Top3 PIT membership,3,2024-05-31,2024-06-03,"NVDA, CEG, MU",4,"MSTR, APP, ARM, WDC",5.672816796084761
Nasdaq-100 Top3 PIT membership,3,2024-06-28,2024-07-01,"NVDA, CEG, ARM",3,"MSTR, APP, INSM",5.823764666812861
Nasdaq-100 Top3 PIT membership,3,2024-07-31,2024-08-01,"ARM, NVDA, CEG",3,"MSTR, INSM, APP",5.143074861274316
Nasdaq-100 Top3 PIT membership,3,2024-08-30,2024-09-03,"NVDA, CHTR, BKR",3,"INSM, ALNY, MSTR",5.222796571131058
Nasdaq-100 Top3 PIT membership,3,2024-09-30,2024-10-01,"AAPL, MELI, NVDA",5,"INSM, ALNY, MPWR, PLTR, APP",5.280106174080527
Nasdaq-100 Top3 PIT membership,3,2024-10-31,2024-11-01,"CEG, ARM, AVGO",5,"INSM, APP, ALNY, PLTR, MSTR",5.374260090036211
Nasdaq-100 Top3 PIT membership,3,2024-11-29,2024-12-02,"APP, TSLA, ADSK",4,"PLTR, ALNY, MSTR, AXON",5.180267823338084
