strategy,passed_is_dd_lt_50,top_n,lookback,skip,cash_filter,dca_steps,is_return,is_cagr,is_max_drawdown,is_sharpe,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe
SMH_HIST_PIT Top2 L126 S0 both_sma200 DCA3,True,2,126,0,both_sma200,3,5.283629416279131,0.20185991494952082,-0.4900365868913441,0.8290441924939527,7.9676046065272,0.4093583890409507,-0.2597664977459816,1.0932394615970036
SMH_HIST_PIT Top2 L126 S21 none DCA1,True,2,126,21,none,1,32.55051158769934,0.42112604051403824,-0.3403681928842158,1.2326101443806028,5.559637941159536,0.3420837027882273,-0.41145631295373575,0.8970110526287256
SMH_HIST_PIT Top2 L126 S21 none DCA3,True,2,126,21,none,3,37.6867395882064,0.4415225396992972,-0.3403681928842158,1.2962118917152408,5.559637941159536,0.3420837027882273,-0.41145631295373575,0.8970110526287256
SMH_HIST_PIT Top2 L126 S21 smh_sma100 DCA1,True,2,126,21,smh_sma100,1,10.680069398124523,0.27875810075172947,-0.37878623881188367,1.0537999337973842,4.339638889245695,0.2995718843654174,-0.36810082561561586,0.9243136862596
SMH_HIST_PIT Top2 L126 S21 smh_sma100 DCA3,True,2,126,21,smh_sma100,3,8.12348123927546,0.24754294965457424,-0.37370361938857954,1.0474685605082616,3.2799107374296748,0.25536938291515243,-0.31102871466752635,0.8564428289919138
SMH_HIST_PIT Top2 L126 S21 smh_sma200 DCA1,True,2,126,21,smh_sma200,1,7.024164894789637,0.2316211590765498,-0.4768447845807169,0.8533078334218848,5.774667978819894,0.34887222698697107,-0.3235026316935289,0.9644134506095599
SMH_HIST_PIT Top2 L126 S21 smh_sma200 DCA3,True,2,126,21,smh_sma200,3,7.014908779054659,0.2314789556708028,-0.46692780906276576,0.8939422089407757,4.846918280621935,0.31815287028414874,-0.2862609560639282,0.9169329078004488
SMH_HIST_PIT Top2 L126 S21 both_sma200 DCA1,True,2,126,21,both_sma200,1,7.58029216972133,0.23990542511404,-0.45011245798510147,0.882922831942457,5.731493718560521,0.3475239427886849,-0.3235026316935289,0.962166879175948
SMH_HIST_PIT Top2 L126 S21 both_sma200 DCA3,True,2,126,21,both_sma200,3,7.466332559538117,0.2382480319343636,-0.43968874217177933,0.9201115993600089,4.809656473496909,0.31683529205073824,-0.2862609560639282,0.9146278759990986
SMH_HIST_PIT Top2 L252 S0 none DCA1,True,2,252,0,none,1,30.617818573814034,0.41271583925505295,-0.38370079387015976,1.2256122884009404,16.935751134262375,0.5707671438034654,-0.38059886834003653,1.2909348887327081
SMH_HIST_PIT Top2 L252 S0 none DCA3,True,2,252,0,none,3,35.45817174247679,0.4329916322831968,-0.38370079387015976,1.2897098051491913,16.935751134262375,0.5707671438034654,-0.38059886834003653,1.2909348887327081
SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA1,True,2,252,0,smh_sma100,1,22.499129719396286,0.3713916695149757,-0.2284218412480763,1.3743720946834965,9.935973686550533,0.453791820317623,-0.26893798462021246,1.2318625696127279
SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA3,True,2,252,0,smh_sma100,3,19.570118783037838,0.3532487475227788,-0.21326887569084363,1.4389689112765927,6.796647468595246,0.37884607027877437,-0.2577561887355079,1.1052855218000817
SMH_HIST_PIT Top2 L252 S0 smh_sma200 DCA1,True,2,252,0,smh_sma200,1,11.99387557146876,0.29246749003076355,-0.35347084601297707,1.018927069185002,11.94995914427368,0.49274440779088113,-0.19475896181518026,1.27855895649577
SMH_HIST_PIT Top2 L252 S0 smh_sma200 DCA3,True,2,252,0,smh_sma200,3,12.955670592223235,0.30173356332574053,-0.38400038311229734,1.114460975619711,9.365700745163714,0.44166378318328303,-0.18459157775805513,1.1962650223164557
SMH_HIST_PIT Top2 L252 S0 both_sma200 DCA1,True,2,252,0,both_sma200,1,13.737612326306454,0.3088525312030477,-0.32650808136160747,1.0733131439718024,10.86877860830578,0.4725256558869393,-0.19475896181518026,1.2338180485701995
