rank_balanced,variant,unit_exposure,max_exposure,anchor_mode,add1_drop_pct,add2_drop_pct,sell_mode,sell_param_pct,max_extra_days,trend_guard_sma,trend_guard_exposure,equity_dd_guard_pct,equity_dd_guard_exposure,net_return_pct,cagr_pct,max_drawdown_pct,calmar,sharpe,dca_trade_events,rotation_resets,max_exposure_used,avg_exposure,days_above_1x_pct,base_rotation_return_pct,base_rotation_max_drawdown_pct,soxl_only_return_pct,soxl_only_max_drawdown_pct,beats_base_return,reduces_base_drawdown,beats_soxl_only_return,reduces_soxl_only_drawdown
2588,"unit=1.00, cap=2.00, anchor=rolling_high, add=10%/20%, sell=rebound_from_low 20%, max_days=10, trend_sma=none, dd_guard=none",1.0,2.0,rolling_high,10.0,20.0,rebound_from_low,20.0,10,none,none,none,none,342205.8,66.83,-96.51,0.692,1.03,432,123,2.0,1.376,37.6,775116.8,-79.24,41069.8,-66.18,False,False,True,False
2589,"unit=1.00, cap=2.00, anchor=rolling_high, add=10%/30%, sell=rebound_from_low 20%, max_days=10, trend_sma=none, dd_guard=none",1.0,2.0,rolling_high,10.0,30.0,rebound_from_low,20.0,10,none,none,none,none,342205.8,66.83,-96.51,0.692,1.03,373,123,2.0,1.376,37.6,775116.8,-79.24,41069.8,-66.18,False,False,True,False
2590,"unit=0.75, cap=2.00, anchor=rolling_high, add=5%/20%, sell=extra_profit 20%, max_days=10, trend_sma=none, dd_guard=45.0",0.75,2.0,rolling_high,5.0,20.0,extra_profit,20.0,10,none,none,45.0,0.75,342159.67,66.83,-76.85,0.87,1.06,622,123,2.0,1.034,35.83,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2591,"unit=0.50, cap=1.50, anchor=rolling_high, add=5%/40%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=none",0.5,1.5,rolling_high,5.0,40.0,rebound_from_low,20.0,20,none,none,none,none,340327.14,66.77,-76.02,0.878,1.14,369,123,1.5,0.829,0.45,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2592,"unit=0.67, cap=2.00, anchor=rolling_high, add=10%/20%, sell=extra_profit 20%, max_days=20, trend_sma=none, dd_guard=none",0.67,2.0,rolling_high,10.0,20.0,extra_profit,20.0,20,none,none,none,none,339218.96,66.74,-91.32,0.731,1.03,304,123,2.0,1.061,43.03,775116.8,-79.24,41069.8,-66.18,False,False,True,False
2593,"unit=0.67, cap=1.50, anchor=rolling_high, add=10%/20%, sell=extra_profit 20%, max_days=20, trend_sma=none, dd_guard=none",0.67,1.5,rolling_high,10.0,20.0,extra_profit,20.0,20,none,none,none,none,335041.71,66.61,-85.28,0.781,1.05,304,123,1.5,0.983,43.03,775116.8,-79.24,41069.8,-66.18,False,False,True,False
2594,"unit=0.75, cap=2.00, anchor=rolling_high, add=10%/20%, sell=extra_profit 15%, max_days=10, trend_sma=200, dd_guard=45.0",0.75,2.0,rolling_high,10.0,20.0,extra_profit,15.0,10,200,0.75,45.0,0.75,334913.25,66.6,-68.15,0.977,1.08,441,123,2.0,0.91,19.38,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2595,"unit=0.75, cap=1.50, anchor=rolling_high, add=5%/20%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=45.0",0.75,1.5,rolling_high,5.0,20.0,rebound_from_low,20.0,20,none,none,45.0,0.75,331662.14,66.5,-76.22,0.872,1.06,435,123,1.5,1.095,46.08,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2596,"unit=0.75, cap=1.50, anchor=rolling_high, add=5%/40%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=45.0",0.75,1.5,rolling_high,5.0,40.0,rebound_from_low,20.0,20,none,none,45.0,0.75,331662.14,66.5,-76.22,0.872,1.06,369,123,1.5,1.095,46.08,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2597,"unit=0.75, cap=2.00, anchor=rolling_high, add=5%/40%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=45.0",0.75,2.0,rolling_high,5.0,40.0,rebound_from_low,20.0,20,none,none,45.0,0.75,331662.14,66.5,-76.22,0.872,1.06,369,123,1.5,1.095,46.08,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2598,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/20%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=none",0.5,1.0,rolling_high,5.0,20.0,rebound_from_low,20.0,20,none,none,none,none,328601.79,66.4,-74.25,0.894,1.14,435,123,1.0,0.826,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2599,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/20%, sell=rebound_from_low 20%, max_days=20, trend_sma=100, dd_guard=none",0.5,1.0,rolling_high,5.0,20.0,rebound_from_low,20.0,20,100,1.0,none,none,328601.79,66.4,-74.25,0.894,1.14,435,123,1.0,0.826,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2600,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/20%, sell=rebound_from_low 20%, max_days=20, trend_sma=200, dd_guard=none",0.5,1.0,rolling_high,5.0,20.0,rebound_from_low,20.0,20,200,1.0,none,none,328601.79,66.4,-74.25,0.894,1.14,435,123,1.0,0.826,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
2601,"unit=0.50, cap=1.00, anchor=rolling_high, add=5%/40%, sell=rebound_from_low 20%, max_days=20, trend_sma=none, dd_guard=none",0.5,1.0,rolling_high,5.0,40.0,rebound_from_low,20.0,20,none,none,none,none,328601.79,66.4,-74.25,0.894,1.14,369,123,1.0,0.826,0.0,775116.8,-79.24,41069.8,-66.18,False,True,True,False
