variant,cash_mode,cash_sma,cash_exit_buffer,cash_reentry_buffer,unit_exposure,max_exposure,add1_drop,add2_drop,sell_mode,sell_param,max_extra_days,trend_guard_sma,trend_guard_exposure,vol_target,vol_window,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,max_exposure_used,trade_events,rotation_resets
"cash=selected SMA100 exit=5% reentry=5%; unit=0.67, cap=1.00, add=10%/20%, sell=extra_profit 15%, max_days=10, trend_sma=75, trend_exp=0.25, vol_target=50%/20d",selected,100,0.05,0.05,0.67,1.0,0.1,0.2,extra_profit,0.15,10,75.0,0.25,0.5,20,2010-06-25 to 2019-12-31,600.79,-40.38,0.806,21.79,2020-01-02 to 2026-05-20,865.03,-31.02,1.175,28.68,6945.45,-40.38,0.971,0.495,0.0,1.0,325,45
"cash=selected SMA200 exit=0% reentry=2%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 10%, max_days=5, trend_sma=150, trend_exp=0.5, vol_target=50%/20d",selected,200,0.0,0.02,0.67,1.0,0.05,0.15,extra_profit,0.1,5,150.0,0.5,0.5,20,2010-06-25 to 2019-12-31,1134.22,-43.26,0.9,17.4,2020-01-02 to 2026-05-20,1287.13,-36.45,1.23,24.38,17735.71,-43.26,1.045,0.58,0.0,1.0,839,55
"cash=selected_or_qqq SMA250 exit=0% reentry=0%; unit=0.67, cap=1.00, add=10%/20%, sell=extra_profit 10%, max_days=20, trend_sma=100, trend_exp=0.25, vol_target=50%/50d",selected_or_qqq,250,0.0,0.0,0.67,1.0,0.1,0.2,extra_profit,0.1,20,100.0,0.25,0.5,50,2010-06-25 to 2019-12-31,828.87,-44.43,0.856,8.72,2020-01-02 to 2026-05-20,744.02,-41.61,1.076,19.45,8067.5,-44.43,0.955,0.548,0.0,1.0,402,71
"cash=qqq SMA250 exit=3% reentry=4%; unit=1.00, cap=1.00, add=15%/30%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none, vol_target=35%/50d",qqq,250,0.03,0.04,1.0,1.0,0.15,0.3,extra_profit,0.12,10,,,0.35,50,2010-06-25 to 2019-12-31,696.86,-41.69,0.798,14.27,2020-01-02 to 2026-05-20,703.78,-42.23,1.149,21.01,6556.82,-42.23,0.941,0.56,0.0,1.0,271,74
"cash=selected_and_qqq SMA200 exit=3% reentry=4%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 10%, max_days=10, trend_sma=100, trend_exp=0.25, vol_target=35%/50d",selected_and_qqq,200,0.03,0.04,0.75,1.0,0.05,0.15,extra_profit,0.1,10,100.0,0.25,0.35,50,2010-06-25 to 2019-12-31,566.44,-37.6,0.812,20.87,2020-01-02 to 2026-05-20,421.79,-35.68,1.016,26.31,3514.13,-37.6,0.901,0.475,0.0,1.0,577,57
"cash=selected_and_qqq SMA250 exit=3% reentry=4%; unit=1.00, cap=2.00, add=15%/30%, sell=extra_profit 15%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=50%/50d",selected_and_qqq,250,0.03,0.04,1.0,2.0,0.15,0.3,extra_profit,0.15,20,200.0,0.5,0.5,50,2010-06-25 to 2019-12-31,1378.78,-47.1,0.875,18.28,2020-01-02 to 2026-05-20,1644.15,-45.42,1.245,25.37,27140.38,-47.1,1.033,0.683,3.92,2.0,205,61
"cash=qqq SMA100 exit=5% reentry=5%; unit=0.75, cap=1.00, add=10%/20%, sell=extra_profit 10%, max_days=5, trend_sma=75, trend_exp=0.25, vol_target=none",qqq,100,0.05,0.05,0.75,1.0,0.1,0.2,extra_profit,0.1,5,75.0,0.25,,20,2010-06-25 to 2019-12-31,728.98,-43.94,0.827,20.78,2020-01-02 to 2026-05-20,1000.24,-52.25,0.991,22.01,9447.39,-52.25,0.897,0.568,0.0,1.0,560,70
"cash=selected SMA200 exit=0% reentry=0%; unit=0.67, cap=1.00, add=8%/20%, sell=extra_profit 10%, max_days=5, trend_sma=100, trend_exp=0.25, vol_target=35%/20d",selected,200,0.0,0.0,0.67,1.0,0.08,0.2,extra_profit,0.1,5,100.0,0.25,0.35,20,2010-06-25 to 2019-12-31,544.42,-36.95,0.821,16.69,2020-01-02 to 2026-05-20,602.39,-27.58,1.189,23.75,4615.42,-36.95,0.978,0.464,0.0,1.0,630,55
"cash=selected_and_qqq SMA200 exit=3% reentry=4%; unit=0.67, cap=1.00, add=10%/20%, sell=extra_profit 12%, max_days=10, trend_sma=200, trend_exp=0.5, vol_target=35%/20d",selected_and_qqq,200,0.03,0.04,0.67,1.0,0.1,0.2,extra_profit,0.12,10,200.0,0.5,0.35,20,2010-06-25 to 2019-12-31,706.84,-33.61,0.9,20.87,2020-01-02 to 2026-05-20,594.98,-29.72,1.163,26.31,5741.63,-33.61,1.015,0.463,0.0,1.0,384,57
"cash=qqq SMA250 exit=0% reentry=2%; unit=0.75, cap=1.00, add=10%/20%, sell=extra_profit 12%, max_days=5, trend_sma=75, trend_exp=0.25, vol_target=none",qqq,250,0.0,0.02,0.75,1.0,0.1,0.2,extra_profit,0.12,5,75.0,0.25,,20,2010-06-25 to 2019-12-31,974.51,-47.16,0.882,12.1,2020-01-02 to 2026-05-20,1332.63,-52.29,1.082,20.89,16013.85,-52.29,0.971,0.6,0.0,1.0,580,71
"cash=selected SMA250 exit=3% reentry=4%; unit=0.50, cap=1.00, add=10%/20%, sell=extra_profit 10%, max_days=20, trend_sma=100, trend_exp=0.25, vol_target=35%/20d",selected,250,0.03,0.04,0.5,1.0,0.1,0.2,extra_profit,0.1,20,100.0,0.25,0.35,20,2010-06-25 to 2019-12-31,377.16,-40.16,0.775,15.98,2020-01-02 to 2026-05-20,454.49,-26.88,1.148,25.19,2628.32,-40.16,0.935,0.388,0.0,1.0,344,61
"cash=selected_or_qqq SMA250 exit=5% reentry=5%; unit=0.67, cap=1.00, add=8%/20%, sell=extra_profit 10%, max_days=10, trend_sma=200, trend_exp=0.5, vol_target=35%/20d",selected_or_qqq,250,0.05,0.05,0.67,1.0,0.08,0.2,extra_profit,0.1,10,200.0,0.5,0.35,20,2010-06-25 to 2019-12-31,567.89,-40.79,0.795,12.56,2020-01-02 to 2026-05-20,891.12,-32.72,1.298,20.01,6796.17,-40.79,1.005,0.503,0.0,1.0,516,79
"cash=selected_and_qqq SMA250 exit=0% reentry=2%; unit=0.67, cap=1.00, add=15%/30%, sell=rebound_from_low 5%, max_days=10, trend_sma=200, trend_exp=0.5, vol_target=35%/50d",selected_and_qqq,250,0.0,0.02,0.67,1.0,0.15,0.3,rebound_from_low,0.05,10,200.0,0.5,0.35,50,2010-06-25 to 2019-12-31,571.41,-37.87,0.83,16.94,2020-01-02 to 2026-05-20,555.72,-33.02,1.129,25.94,4475.59,-37.87,0.96,0.471,0.0,1.0,348,59
"cash=selected_or_qqq SMA250 exit=0% reentry=2%; unit=1.00, cap=2.00, add=5%/15%, sell=rebound_from_low 5%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=35%/20d",selected_or_qqq,250,0.0,0.02,1.0,2.0,0.05,0.15,rebound_from_low,0.05,20,200.0,0.5,0.35,20,2010-06-25 to 2019-12-31,862.79,-39.68,0.846,11.52,2020-01-02 to 2026-05-20,938.76,-38.21,1.266,20.7,10351.11,-39.68,1.015,0.585,2.2,2.0,917,71
"cash=selected_or_qqq SMA150 exit=5% reentry=5%; unit=1.00, cap=2.00, add=10%/20%, sell=extra_profit 15%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=35%/20d",selected_or_qqq,150,0.05,0.05,1.0,2.0,0.1,0.2,extra_profit,0.15,20,200.0,0.5,0.35,20,2010-06-25 to 2019-12-31,823.53,-39.84,0.841,11.98,2020-01-02 to 2026-05-20,1030.03,-33.51,1.305,21.01,10805.69,-39.84,1.028,0.581,0.4,2.0,325,73
