strategy,passed_is_dd_lt_50,universe,top_n,lookback,skip,cash_filter,dca_steps,is_return,is_cagr,is_max_drawdown,is_sharpe,is_calmar,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe,oos_calmar
SP500 Top2 L126 S21 benchmark_sma100 DCA1,False,SP500,2,126,21,benchmark_sma100,1,0.03031450063439145,0.002992103995130835,-0.6083892954557442,0.16131905628454346,0.004918074689150227,1.7583484728340601,0.1720809958925804,-0.39254073097435305,0.5195465541185945,0.43837742765049126
SP500 Top2 L126 S21 benchmark_sma100 DCA3,True,SP500,2,126,21,benchmark_sma100,3,0.18573711187562902,0.017189529461225206,-0.49644537597945304,0.2065606943678021,0.03462521818701893,1.1500457782040838,0.1272625392981681,-0.3305193277321936,0.43646267072684014,0.38503811614092287
SP500 Top2 L126 S21 both_sma200 DCA1,False,SP500,2,126,21,both_sma200,1,0.34906566529016936,0.03040664628726697,-0.6900508876599567,0.2582225511082435,0.04406435355858966,3.4504549848375774,0.2631922619230376,-0.2998939987904138,0.6763186255745426,0.8776176348462849
SP500 Top2 L126 S21 both_sma200 DCA3,False,SP500,2,126,21,both_sma200,3,0.5524457735030541,0.04498364114986342,-0.6454263517420258,0.30544258903927246,0.06969600951131166,2.5201255225481303,0.21767512114541643,-0.31115950719361984,0.6040734508767425,0.6995612093252465
SP500 Top2 L252 S0 none DCA1,False,SP500,2,252,0,none,1,2.5398050802376937,0.13480303709713182,-0.6332424071273124,0.5640076994190522,0.21287746300608998,16.482653156439543,0.5647929064006316,-0.23584181849765862,1.2230786266832911,2.3947954183801325
SP500 Top2 L252 S0 none DCA3,False,SP500,2,252,0,none,3,2.700753123935927,0.13986221986189196,-0.6332424071273124,0.5799913222803893,0.2208667933285979,16.482653156439543,0.5647929064006316,-0.23584181849765862,1.2230786266832911,2.3947954183801325
SP500 Top2 L252 S0 benchmark_sma200 DCA1,False,SP500,2,252,0,benchmark_sma200,1,2.3015936532968944,0.12692152336697005,-0.6415257530643628,0.571204193202871,0.1978432241585106,3.644678313626752,0.2716645270407312,-0.3238378890043765,0.8530820795154204,0.8388904951052834
SP500 Top2 L252 S0 benchmark_sma200 DCA3,False,SP500,2,252,0,benchmark_sma200,3,2.4446195355839513,0.13171271236220305,-0.6142337820755531,0.6082933709014962,0.21443417181831573,2.399395977389375,0.21104308326379484,-0.23584181849765862,0.7569826138362238,0.8948501356043014
SP500 Top2 L252 S0 benchmark_sma100 DCA1,True,SP500,2,252,0,benchmark_sma100,1,2.559940640898135,0.1354471680959637,-0.4831632636733145,0.6115676449161227,0.2803341608925483,2.80835773175809,0.23276481538995064,-0.37114337203177306,0.7736220346430626,0.6271560613239888
SP500 Top2 L252 S0 benchmark_sma100 DCA3,True,SP500,2,252,0,benchmark_sma100,3,2.4810077395516914,0.13290307252388822,-0.443540175567968,0.632427105610995,0.2996415653975458,1.426048266166859,0.14877056413960665,-0.33352650686517316,0.6004516481630379,0.4460531954053853
SP500 Top2 L252 S0 both_sma200 DCA1,False,SP500,2,252,0,both_sma200,1,1.8967897728234933,0.11227115735168303,-0.6854777900039848,0.5288552080478156,0.16378525896664045,3.9299895765665633,0.2835836169529946,-0.2823028993207589,0.8831405669673876,1.004536678990252
SP500 Top2 L252 S0 both_sma200 DCA3,False,SP500,2,252,0,both_sma200,3,2.0222794473764085,0.11700005924797163,-0.661532050236272,0.5624545466203323,0.17686226873842925,2.6082125829863605,0.2223939789521696,-0.22841201937817845,0.7900433921234339,0.9736526981268667
SP500 Top2 L252 S21 none DCA1,False,SP500,2,252,21,none,1,6.3108099836921,0.22020287894282742,-0.5372266729854216,0.7891242410812596,0.4098882092341736,13.647006762100965,0.5220510228993289,-0.28616703063651805,1.166410358188677,1.8242878005133463
SP500 Top2 L252 S21 none DCA3,False,SP500,2,252,21,none,3,5.796379125594627,0.2113285507073397,-0.5372266729854216,0.7678060157739907,0.39336943106894917,13.647006762100965,0.5220510228993289,-0.28616703063651805,1.166410358188677,1.8242878005133463
SP500 Top2 L252 S21 benchmark_sma200 DCA1,False,SP500,2,252,21,benchmark_sma200,1,3.6516361144027814,0.1662401847983499,-0.5749175944323582,0.6805875973607461,0.2891548048072633,3.1047987908729606,0.24731073518547753,-0.31078570451262033,0.8355331864757528,0.7957596877672176
SP500 Top2 L252 S21 benchmark_sma200 DCA3,False,SP500,2,252,21,benchmark_sma200,3,2.9809519558187914,0.14821533786167196,-0.5751654616173578,0.640414673938439,0.25769165179858394,2.1772755742208307,0.1983041742056464,-0.28616703063651805,0.7710442252969419,0.6929665299477745
SP500 Top2 L252 S21 benchmark_sma100 DCA1,True,SP500,2,252,21,benchmark_sma100,1,4.630273327849908,0.18873153268074705,-0.45163722526525785,0.757480554107432,0.4178830311648919,2.2098609400217857,0.20021910634784268,-0.3886817845380506,0.7332470102958542,0.5151234616919433
SP500 Top2 L252 S21 benchmark_sma100 DCA3,True,SP500,2,252,21,benchmark_sma100,3,3.70027549297032,0.16745445103878676,-0.46386116900225194,0.7191848096513896,0.3610012267225882,1.1315075350805817,0.12573595728990927,-0.34330994688751515,0.5727849933247865,0.3662461819992254
SP500 Top2 L252 S21 both_sma200 DCA1,False,SP500,2,252,21,both_sma200,1,3.45106321551041,0.16110907151286735,-0.5575248642203192,0.6777828835464387,0.28897199363148274,3.8495928514141022,0.280285145305331,-0.29426083297217653,0.9093531355477726,0.9525057836420691
SP500 Top2 L252 S21 both_sma200 DCA3,False,SP500,2,252,21,both_sma200,3,2.6348783438401555,0.13781594494174199,-0.5577828731731753,0.6180274419081402,0.24707812227671994,2.6314615932601426,0.22362321640312044,-0.28616703063651805,0.8395091047099985,0.7814429772210931
SP500 Top3 L63 S0 none DCA1,True,SP500,3,63,0,none,1,0.6334600015999783,0.050315092023260455,-0.4513181789177414,0.31555227018323506,0.11148474485099576,11.635408552124149,0.4872665564368954,-0.23237398892675787,1.1492500319596939,2.096906623186975
SP500 Top3 L63 S0 none DCA3,True,SP500,3,63,0,none,3,0.7285513783840232,0.056277416044318684,-0.4513181789177416,0.33628390086734006,0.12469565524542264,11.635408552124149,0.4872665564368954,-0.23237398892675787,1.1492500319596939,2.096906623186975
SP500 Top3 L63 S0 benchmark_sma200 DCA1,True,SP500,3,63,0,benchmark_sma200,1,0.5726896533355612,0.04633892523275662,-0.4387837903716916,0.3031846995800681,0.10560765062333581,6.283871413873336,0.3644321253899485,-0.2654055078443367,0.9654986639559263,1.3731144027489137
SP500 Top3 L63 S0 benchmark_sma200 DCA3,True,SP500,3,63,0,benchmark_sma200,3,0.5448276671645056,0.04446950353622303,-0.4629214460514537,0.3001244655964278,0.09606274221151605,4.226852666888999,0.29538283553424094,-0.3003952791384934,0.8705417187395759,0.9833138402886101
SP500 Top3 L63 S0 benchmark_sma100 DCA1,True,SP500,3,63,0,benchmark_sma100,1,0.5465727446589748,0.04458747804578089,-0.4241560252488892,0.2978211006777925,0.10512046367752892,4.826420003615972,0.3175845485419728,-0.3122388108309353,0.8778358979493438,1.017120670222934
SP500 Top3 L63 S0 benchmark_sma100 DCA3,True,SP500,3,63,0,benchmark_sma100,3,0.36892404936203227,0.03191408042363464,-0.4241560252488893,0.25220107847391565,0.07524136997678595,2.945797366556081,0.23962329576662333,-0.26266587216837933,0.7526664925659291,0.9122741899755261
SP500 Top3 L63 S0 both_sma200 DCA1,True,SP500,3,63,0,both_sma200,1,0.6453670068231467,0.05107852643361088,-0.43267482268039326,0.32110776764766885,0.1180529204754338,6.0179630135611015,0.3565144348894722,-0.25435881584785547,0.9518094872149754,1.4016201235294359
SP500 Top3 L63 S0 both_sma200 DCA3,True,SP500,3,63,0,both_sma200,3,0.5863742180030429,0.04724621139431928,-0.3754679656015325,0.3126260104622976,0.12583286917334405,4.316593573215339,0.29883836397186325,-0.2864558146273801,0.8791806116595194,1.043226734149524
SP500 Top3 L63 S21 none DCA1,True,SP500,3,63,21,none,1,4.979954558346074,0.19591881548160162,-0.363227005457452,0.7654266910849234,0.5393839459564944,1.4428184762837644,0.15000964347216117,-0.5402636950257141,0.5417912639758782,0.2776600479605082
SP500 Top3 L63 S21 none DCA3,True,SP500,3,63,21,none,3,5.085800956148936,0.19801980552241938,-0.363227005457452,0.7726527060021866,0.5451681800835021,1.4428184762837644,0.15000964347216117,-0.5402636950257141,0.5417912639758782,0.2776600479605082
SP500 Top3 L63 S21 benchmark_sma200 DCA1,True,SP500,3,63,21,benchmark_sma200,1,2.498112430452146,0.13345875033148435,-0.46691650232028803,0.59639671952324,0.28583001386388446,0.9573643452333651,0.11082077255341338,-0.5060533193588771,0.45154439711013294,0.21899030855842044
SP500 Top3 L63 S21 benchmark_sma200 DCA3,True,SP500,3,63,21,benchmark_sma200,3,2.3158376642128116,0.1274069673369922,-0.38580682402060107,0.593065391738423,0.3302351316890885,1.0345877728917214,0.1175675573089614,-0.4748753303407859,0.47047990416237795,0.2475756262693013
SP500 Top3 L63 S21 benchmark_sma100 DCA1,True,SP500,3,63,21,benchmark_sma100,1,2.4051870018151265,0.13040991861932705,-0.38731135579312614,0.6001929650519947,0.3367056417756639,0.4957327236619893,0.06503303051528442,-0.5197964145721274,0.3336065088647642,0.12511250307260513
SP500 Top3 L63 S21 benchmark_sma100 DCA3,True,SP500,3,63,21,benchmark_sma100,3,1.739998853710524,0.10609651229958494,-0.363227005457452,0.5388815510324755,0.29209422951899144,0.5794697125418882,0.07415074188395354,-0.45446554988640797,0.3593997503983715,0.16316031413709411
SP500 Top3 L63 S21 both_sma200 DCA1,True,SP500,3,63,21,both_sma200,1,1.869799252156584,0.11123001250220965,-0.42576144519265247,0.5377490178585923,0.2612496123313356,1.597968328704375,0.1611450290211116,-0.44224611311527773,0.5796649623017799,0.3643786214105332
SP500 Top3 L63 S21 both_sma200 DCA3,True,SP500,3,63,21,both_sma200,3,1.7212474054926887,0.10533689123176604,-0.44461583655459225,0.5325717117019877,0.23691664257404882,1.609079876181545,0.16192080170065437,-0.42430330608113065,0.5869138663301294,0.3816156965547981
SP500 Top3 L126 S0 none DCA1,True,SP500,3,126,0,none,1,1.8997161428367768,0.11238351534878,-0.4498353274369403,0.5327116187591783,0.24983256870712173,12.180806171134392,0.4971345823993909,-0.23691703255953678,1.1566703993056258,2.0983488482385155
