strategy,passed_is_dd_lt_50,universe,top_n,lookback,skip,cash_filter,dca_steps,is_return,is_cagr,is_max_drawdown,is_sharpe,is_calmar,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe,oos_calmar
COMBINED Top5 L126 S0 benchmark_sma200 DCA3,True,COMBINED,5,126,0,benchmark_sma200,3,0.9466904521533848,0.06891107183738132,-0.3821738439817627,0.4407903246956521,0.18031341736895462,2.86736587844771,0.2357345893336007,-0.30152839119451946,0.7737864342740275,0.7817989821778526
COMBINED Top5 L126 S0 benchmark_sma100 DCA1,True,COMBINED,5,126,0,benchmark_sma100,1,0.5924152884942115,0.047644494983388075,-0.3721133864937749,0.3369813742133756,0.1280375732577552,3.769800823676782,0.27696555720090466,-0.44812464279930675,0.8710723662421526,0.6180547346621686
COMBINED Top5 L126 S0 benchmark_sma100 DCA3,True,COMBINED,5,126,0,benchmark_sma100,3,0.5292468873069949,0.043410828988568406,-0.3497015610003784,0.3268916173829204,0.12413678927936336,2.788042968315403,0.23173342566675936,-0.4126287759411903,0.8060168259170836,0.5616026781898193
COMBINED Top5 L126 S0 both_sma200 DCA1,True,COMBINED,5,126,0,both_sma200,1,0.9911475763035007,0.07132843863867766,-0.4172970922942184,0.4402813462305669,0.1709296325227855,4.6394941108516266,0.3108781477041851,-0.31970205774742955,0.9140490920781046,0.9723995832075141
COMBINED Top5 L126 S0 both_sma200 DCA3,True,COMBINED,5,126,0,both_sma200,3,0.9226610632317183,0.06758370703918293,-0.38217384398176235,0.43453587584561465,0.1768402210236242,3.0880544268590278,0.24651312769898914,-0.30152839119451924,0.8005158387865842,0.8175453287248193
COMBINED Top5 L126 S21 none DCA1,True,COMBINED,5,126,21,none,1,4.392587661219398,0.18361316482433754,-0.29671464452228913,0.8663943272749922,0.6188207026989009,8.781591212685054,0.4288616398214986,-0.30472063686538564,1.0917403873894653,1.4073928311293005
COMBINED Top5 L126 S21 none DCA3,True,COMBINED,5,126,21,none,3,4.314386423471967,0.18188472017464652,-0.29671464452228924,0.8632508904092795,0.6129954268603123,8.781591212685054,0.4288616398214986,-0.30472063686538564,1.0917403873894653,1.4073928311293005
COMBINED Top5 L126 S21 benchmark_sma200 DCA1,True,COMBINED,5,126,21,benchmark_sma200,1,2.7201726749969697,0.14045919539979557,-0.30193307595042485,0.7422505917497995,0.46519976308543926,2.8557132779786123,0.23515117817385733,-0.3328357477375753,0.7694530900465167,0.7065081794016385
COMBINED Top5 L126 S21 benchmark_sma200 DCA3,True,COMBINED,5,126,21,benchmark_sma200,3,2.058557591953039,0.11833421850215098,-0.34528935430592333,0.661333045046395,0.34271030087220095,2.0276368420137754,0.1892917687499469,-0.3178724927455022,0.6703776913365549,0.5954959081706365
COMBINED Top5 L126 S21 benchmark_sma100 DCA1,True,COMBINED,5,126,21,benchmark_sma100,1,1.5775709923653993,0.09935500511953488,-0.2679349156366607,0.5901023818087937,0.37081768489728123,2.887163828900121,0.2367224229737841,-0.4206525501402877,0.8153326211370866,0.5627504763606856
COMBINED Top5 L126 S21 benchmark_sma100 DCA3,True,COMBINED,5,126,21,benchmark_sma100,3,1.2520124109333675,0.08460490263068965,-0.27074193710576544,0.5455558680328574,0.31249278754195625,1.9737637793295937,0.18595498138311695,-0.38574332151430735,0.7061784475707201,0.48206921808293657
COMBINED Top5 L126 S21 both_sma200 DCA1,True,COMBINED,5,126,21,both_sma200,1,2.6046282042314552,0.1368650778519931,-0.3019330759504246,0.733981549890575,0.45329607371159764,3.4332905413791783,0.26242861663595973,-0.3328357477375752,0.8298553725769459,0.7884628331535829
COMBINED Top5 L126 S21 both_sma200 DCA3,True,COMBINED,5,126,21,both_sma200,3,1.9228851224907992,0.1132695036289122,-0.3359482045514721,0.6491302389302381,0.3371635927631745,2.4811700992112105,0.21555643465386032,-0.31787249274550244,0.7325837773299555,0.6781223275788156
COMBINED Top5 L252 S0 none DCA1,True,COMBINED,5,252,0,none,1,3.011870920550444,0.14910438898087963,-0.49470292303459173,0.6846825756985311,0.30140187582933203,17.03645113211717,0.5724481842781795,-0.22565973075908297,1.2253986014231908,2.53677597838372
COMBINED Top5 L252 S0 none DCA3,True,COMBINED,5,252,0,none,3,2.9192195286035507,0.14642152165729128,-0.49470292303459173,0.6758345847876336,0.2959786870858106,17.03645113211717,0.5724481842781795,-0.22565973075908297,1.2253986014231908,2.53677597838372
COMBINED Top5 L252 S0 benchmark_sma200 DCA1,True,COMBINED,5,252,0,benchmark_sma200,1,2.0161187861763303,0.1167720654767348,-0.3587475979109642,0.6207835510299519,0.3254992260762562,5.202453452388066,0.33054344232466093,-0.2745422094968768,0.9469091989096661,1.203980411356095
COMBINED Top5 L252 S0 benchmark_sma200 DCA3,True,COMBINED,5,252,0,benchmark_sma200,3,1.5931420543323362,0.10001759728769821,-0.390813732767193,0.559157448630939,0.2559213991266743,3.4500367444303848,0.2631736839803134,-0.2584440460051812,0.8368428283897739,1.0183004331043375
COMBINED Top5 L252 S0 benchmark_sma100 DCA1,True,COMBINED,5,252,0,benchmark_sma100,1,1.3894256205621112,0.09105060299407941,-0.4130064897877226,0.5263214500513688,0.2204580442328586,3.127776436986016,0.24840080594192382,-0.29158426165454,0.8807292207919624,0.8519005948140692
COMBINED Top5 L252 S0 benchmark_sma100 DCA3,True,COMBINED,5,252,0,benchmark_sma100,3,1.2916192262475277,0.08649827726201487,-0.4191914375088246,0.5240736555330111,0.20634552503280545,1.765461259477346,0.17255345673522005,-0.24798376942553257,0.7497798956164564,0.6958256063892778
COMBINED Top5 L252 S0 both_sma200 DCA1,True,COMBINED,5,252,0,both_sma200,1,2.001269041694038,0.11622077870261993,-0.35875932046337844,0.6268456123163265,0.32395194235652913,5.419834131153195,0.3377353704889847,-0.24911670519836426,0.9635471663905341,1.3557315243875598
COMBINED Top5 L252 S0 both_sma200 DCA3,True,COMBINED,5,252,0,both_sma200,3,1.5733318696663,0.09917399480849465,-0.3908248691277345,0.5628041029771507,0.25375558886474364,3.6003340569592384,0.26975687488538,-0.23339844000772758,0.8537069903925236,1.1557783971325972
COMBINED Top5 L252 S21 none DCA1,True,COMBINED,5,252,21,none,1,4.93235585895552,0.1949630796087185,-0.3938948158306611,0.8418669025218927,0.4949622888475254,10.700228002694653,0.4694770266974011,-0.27353078147568255,1.062519812302569,1.716359029739176
COMBINED Top5 L252 S21 none DCA3,True,COMBINED,5,252,21,none,3,4.739756816597044,0.19102404165863884,-0.393894815830661,0.829468332790847,0.4849620608887674,10.700228002694653,0.4694770266974011,-0.27353078147568255,1.062519812302569,1.716359029739176
COMBINED Top5 L252 S21 benchmark_sma200 DCA1,True,COMBINED,5,252,21,benchmark_sma200,1,2.860409144466242,0.14468880427423647,-0.2848696478159116,0.738479536043647,0.5079123219464126,3.1785284797100726,0.25079048623117584,-0.36355515384560877,0.7736630701144225,0.6898278942778493
COMBINED Top5 L252 S21 benchmark_sma200 DCA3,True,COMBINED,5,252,21,benchmark_sma200,3,2.08995461341938,0.11947742337796541,-0.29073324979315984,0.6452583700700808,0.4109520444014119,2.218402260917895,0.20071833770409908,-0.34930522639444284,0.6774320517534185,0.5746216275545895
COMBINED Top5 L252 S21 benchmark_sma100 DCA1,True,COMBINED,5,252,21,benchmark_sma100,1,1.939364912919649,0.11389585687740245,-0.3650770290573061,0.6442466033272085,0.3119776042099987,2.0080643632338835,0.18808532513112786,-0.3754642498545565,0.717175310363623,0.5009407026207859
COMBINED Top5 L252 S21 benchmark_sma100 DCA3,True,COMBINED,5,252,21,benchmark_sma100,3,1.717242542050693,0.10517404394803598,-0.3772253877759172,0.6280438179537735,0.2788095588373082,1.2563091870610523,0.13580480874148004,-0.3453427386662563,0.616473381763876,0.3932464578985214
COMBINED Top5 L252 S21 both_sma200 DCA1,True,COMBINED,5,252,21,both_sma200,1,2.920836679579393,0.14646883602890615,-0.2727399694751931,0.7650482981146698,0.5370273976005124,3.3810046766094812,0.26008695090469147,-0.3458687545353114,0.7947716912513264,0.751981633189528
COMBINED Top5 L252 S21 both_sma200 DCA3,True,COMBINED,5,252,21,both_sma200,3,2.015430528151394,0.11674656840096986,-0.27870302689533333,0.6498563233081034,0.41889235901558375,2.2872937899167765,0.20470462611376705,-0.33263819510625037,0.6874241513286171,0.615397236773669
