date,equity,exposure,units,held,base_allocation
2023-01-05,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-06,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-09,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-10,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-11,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-12,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-13,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-17,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-18,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-19,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-20,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-23,140.30899879183931,0.0,0.0,CASH,SOXL
2023-01-24,137.45333195865217,1.0,1.0,SOXL,SOXL
2023-01-25,138.31001438177975,1.0,1.0,SOXL,SOXL
2023-01-26,145.06848371535673,1.0,1.0,SOXL,SOXL
2023-01-27,142.59354710203414,1.0,1.0,SOXL,SOXL
2023-01-30,131.36122168602233,1.0,1.0,SOXL,SOXL
2023-01-31,138.21484806205044,1.0,1.0,SOXL,SOXL
2023-02-01,159.91797351339756,1.0,1.0,SOXL,SOXL
2023-02-02,170.57921751552982,1.0,1.0,SOXL,SOXL
2023-02-03,161.15546965189344,1.0,1.0,SOXL,SOXL
2023-02-06,153.25477254960998,1.0,1.0,SOXL,SOXL
2023-02-07,167.4379496730946,1.0,1.0,SOXL,SOXL
2023-02-08,156.9671496377593,1.0,1.0,SOXL,SOXL
2023-02-09,157.82383206088687,1.0,1.0,SOXL,SOXL
2023-02-10,150.39907788458825,1.0,1.0,SOXL,SOXL
2023-02-13,156.3008184086467,1.0,1.0,SOXL,SOXL
2023-02-14,164.96303161432843,1.0,1.0,SOXL,SOXL
2023-02-15,166.9620438562226,1.0,1.0,SOXL,SOXL
2023-02-16,154.96818378225615,1.0,1.0,SOXL,SOXL
2023-02-17,147.54340177412294,1.0,1.0,SOXL,SOXL
2023-02-21,133.3602060960819,1.0,1.0,SOXL,SOXL
2023-02-22,131.64679486343576,1.0,1.0,SOXL,SOXL
2023-02-23,143.54544223128195,1.0,1.0,SOXL,SOXL
2023-02-24,136.21589148382543,1.0,1.0,SOXL,SOXL
2023-02-27,138.02447831347905,1.0,1.0,SOXL,SOXL
2023-02-28,139.4523163687117,1.0,1.0,SOXL,SOXL
2023-03-01,139.73788954612516,1.0,1.0,SOXL,SOXL
2023-03-02,142.87912027944756,1.0,1.0,SOXL,SOXL
2023-03-03,149.25681300676905,1.0,1.0,SOXL,SOXL
2023-03-06,144.40215248624415,1.0,1.0,SOXL,SOXL
2023-03-07,139.45231636871173,1.0,1.0,SOXL,SOXL
2023-03-08,150.49427203615218,1.0,1.0,SOXL,SOXL
2023-03-09,141.92723442747794,1.0,1.0,SOXL,SOXL
2023-03-10,133.74094559322467,1.0,1.0,SOXL,SOXL
2023-03-13,133.4553816930894,1.0,1.0,SOXL,SOXL
2023-03-14,144.87811396678535,1.0,1.0,SOXL,SOXL
2023-03-15,139.83307442041087,1.0,1.0,SOXL,SOXL
2023-03-16,156.30081840864673,1.0,1.0,SOXL,SOXL
2023-03-17,153.54031789518888,1.0,1.0,SOXL,SOXL
2023-03-20,158.10940523830035,1.0,1.0,SOXL,SOXL
2023-03-21,158.91975693411968,1.0,1.0,SOXL,SOXL
2023-03-22,154.82044312699304,1.0,1.0,SOXL,SOXL
2023-03-23,166.7370513054257,1.0,1.0,SOXL,SOXL
2023-03-24,157.96644238130793,1.0,1.0,SOXL,SOXL
2023-03-27,152.24645301437724,1.0,1.0,SOXL,SOXL
2023-03-28,149.00513900388194,1.0,1.0,SOXL,SOXL
2023-03-29,162.82836701065992,1.0,1.0,SOXL,SOXL
2023-03-30,171.12234649020638,1.0,1.0,SOXL,SOXL
2023-03-31,174.4589938114385,1.0,1.0,SOXL,SOXL
2023-04-03,169.78768013989097,1.0,1.0,SOXL,SOXL
2023-04-04,168.09345672099445,1.0,1.0,TQQQ,TQQQ
2023-04-05,162.70815650674749,1.0,1.0,TQQQ,TQQQ
2023-04-06,165.9756326301263,1.0,1.0,TQQQ,TQQQ
2023-04-10,165.61261292548977,1.0,1.0,TQQQ,TQQQ
2023-04-11,162.40562215931803,1.0,1.0,TQQQ,TQQQ
2023-04-12,158.1094886203747,1.0,1.0,TQQQ,TQQQ
2023-04-13,167.1858178249081,1.0,1.0,TQQQ,TQQQ
2023-04-14,166.21766966908268,1.0,1.0,TQQQ,TQQQ
2023-04-17,166.39919744829993,1.0,1.0,TQQQ,TQQQ
2023-04-18,166.52019206524614,1.0,1.0,TQQQ,TQQQ
2023-04-19,166.1571604093436,1.0,1.0,TQQQ,TQQQ
2023-04-20,162.28460363983987,1.0,1.0,TQQQ,TQQQ
2023-04-21,162.5871738410673,1.0,1.0,TQQQ,TQQQ
2023-04-24,161.6190256852419,1.0,1.0,TQQQ,TQQQ
2023-04-25,152.48216331843742,1.0,1.0,TQQQ,TQQQ
2023-04-26,154.44595975813758,1.0,1.0,SOXL,SOXL
