variant,exit_vix_below,trailing_stop_pct,stop_loss_pct,trend_exit_sma,max_hold_days,cooldown_days,is_return_pct,is_cagr_pct,is_max_drawdown_pct,is_sharpe,oos_return_pct,oos_cagr_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,oos_soxl_buy_hold_return_pct,oos_soxl_buy_hold_max_drawdown_pct,full_exposure_days_pct,oos_exposure_days_pct,trades
exit VIX<10; trail 35%; exit below SMA200; cooldown 21d,10,0.35,,200.0,,21,-5.74,-0.6,-35.15,0.078,228.83,20.51,-35.64,0.774,209.96,-36.29,0.404,819.19,-90.46,4.52,6.11,15
exit VIX<10; trail 50%,10,0.5,,,,0,485.58,19.75,-62.34,0.605,1697.85,57.29,-83.56,0.958,11084.39,-83.56,0.769,819.19,-90.46,52.38,61.16,10
exit VIX<10; trail 50%; cooldown 21d,10,0.5,,,,21,485.58,19.75,-62.34,0.605,2865.05,70.12,-74.13,1.06,18345.52,-74.13,0.819,819.19,-90.46,51.89,59.91,9
exit VIX<10; trail 50%; max 126d,10,0.5,,,126.0,0,197.8,11.77,-56.7,0.472,1322.75,51.62,-62.84,0.936,4136.95,-62.84,0.69,819.19,-90.46,28.01,34.48,11
exit VIX<10; trail 50%; max 126d; cooldown 21d,10,0.5,,,126.0,21,197.8,11.77,-56.7,0.472,703.01,38.62,-58.25,0.823,2291.38,-58.25,0.632,819.19,-90.46,28.01,34.48,11
exit VIX<10; trail 50%; max 252d,10,0.5,,,252.0,0,219.44,12.57,-62.34,0.488,1942.33,60.46,-66.21,0.994,6423.94,-66.21,0.723,819.19,-90.46,40.94,43.27,10
exit VIX<10; trail 50%; max 252d; cooldown 21d,10,0.5,,,252.0,21,219.44,12.57,-62.34,0.488,1789.59,58.52,-66.21,0.992,5936.03,-66.21,0.719,819.19,-90.46,40.94,43.27,10
exit VIX<10; trail 50%; exit below SMA200,10,0.5,,200.0,,0,9.82,0.96,-50.06,0.166,254.11,21.92,-56.42,0.652,288.87,-57.61,0.409,819.19,-90.46,7.56,10.35,50
exit VIX<10; trail 50%; exit below SMA200; cooldown 21d,10,0.5,,200.0,,21,-28.72,-3.39,-50.06,-0.024,201.51,18.89,-40.92,0.663,114.92,-50.06,0.308,819.19,-90.46,6.7,9.1,15
exit VIX<15,15,,,,,0,793.68,25.02,-50.06,0.755,785.64,40.76,-90.46,0.829,7814.79,-90.46,0.74,819.19,-90.46,34.29,56.55,8
exit VIX<15; max 126d,15,,,,126.0,0,568.92,21.38,-50.06,0.706,518.66,33.07,-74.54,0.755,4038.36,-74.54,0.693,819.19,-90.46,20.08,29.05,10
exit VIX<15; max 252d,15,,,,252.0,0,793.68,25.02,-50.06,0.755,788.5,40.84,-84.73,0.827,7840.38,-84.73,0.752,819.19,-90.46,26.53,36.85,9
exit VIX<15; max 504d,15,,,,504.0,0,793.68,25.02,-50.06,0.755,1117.27,47.96,-86.89,0.884,10778.5,-86.89,0.77,819.19,-90.46,34.17,56.23,9
exit VIX<15; max 504d; cooldown 21d,15,,,,504.0,21,793.68,25.02,-50.06,0.755,1544.33,55.1,-72.45,0.967,14595.07,-72.45,0.832,819.19,-90.46,26.51,36.78,8
exit VIX<15; exit below SMA200,15,,,200.0,,0,320.69,15.78,-50.06,0.64,254.11,21.92,-56.42,0.652,1389.71,-56.42,0.631,819.19,-90.46,11.07,10.35,50
exit VIX<15; exit below SMA200; cooldown 21d,15,,,200.0,,21,173.07,10.79,-50.06,0.506,201.51,18.89,-40.92,0.663,723.32,-50.06,0.573,819.19,-90.46,10.21,9.1,15
exit VIX<15; exit below SMA200; max 126d,15,,,200.0,126.0,0,210.77,12.26,-50.06,0.572,312.63,24.88,-56.42,0.707,1182.32,-56.42,0.62,819.19,-90.46,8.08,9.91,50
exit VIX<15; exit below SMA200; max 126d; cooldown 21d,15,,,200.0,126.0,21,101.72,7.42,-50.06,0.417,251.33,21.77,-40.92,0.739,608.7,-50.06,0.564,819.19,-90.46,7.22,8.67,15
exit VIX<15; trail 25%,15,0.25,,,,0,200.64,11.88,-43.43,0.522,361.67,27.1,-68.85,0.695,1287.96,-68.85,0.586,819.19,-90.46,10.95,15.84,17
exit VIX<15; trail 25%; cooldown 21d,15,0.25,,,,21,44.64,3.83,-67.61,0.276,529.76,33.44,-38.42,0.817,810.86,-67.61,0.549,819.19,-90.46,9.08,14.71,13
exit VIX<15; trail 25%; exit below SMA200,15,0.25,,200.0,,0,101.1,7.38,-38.43,0.459,286.2,23.59,-56.42,0.707,676.64,-56.42,0.563,819.19,-90.46,4.47,7.36,51
exit VIX<15; trail 25%; exit below SMA200; cooldown 21d,15,0.25,,200.0,,21,44.24,3.81,-28.36,0.333,228.83,20.51,-35.64,0.774,374.31,-35.64,0.55,819.19,-90.46,3.31,6.11,15
exit VIX<15; trail 35%,15,0.35,,,,0,135.72,9.14,-47.21,0.433,1320.63,51.59,-66.93,0.969,3248.77,-66.93,0.694,819.19,-90.46,14.14,22.63,12
exit VIX<15; trail 35%; cooldown 21d,15,0.35,,,,21,187.13,11.35,-60.95,0.491,1535.97,54.98,-45.61,1.067,4597.33,-60.95,0.765,819.19,-90.46,14.8,21.38,11
exit VIX<15; trail 35%; max 126d,15,0.35,,,126.0,0,135.72,9.14,-47.21,0.433,1188.06,49.28,-66.93,0.948,2936.28,-66.93,0.683,819.19,-90.46,13.4,20.76,13
exit VIX<15; trail 35%; max 126d; cooldown 21d,15,0.35,,,126.0,21,187.13,11.35,-60.95,0.491,835.62,41.98,-45.61,0.927,2586.42,-60.95,0.693,819.19,-90.46,12.96,16.71,12
exit VIX<15; trail 35%; exit below SMA200,15,0.35,,200.0,,0,113.19,8.02,-35.15,0.463,286.2,23.59,-56.42,0.707,723.34,-56.42,0.568,819.19,-90.46,4.91,7.36,50
exit VIX<15; trail 35%; exit below SMA200; cooldown 21d,15,0.35,,200.0,,21,38.38,3.37,-35.15,0.268,228.83,20.51,-35.64,0.774,355.03,-35.64,0.511,819.19,-90.46,4.05,6.11,15
exit VIX<15; trail 50%,15,0.5,,,,0,242.48,13.37,-56.7,0.525,1341.79,51.94,-66.71,0.938,4837.79,-66.71,0.715,819.19,-90.46,22.85,37.59,10
exit VIX<15; trail 50%; cooldown 21d,15,0.5,,,,21,242.48,13.37,-56.7,0.525,981.17,45.24,-66.71,0.892,3602.76,-66.71,0.693,819.19,-90.46,22.34,36.28,10
exit VIX<15; trail 50%; max 126d,15,0.5,,,126.0,0,247.01,13.53,-56.7,0.531,1254.26,50.45,-62.84,0.946,4599.47,-62.84,0.723,819.19,-90.46,16.91,23.94,11
exit VIX<15; trail 50%; max 126d; cooldown 21d,15,0.5,,,126.0,21,247.01,13.53,-56.7,0.531,664.36,37.55,-56.51,0.829,2552.44,-56.7,0.664,819.19,-90.46,16.91,23.94,11
exit VIX<15; trail 50%; max 252d,15,0.5,,,252.0,0,242.48,13.37,-56.7,0.525,1297.63,51.2,-62.84,0.956,4686.56,-62.84,0.726,819.19,-90.46,17.45,23.88,10
exit VIX<15; trail 50%; max 252d; cooldown 21d,15,0.5,,,252.0,21,242.48,13.37,-56.7,0.525,1193.11,49.37,-56.51,0.967,4328.59,-56.7,0.73,819.19,-90.46,17.45,23.88,10
exit VIX<15; trail 50%; exit below SMA200,15,0.5,,200.0,,0,61.22,4.99,-50.06,0.32,254.11,21.92,-56.42,0.652,470.89,-56.42,0.479,819.19,-90.46,7.09,10.35,50
exit VIX<15; trail 50%; exit below SMA200; cooldown 21d,15,0.5,,200.0,,21,4.64,0.46,-50.06,0.13,201.51,18.89,-40.92,0.663,215.51,-50.06,0.392,819.19,-90.46,6.23,9.1,15
exit VIX<20,20,,,,,0,100.78,7.37,-50.06,0.377,1642.1,56.51,-72.45,1.033,3397.82,-72.45,0.699,819.19,-90.46,13.65,18.02,9
exit VIX<20; max 126d,20,,,,126.0,0,100.78,7.37,-50.06,0.377,1721.14,57.61,-72.45,1.058,3556.51,-72.45,0.709,819.19,-90.46,12.59,15.34,10
exit VIX<20; exit below SMA50,20,,,50.0,,0,59.87,4.9,-37.08,0.337,1088.42,47.4,-52.43,1.102,1799.94,-52.43,0.73,819.19,-90.46,5.87,11.1,55
exit VIX<20; exit below SMA50; cooldown 21d,20,,,50.0,,21,2.7,0.27,-28.64,0.084,266.24,22.57,-30.85,1.003,276.11,-30.85,0.554,819.19,-90.46,2.45,4.99,16
exit VIX<20; exit below SMA100,20,,,100.0,,0,73.44,5.78,-35.27,0.364,708.9,38.78,-52.43,0.965,1302.96,-52.43,0.663,819.19,-90.46,6.7,11.97,51
exit VIX<20; exit below SMA100; cooldown 21d,20,,,100.0,,21,12.58,1.22,-35.27,0.157,411.64,29.16,-23.2,1.223,476.0,-35.27,0.62,819.19,-90.46,3.58,4.99,15
exit VIX<20; exit below SMA100; max 126d,20,,,100.0,126.0,0,73.44,5.78,-35.27,0.364,570.14,34.74,-52.43,0.911,1062.3,-52.43,0.634,819.19,-90.46,6.09,10.41,52
exit VIX<20; exit below SMA200,20,,,200.0,,0,74.53,5.84,-50.06,0.35,467.39,31.27,-56.42,0.876,890.24,-56.42,0.601,819.19,-90.46,5.89,6.55,50
exit VIX<20; exit below SMA200; cooldown 21d,20,,,200.0,,21,13.28,1.28,-50.06,0.168,383.11,28.01,-34.51,1.057,447.28,-50.06,0.551,819.19,-90.46,5.03,5.3,15
exit VIX<20; trail 25%,20,0.25,,,,0,41.01,3.57,-43.43,0.265,808.06,41.32,-68.85,0.888,1180.48,-68.85,0.582,819.19,-90.46,9.13,14.46,17
exit VIX<20; trail 25%; cooldown 21d,20,0.25,,,,21,-32.16,-3.88,-67.61,-0.071,1138.67,48.36,-38.42,1.06,740.33,-67.61,0.549,819.19,-90.46,7.27,13.34,13
exit VIX<20; trail 25%; exit below SMA100,20,0.25,,100.0,,0,43.87,3.78,-38.43,0.294,656.29,37.32,-52.43,0.958,988.05,-52.43,0.637,819.19,-90.46,4.88,9.73,53
exit VIX<20; trail 25%; exit below SMA100; cooldown 21d,20,0.25,,100.0,,21,3.19,0.32,-28.36,0.085,411.64,29.16,-23.2,1.223,427.98,-28.36,0.681,819.19,-90.46,2.36,4.99,15
exit VIX<20; trail 25%; exit below SMA200,20,0.25,,200.0,,0,55.29,4.59,-38.43,0.33,467.39,31.27,-56.42,0.876,781.08,-56.42,0.603,819.19,-90.46,3.76,6.55,51
exit VIX<20; trail 25%; exit below SMA200; cooldown 21d,20,0.25,,200.0,,21,11.38,1.11,-28.36,0.148,383.11,28.01,-34.51,1.057,438.1,-34.51,0.625,819.19,-90.46,2.6,5.3,15
exit VIX<20; trail 35%,20,0.35,,,,0,10.57,1.03,-47.21,0.182,1991.29,61.06,-66.93,1.09,2212.26,-66.93,0.657,819.19,-90.46,11.0,17.89,12
exit VIX<20; trail 35%; cooldown 21d,20,0.35,,,,21,20.07,1.88,-60.95,0.211,2308.28,64.66,-38.42,1.232,2791.71,-60.95,0.719,819.19,-90.46,10.75,16.65,11
exit VIX<20; trail 35%; max 126d,20,0.35,,,126.0,0,10.57,1.03,-47.21,0.182,1796.14,58.61,-66.93,1.071,1996.49,-66.93,0.645,819.19,-90.46,10.26,16.02,13
exit VIX<20; trail 35%; max 126d; cooldown 21d,20,0.35,,,126.0,21,20.07,1.88,-60.95,0.211,1277.31,50.85,-38.42,1.095,1553.78,-60.95,0.642,819.19,-90.46,8.91,11.97,12
exit VIX<20; trail 35%; exit below SMA100,20,0.35,,100.0,,0,52.52,4.4,-35.15,0.312,708.9,38.78,-52.43,0.965,1133.71,-52.43,0.645,819.19,-90.46,6.21,11.97,51
exit VIX<20; trail 35%; exit below SMA100; cooldown 21d,20,0.35,,100.0,,21,-1.0,-0.1,-35.15,0.08,411.64,29.16,-23.2,1.223,406.52,-35.15,0.602,819.19,-90.46,3.09,4.99,15
exit VIX<20; trail 35%; exit below SMA200,20,0.35,,200.0,,0,64.62,5.21,-35.15,0.345,467.39,31.27,-56.42,0.876,834.06,-56.42,0.607,819.19,-90.46,4.2,6.55,50
exit VIX<20; trail 35%; exit below SMA200; cooldown 21d,20,0.35,,200.0,,21,6.85,0.68,-35.15,0.128,383.11,28.01,-34.51,1.057,416.22,-35.15,0.57,819.19,-90.46,3.34,5.3,15
exit VIX<20; trail 50%,20,0.5,,,,0,43.22,3.73,-56.7,0.276,2250.03,64.03,-62.84,1.123,3265.71,-62.84,0.699,819.19,-90.46,12.94,17.96,10
exit VIX<20; trail 50%; cooldown 21d,20,0.5,,,,21,43.22,3.73,-56.7,0.276,1662.25,56.8,-56.04,1.112,2423.89,-56.7,0.679,819.19,-90.46,12.42,16.65,10
exit VIX<20; trail 50%; max 126d,20,0.5,,,126.0,0,43.22,3.73,-56.7,0.276,2233.66,63.85,-62.84,1.13,3242.26,-62.84,0.7,819.19,-90.46,12.15,15.96,11
exit VIX<20; trail 50%; max 126d; cooldown 21d,20,0.5,,,126.0,21,43.22,3.73,-56.7,0.276,974.26,45.09,-56.04,0.991,1438.55,-56.7,0.613,819.19,-90.46,10.65,12.16,11
exit VIX<20; trail 50%; exit below SMA200,20,0.5,,200.0,,0,24.49,2.26,-50.06,0.211,467.39,31.27,-56.42,0.876,606.35,-56.42,0.539,819.19,-90.46,5.2,6.55,50
exit VIX<20; trail 50%; exit below SMA200; cooldown 21d,20,0.5,,200.0,,21,-19.19,-2.15,-50.06,0.005,383.11,28.01,-34.51,1.057,290.38,-50.06,0.473,819.19,-90.46,4.34,5.3,15
exit VIX<25,25,,,,,0,66.88,5.36,-38.68,0.325,419.37,29.47,-72.45,0.741,766.71,-72.45,0.528,819.19,-90.46,6.55,8.29,13
exit VIX<25; max 126d; cooldown 21d,25,,,,126.0,21,114.73,8.1,-38.68,0.43,298.63,24.21,-72.45,0.667,755.98,-72.45,0.53,819.19,-90.46,5.28,6.67,11
exit VIX<25; exit below SMA50,25,,,50.0,,0,76.66,5.97,-37.08,0.398,638.61,36.81,-52.43,1.012,1204.85,-52.43,0.702,819.19,-90.46,3.22,4.86,58
exit VIX<25; exit below SMA50; cooldown 21d,25,,,50.0,,21,2.7,0.27,-28.64,0.084,176.62,17.29,-10.8,1.007,184.08,-28.64,0.509,819.19,-90.46,1.42,2.37,16
exit VIX<25; exit below SMA100,25,,,100.0,,0,114.06,8.07,-32.93,0.495,307.35,24.63,-52.43,0.775,771.96,-52.43,0.618,819.19,-90.46,2.72,3.74,53
exit VIX<25; exit below SMA100; cooldown 21d,25,,,100.0,,21,38.94,3.41,-32.93,0.285,180.07,17.52,-16.43,1.025,289.14,-32.93,0.584,819.19,-90.46,1.35,1.18,16
exit VIX<25; exit below SMA200,25,,,200.0,,0,105.78,7.64,-32.93,0.465,210.59,19.44,-56.42,0.659,539.13,-56.42,0.545,819.19,-90.46,2.43,2.74,51
exit VIX<25; exit below SMA200; cooldown 21d,25,,,200.0,,21,33.57,3.0,-32.93,0.256,164.45,16.47,-34.51,0.808,253.23,-34.51,0.501,819.19,-90.46,1.57,1.5,16
exit VIX<25; trail 25%,25,0.25,,,,0,25.0,2.3,-43.43,0.215,313.37,24.92,-68.85,0.681,416.69,-68.85,0.451,819.19,-90.46,5.67,7.67,20
exit VIX<25; trail 25%; cooldown 21d,25,0.25,,,,21,-41.24,-5.28,-67.61,-0.182,332.78,25.82,-38.42,0.759,154.3,-67.61,0.336,819.19,-90.46,3.34,4.93,14
exit VIX<25; trail 25%; exit below SMA100,25,0.25,,100.0,,0,43.87,3.78,-38.43,0.294,307.35,24.63,-52.43,0.775,486.04,-52.43,0.534,819.19,-90.46,2.53,3.74,54
exit VIX<25; trail 25%; exit below SMA100; cooldown 21d,25,0.25,,100.0,,21,3.19,0.32,-28.36,0.085,180.07,17.52,-16.43,1.025,189.01,-28.36,0.53,819.19,-90.46,0.86,1.18,16
exit VIX<25; trail 25%; exit below SMA200,25,0.25,,200.0,,0,38.31,3.36,-38.43,0.268,210.59,19.44,-56.42,0.659,329.56,-56.42,0.46,819.19,-90.46,2.23,2.74,52
exit VIX<25; trail 25%; exit below SMA200; cooldown 21d,25,0.25,,200.0,,21,-0.8,-0.08,-28.36,0.058,164.45,16.47,-34.51,0.808,162.34,-34.51,0.434,819.19,-90.46,1.08,1.5,16
exit VIX<25; trail 35%,25,0.35,,,,0,43.1,3.72,-40.63,0.268,523.47,33.23,-66.93,0.799,792.18,-66.93,0.535,819.19,-90.46,6.48,8.17,16
exit VIX<25; trail 35%; cooldown 21d,25,0.35,,,,21,-4.25,-0.44,-59.72,0.112,451.06,30.67,-38.42,0.842,427.61,-59.72,0.469,819.19,-90.46,4.91,5.3,13
exit VIX<25; trail 50%,25,0.5,,,,0,66.88,5.36,-38.68,0.325,600.61,35.69,-62.84,0.834,1069.16,-62.84,0.576,819.19,-90.46,6.53,8.23,14
exit VIX<25; trail 50%; cooldown 21d,25,0.5,,,,21,114.73,8.1,-38.68,0.43,303.24,24.43,-56.04,0.709,765.88,-56.04,0.557,819.19,-90.46,4.74,5.3,12
exit VIX<30,30,,,,,0,115.85,8.16,-38.68,0.455,99.08,11.4,-72.45,0.465,329.73,-72.45,0.426,819.19,-90.46,4.27,5.74,17
exit VIX<30; max 126d; cooldown 21d,30,,,,126.0,21,79.31,6.14,-38.68,0.405,69.33,8.61,-72.45,0.416,203.63,-72.45,0.369,819.19,-90.46,3.53,5.55,12
exit VIX<30; exit below SMA50,30,,,50.0,,0,90.52,6.79,-22.3,0.476,297.57,24.15,-52.43,0.774,657.47,-52.43,0.606,819.19,-90.46,2.11,3.12,59
exit VIX<30; exit below SMA50; cooldown 21d,30,,,50.0,,21,27.94,2.54,-22.3,0.277,151.5,15.56,-10.8,0.974,221.77,-22.3,0.602,819.19,-90.46,0.91,1.56,16
exit VIX<30; exit below SMA100,30,,,100.0,,0,170.67,10.69,-17.31,0.689,216.52,19.8,-52.43,0.674,756.71,-52.43,0.636,819.19,-90.46,1.96,2.81,56
exit VIX<30; exit below SMA100; cooldown 21d,30,,,100.0,,21,33.42,2.98,-12.7,0.34,159.98,16.16,-16.43,1.006,246.86,-16.43,0.661,819.19,-90.46,0.56,1.0,16
exit VIX<30; exit below SMA200,30,,,200.0,,0,170.67,10.69,-17.31,0.689,188.3,18.06,-56.42,0.63,680.34,-56.42,0.61,819.19,-90.46,1.87,2.56,54
exit VIX<30; exit below SMA200; cooldown 21d,30,,,200.0,,21,33.42,2.98,-12.7,0.34,145.48,15.12,-34.51,0.774,227.51,-34.51,0.553,819.19,-90.46,0.69,1.31,16
exit VIX<30; trail 25%,30,0.25,,,,0,104.5,7.57,-39.82,0.442,122.23,13.34,-68.85,0.491,354.46,-68.85,0.436,819.19,-90.46,4.0,5.42,23
exit VIX<30; trail 25%; cooldown 21d,30,0.25,,,,21,-27.2,-3.19,-62.75,-0.117,157.85,16.01,-38.42,0.572,87.7,-62.75,0.272,819.19,-90.46,2.45,4.11,15
exit VIX<30; trail 35%,30,0.35,,,,0,85.1,6.48,-41.77,0.389,138.99,14.63,-66.93,0.518,342.36,-66.93,0.431,819.19,-90.46,4.2,5.61,20
exit VIX<30; trail 35%; cooldown 21d,30,0.35,,,,21,3.63,0.36,-57.07,0.118,134.09,14.26,-38.42,0.531,142.58,-57.07,0.327,819.19,-90.46,3.12,4.18,14
exit VIX<30; trail 50%,30,0.5,,,,0,115.85,8.16,-38.68,0.455,168.55,16.75,-62.84,0.551,479.68,-62.84,0.476,819.19,-90.46,4.25,5.67,18
exit VIX<30; trail 50%; cooldown 21d,30,0.5,,,,21,79.31,6.14,-38.68,0.405,71.29,8.8,-56.04,0.403,207.14,-56.04,0.378,819.19,-90.46,2.99,4.18,13
