date,pure_top2_skip21,fallback_5pct,spmo,fallback_sleeve,holdings
2023-06-05,1.455913106629924,0.46636016197959224,1.34919509320688,SPMO,META BLDR
2023-06-06,1.478036012619279,0.46653130724055253,1.3474649451046508,SPMO,META BLDR
2023-06-07,1.4472485409104903,0.4686701817943957,1.3538910293760527,SPMO,META BLDR
2023-06-08,1.458302787962224,0.47123685736831605,1.3613054510527136,SPMO,META BLDR
2023-06-09,1.4651045916032495,0.47123685736831605,1.361799765227437,SPMO,META BLDR
2023-06-12,1.5850319199110647,0.47209551199239236,1.3588338801790976,SPMO,META CVNA
2023-06-13,1.6282025186417985,0.4849537047232665,1.3674842327646604,Top2,CVNA APP
2023-06-14,1.63912815248625,0.4882078617145825,1.3526057349366556,Top2,CVNA APP
2023-06-15,1.8084069156630929,0.5386268743335174,1.370944335006327,Top2,CVNA APP
2023-06-16,1.7703668386272147,0.527296787274141,1.367731244379928,Top2,CVNA APP
2023-06-20,1.7160246519561415,0.5111111810936005,1.3572981797755772,Top2,CVNA APP
2023-06-21,1.7213988885555151,0.5142933432913476,1.3649989875142272,SPMO,CVNA APP
2023-06-22,1.8025044895887092,0.5385248395426421,1.365495726223847,Top2,CVNA APP
2023-06-23,1.6768747509100579,0.5009910995411722,1.3590370562034344,Top2,CVNA APP
2023-06-26,1.6735764582287218,0.5012651535415918,1.3630116447501643,SPMO,CVNA APP
2023-06-27,1.8192767157054244,0.5022687843063502,1.3674830689879098,SPMO,CVNA APP
2023-06-28,2.036180572326801,0.5621519430562464,1.365744095578657,Top2,CVNA SMCI
2023-06-29,1.9008315448946798,0.524784570144524,1.3779161335922607,Top2,CVNA SMCI
2023-06-30,1.8844935816799329,0.5271403996609788,1.389591141952057,SPMO,CVNA NVDA
2023-07-03,1.859821447998367,0.5265757950976376,1.3900881716058644,SPMO,CVNA SMCI
2023-07-05,1.8636022958340077,0.5250680634359322,1.3841263372764676,SPMO,CVNA SMCI
2023-07-06,1.8184482241971267,0.5234539475121123,1.369470314770577,SPMO,CVNA SMCI
2023-07-07,1.9906438302856353,0.5226928193055445,1.3647507151408131,SPMO,CVNA NVDA
2023-07-10,2.187221353266339,0.5743091145642201,1.3744383807365466,Top2,CVNA SMCI
2023-07-11,2.2073165655538176,0.5795856100403488,1.3833809382678501,Top2,CVNA SMCI
2023-07-12,2.2661033510881508,0.5950215359460101,1.3826358302034205,Top2,CVNA SMCI
2023-07-13,2.385701757210055,0.6264250583286847,1.3769224622102292,Top2,CVNA SMCI
2023-07-14,2.401405970120604,0.6305485882119846,1.3728236404953964,Top2,CVNA SMCI
2023-07-17,2.3738290399755155,0.6233075824901021,1.375431955137182,Top2,CVNA SMCI
2023-07-18,2.539989550363977,0.6669371380694802,1.3826358302034205,Top2,CVNA SMCI
2023-07-19,2.502877433753435,0.6571924330818598,1.3873553328517885,Top2,CVNA SMCI
2023-07-20,2.364816251493819,0.6209410517478214,1.407228178604042,Top2,CVNA SMCI
2023-07-21,2.3043047692642737,0.6207118829448659,1.4129167193598917,SPMO,CVNA SMCI
2023-07-24,2.3376573193514574,0.6216497375167654,1.41607142718598,SPMO,CVNA SMCI
2023-07-25,2.3272562870314695,0.6239254020701873,1.4166180143330744,SPMO,CVNA SMCI
2023-07-26,2.299742199928713,0.6244744304801443,1.4126930802610274,SPMO,CVNA SMCI
2023-07-27,2.2239872618928143,0.6195334111547289,1.4047193668744138,SPMO,CVNA SMCI
2023-07-28,2.262707556051722,0.6196317374524183,1.408693761458352,SPMO,CVNA SMCI
2023-07-31,2.324131707977095,0.6197841677200036,1.414034720891422,SPMO,CVNA SMCI
2023-08-01,2.4942253751146706,0.6186313538937175,1.413040758565203,SPMO,CVNA SMCI
2023-08-02,2.5557168828832735,0.6338828123558896,1.409215424386709,Top2,CVNA SMCI
2023-08-03,2.602567001149031,0.645502833698786,1.4089670550318991,Top2,CVNA SMCI
2023-08-04,2.6503338682363933,0.6573502320743869,1.4032535900573122,Top2,SMCI NVDA
2023-08-07,2.664179176244557,0.6607842207281878,1.4161707361353457,Top2,SMCI NVDA
2023-08-08,2.672712306640249,0.6629006541757448,1.4357948246072059,Top2,SMCI CVNA
2023-08-09,2.36251180514785,0.5859630373383208,1.441260017208379,Top2,SMCI CVNA
2023-08-10,2.346856815279569,0.5843112876655173,1.441160805240409,SPMO,SMCI CVNA
2023-08-11,2.360414977075071,0.5892031967990436,1.4540778543370467,SPMO,SMCI CVNA
2023-08-14,2.4840297696366607,0.5909119261414099,1.4603873669706193,SPMO,SMCI CVNA
2023-08-15,2.424783902833577,0.5875774568357497,1.4444892067464914,SPMO,SMCI CVNA
2023-08-16,2.3534402005443646,0.5856579432494903,1.4400178794901417,SPMO,SMCI CVNA
2023-08-17,2.282464916139284,0.5827134831787608,1.4354967037963173,SPMO,SMCI CVNA
2023-08-18,2.394043514095837,0.5881232402844653,1.4421044342221743,SPMO,SMCI CVNA
2023-08-21,2.461831823574774,0.5873444734592798,1.4425765396572445,SPMO,SMCI CVNA
2023-08-22,2.38790129517179,0.5837284748394453,1.4355963036898705,SPMO,SMCI CVNA
2023-08-23,2.547029163175405,0.5846366105903728,1.4392727714257119,SPMO,SMCI CVNA
2023-08-24,2.309889381715578,0.5302043331460224,1.4293366394937725,Top2,SMCI CVNA
2023-08-25,2.3809577631026255,0.5312504473107152,1.438130136619632,SPMO,SMCI CVNA
2023-08-28,2.472765334663348,0.5328636531358832,1.4441415284423158,SPMO,SMCI CVNA
2023-08-29,2.593174650453974,0.535153766896882,1.451196246121714,SPMO,SMCI CVNA
2023-08-30,2.6720529262053945,0.5514318862234433,1.452736407669444,Top2,SMCI CVNA
2023-08-31,2.709778831846906,0.5592173859429153,1.4474950481299271,Top2,SMCI CVNA
2023-09-01,2.7427891370237254,0.5660297266229762,1.4611078417604995,Top2,SMCI CVNA
2023-09-05,2.747108457707763,0.566921105356026,1.4556675733780637,Top2,SMCI CVNA
2023-09-06,2.7604834698718785,0.5696813082373341,1.4514447124579197,Top2,SMCI CVNA
2023-09-07,2.7265564334167816,0.5626797816122706,1.4585739118493422,Top2,SMCI CVNA
2023-09-08,2.7854092577323195,0.5748252460990019,1.46977700873686,Top2,SMCI CVNA
2023-09-11,2.8480487815470106,0.5877521722203066,1.4685846224747015,Top2,SMCI CVNA
2023-09-12,2.863457704340849,0.5909321134847727,1.4822472645427482,Top2,CVNA APP
2023-09-13,2.8181315936800773,0.5815781585343607,1.4750186592205643,Top2,CVNA APP
2023-09-14,3.029860800379543,0.6252727405816868,1.489202576291385,Top2,CVNA APP
2023-09-15,2.9634219562753104,0.6115617482717666,1.4698265662301468,Top2,CVNA APP
2023-09-18,2.9964498785517293,0.6183777245948071,1.4722726309966507,Top2,CVNA APP
2023-09-19,2.7264813820087936,0.5626642932441083,1.4703508476561924,Top2,CVNA APP
2023-09-20,2.5960691320475378,0.5564665214566984,1.4565492312478712,SPMO,CVNA APP
2023-09-21,2.5692531166349584,0.5513595677408261,1.4280971202732238,SPMO,CVNA APP
2023-09-22,2.478704077217702,0.551551549704803,1.4340869822260256,SPMO,CVNA APP
2023-09-25,2.475985290500061,0.5551161520501333,1.4380802881821575,SPMO,CVNA APP
2023-09-26,2.514139208264733,0.5516321535942826,1.4226062276021467,SPMO,CVNA APP
2023-09-27,2.5375726067812088,0.551342999455525,1.4275979570287072,SPMO,CVNA VRT
2023-09-28,2.6505998487543128,0.5561548600825519,1.4423231272698496,SPMO,CVNA APP
2023-09-29,2.6269008464186463,0.5479474348355999,1.4296445554256436,SPMO,CVNA VRT
2023-10-02,2.577607676230857,0.5472786265663981,1.4295945130253773,SPMO,CVNA APP
2023-10-03,2.52623631298501,0.5426643021536207,1.4088792868686415,SPMO,CVNA VRT
2023-10-04,2.542492470436819,0.5463121531866886,1.4203601384739162,SPMO,CVNA VRT
2023-10-05,2.5044390865767605,0.5463121531866886,1.419860878248004,SPMO,CVNA VRT
2023-10-06,2.6702306295177216,0.5580669927067767,1.4455675428871129,SPMO,CVNA VRT
2023-10-09,2.775409445507682,0.5627110963756254,1.4515575018213107,SPMO,CVNA VRT
2023-10-10,2.75584777459736,0.5659871555131553,1.4660333328936843,SPMO,CVNA VRT
2023-10-11,2.7351969493954305,0.5679057633591987,1.4775138935547716,SPMO,CVNA VRT
2023-10-12,2.646112487412211,0.564933927411307,1.470775335225893,SPMO,CVNA VRT
2023-10-13,2.5611556399030024,0.5574404215039486,1.4537291092375169,SPMO,CVNA VRT
2023-10-16,2.6178304497356435,0.561792158383428,1.472447585434791,SPMO,CVNA VRT
2023-10-17,2.687922819743898,0.5652727075184621,1.4673310409517522,SPMO,CVNA VRT
2023-10-18,2.5780332078479216,0.5598522711447749,1.443570986890443,SPMO,CVNA VRT
2023-10-19,2.489470614963312,0.5524338147597527,1.4310920997403227,SPMO,CVNA VRT
2023-10-20,2.4593697107690917,0.5460618080196549,1.411624636222784,SPMO,CVNA VRT
2023-10-23,2.5264788474723576,0.5503135959478772,1.4213583679815534,SPMO,CVNA VRT
2023-10-24,2.558109129127245,0.5518523951352601,1.4320904262293557,SPMO,CVNA VRT
2023-10-25,2.3567003450453647,0.5425185606797828,1.4071322640035318,SPMO,CVNA VRT
2023-10-26,2.2843534337110722,0.5369265621723078,1.389911277539807,SPMO,CVNA SMCI
2023-10-27,2.2134814133649856,0.5316023813725335,1.3830477101916585,SPMO,CVNA SMCI
2023-10-30,2.116536544487789,0.5338859945145689,1.400393705674653,SPMO,CVNA SMCI
2023-10-31,2.099962093727945,0.5352207036819597,1.401142208087938,SPMO,CVNA SMCI
