strategy,top_n,signal_date,trade_date,action,ticker,company,nasdaq100_date_added,date_source,price,old_weight,new_weight,rank,score,skipped_not_yet_nasdaq100_before_buy,equity_before_trade
Nasdaq-100 Top3 PIT membership,3,2025-02-28,2025-03-03,BUY,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,293.1499938964844,0.0,0.3333333333333333,3,1.4373260009187314,0,5.717265509027975
Nasdaq-100 Top3 PIT membership,3,2025-04-30,2025-05-01,SELL,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,392.2900085449219,0.3333333333333333,0.0,,,,6.639944758485239
Nasdaq-100 Top3 PIT membership,3,2025-04-30,2025-05-01,BUY,WBD,Warner Bros. Discovery,2022-12-19,Wikipedia Nasdaq-100 changes table,8.6899995803833,0.0,0.3333333333333333,3,0.4118420627473789,0,6.639944758485239
Nasdaq-100 Top3 PIT membership,3,2025-05-30,2025-06-02,SELL,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,392.30999755859375,0.3333333333333333,0.0,,,,8.057880571846937
Nasdaq-100 Top3 PIT membership,3,2025-05-30,2025-06-02,SELL,WBD,Warner Bros. Discovery,2022-12-19,Wikipedia Nasdaq-100 changes table,9.93000030517578,0.3333333333333333,0.0,,,,8.057880571846937
Nasdaq-100 Top3 PIT membership,3,2025-05-30,2025-06-02,BUY,NFLX,"Netflix, Inc.",2013-06-06,Wikipedia Nasdaq-100 changes table,120.12000274658205,0.0,0.3333333333333333,2,0.3074550254061954,0,8.057880571846937
Nasdaq-100 Top3 PIT membership,3,2025-05-30,2025-06-02,BUY,TTWO,Take-Two Interactive,2023-12-14,Wikipedia Nasdaq-100 changes table,226.1000061035156,0.0,0.3333333333333333,3,0.24357751517095494,0,8.057880571846937
Nasdaq-100 Top3 PIT membership,3,2025-06-30,2025-07-01,SELL,NFLX,"Netflix, Inc.",2013-06-06,Wikipedia Nasdaq-100 changes table,133.822998046875,0.3333333333333333,0.0,,,,8.650572116677298
Nasdaq-100 Top3 PIT membership,3,2025-06-30,2025-07-01,SELL,TTWO,Take-Two Interactive,2023-12-14,Wikipedia Nasdaq-100 changes table,242.42999267578125,0.3333333333333333,0.0,,,,8.650572116677298
Nasdaq-100 Top3 PIT membership,3,2025-06-30,2025-07-01,BUY,MELI,Mercado Libre,2017-06-19,Wikipedia Nasdaq-100 changes table,2645.219970703125,0.0,0.3333333333333333,2,0.4601643634717716,1,8.650572116677298
Nasdaq-100 Top3 PIT membership,3,2025-06-30,2025-07-01,BUY,ZS,Zscaler,2021-12-20,Wikipedia Nasdaq-100 changes table,314.5,0.0,0.3333333333333333,3,0.3409698172408351,1,8.650572116677298
Nasdaq-100 Top3 PIT membership,3,2025-07-31,2025-08-01,SELL,MELI,Mercado Libre,2017-06-19,Wikipedia Nasdaq-100 changes table,2379.989990234375,0.3333333333333333,0.0,,,,8.436659097623018
Nasdaq-100 Top3 PIT membership,3,2025-07-31,2025-08-01,BUY,EA,Electronic Arts,2014-12-22,Wikipedia Nasdaq-100 changes table,152.30472961448726,0.0,0.3333333333333333,3,0.3620496701614899,1,8.436659097623018
Nasdaq-100 Top3 PIT membership,3,2025-08-29,2025-09-02,SELL,EA,Electronic Arts,2014-12-22,Wikipedia Nasdaq-100 changes table,169.68053550741192,0.3333333333333333,0.0,,,,8.695280134310972
Nasdaq-100 Top3 PIT membership,3,2025-08-29,2025-09-02,SELL,ZS,Zscaler,2021-12-20,Wikipedia Nasdaq-100 changes table,279.7099914550781,0.3333333333333333,0.0,,,,8.695280134310972
Nasdaq-100 Top3 PIT membership,3,2025-08-29,2025-09-02,BUY,AMD,Advanced Micro Devices,2018-12-24,Wikipedia Nasdaq-100 changes table,158.4199981689453,0.0,0.3333333333333333,2,0.7655717652811362,2,8.695280134310972
Nasdaq-100 Top3 PIT membership,3,2025-08-29,2025-09-02,BUY,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,334.92999267578125,0.0,0.3333333333333333,3,0.5732685936441524,2,8.695280134310972
Nasdaq-100 Top3 PIT membership,3,2025-09-30,2025-10-01,SELL,AMD,Advanced Micro Devices,2018-12-24,Wikipedia Nasdaq-100 changes table,160.92999267578125,0.3333333333333333,0.0,,,,9.288120669390846
Nasdaq-100 Top3 PIT membership,3,2025-09-30,2025-10-01,SELL,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,332.4700012207031,0.3333333333333333,0.0,,,,9.288120669390846
Nasdaq-100 Top3 PIT membership,3,2025-09-30,2025-10-01,BUY,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,714.8350219726562,0.0,0.3333333333333333,2,0.8062044538364765,3,9.288120669390846
Nasdaq-100 Top3 PIT membership,3,2025-09-30,2025-10-01,BUY,AVGO,Broadcom,2016-02-01,Wikipedia Nasdaq-100 changes table,326.8376971837535,0.0,0.3333333333333333,3,0.7803858698148745,3,9.288120669390846
Nasdaq-100 Top3 PIT membership,3,2025-10-31,2025-11-03,SELL,AVGO,Broadcom,2016-02-01,Wikipedia Nasdaq-100 changes table,370.5123492029235,0.3333333333333333,0.0,,,,9.813275808136389
Nasdaq-100 Top3 PIT membership,3,2025-10-31,2025-11-03,SELL,PLTR,Palantir Technologies,2024-12-23,Wikipedia Nasdaq-100 changes table,205.0449981689453,0.3333333333333333,0.0,,,,9.813275808136389
Nasdaq-100 Top3 PIT membership,3,2025-10-31,2025-11-03,BUY,MU,Micron Technology,2010-12-20,Wikipedia Nasdaq-100 changes table,233.68739709189376,0.0,0.3333333333333333,1,1.278530084746686,3,9.813275808136389
Nasdaq-100 Top3 PIT membership,3,2025-10-31,2025-11-03,BUY,WBD,Warner Bros. Discovery,2022-12-19,Wikipedia Nasdaq-100 changes table,22.5,0.0,0.3333333333333333,2,1.2529273837307406,3,9.813275808136389
Nasdaq-100 Top3 PIT membership,3,2025-11-28,2025-12-01,SELL,APP,AppLovin,2024-11-18,Wikipedia Nasdaq-100 changes table,588.1300048828125,0.3333333333333333,0.0,,,,9.720027215015374
Nasdaq-100 Top3 PIT membership,3,2025-11-28,2025-12-01,BUY,AMD,Advanced Micro Devices,2018-12-24,Wikipedia Nasdaq-100 changes table,213.8800048828125,0.0,0.3333333333333333,2,1.387157758139037,4,9.720027215015374
Nasdaq-100 Top3 PIT membership,3,2025-12-31,2026-01-02,SELL,AMD,Advanced Micro Devices,2018-12-24,Wikipedia Nasdaq-100 changes table,218.8999938964844,0.3333333333333333,0.0,,,,11.350350773452046
Nasdaq-100 Top3 PIT membership,3,2025-12-31,2026-01-02,SELL,MU,Micron Technology,2010-12-20,Wikipedia Nasdaq-100 changes table,295.00607846003123,0.3333333333333333,0.0,,,,11.350350773452046
Nasdaq-100 Top3 PIT membership,3,2025-12-31,2026-01-02,BUY,WDC,Western Digital,2025-12-22,Wikipedia Nasdaq-100 changes table,177.11522230299764,0.0,0.3333333333333333,1,1.4890602155250843,1,11.350350773452046
Nasdaq-100 Top3 PIT membership,3,2025-12-31,2026-01-02,BUY,INSM,Insmed Incorporated,2025-12-22,Wikipedia Nasdaq-100 changes table,175.7899932861328,0.0,0.3333333333333333,2,1.1519748397722274,1,11.350350773452046
Nasdaq-100 Top3 PIT membership,3,2026-01-30,2026-02-02,SELL,INSM,Insmed Incorporated,2025-12-22,Wikipedia Nasdaq-100 changes table,156.6300048828125,0.3333333333333333,0.0,,,,12.117588752960682
Nasdaq-100 Top3 PIT membership,3,2026-01-30,2026-02-02,BUY,MU,Micron Technology,2010-12-20,Wikipedia Nasdaq-100 changes table,412.0069129532501,0.0,0.3333333333333333,1,1.683998028348407,1,12.117588752960682
Nasdaq-100 Top3 PIT membership,3,2026-02-27,2026-03-02,SELL,WBD,Warner Bros. Discovery,2022-12-19,Wikipedia Nasdaq-100 changes table,28.01000022888184,0.3333333333333333,0.0,,,,12.584655684014667
Nasdaq-100 Top3 PIT membership,3,2026-02-27,2026-03-02,BUY,STX,Seagate Technology,2025-12-22,Wikipedia Nasdaq-100 changes table,392.9046064309741,0.0,0.3333333333333333,3,1.6637877685315892,1,12.584655684014667
Nasdaq-100 Top3 PIT membership,3,2026-03-31,2026-04-01,SELL,STX,Seagate Technology,2025-12-22,Wikipedia Nasdaq-100 changes table,396.489990234375,0.3333333333333333,0.0,,,,12.22252900066712
Nasdaq-100 Top3 PIT membership,3,2026-03-31,2026-04-01,BUY,AMAT,Applied Materials,,No add date found; assumed already member before test window,345.2900085449219,0.0,0.3333333333333333,3,0.8217839796579607,1,12.22252900066712
Nasdaq-100 Top3 PIT membership,3,2026-04-30,2026-05-01,SELL,AMAT,Applied Materials,,No add date found; assumed already member before test window,389.4500122070313,0.3333333333333333,0.0,,,,16.42121707722936
Nasdaq-100 Top3 PIT membership,3,2026-04-30,2026-05-01,SELL,MU,Micron Technology,2010-12-20,Wikipedia Nasdaq-100 changes table,511.7799987792969,0.3333333333333333,0.0,,,,16.42121707722936
Nasdaq-100 Top3 PIT membership,3,2026-04-30,2026-05-01,BUY,SNDK,Sandisk,2026-04-20,Wikipedia Nasdaq-100 changes table,1059.02001953125,0.0,0.3333333333333333,1,2.6195523914650924,0,16.42121707722936
Nasdaq-100 Top3 PIT membership,3,2026-04-30,2026-05-01,BUY,STX,Seagate Technology,2025-12-22,Wikipedia Nasdaq-100 changes table,667.010009765625,0.0,0.3333333333333333,3,0.7644528477405941,0,16.42121707722936
