strategy,universe,top_n,signal_date,trade_date,selected,skipped_not_yet_index_count,first_skipped_tickers,equity_before_rebalance
S&P 500 Top2 PIT membership,S&P 500,2,2022-03-31,2022-04-01,"APA, DVN",0,,0.9677110187818663
S&P 500 Top2 PIT membership,S&P 500,2,2022-04-29,2022-05-02,"CF, OXY",0,,0.9407828823889198
S&P 500 Top2 PIT membership,S&P 500,2,2022-05-31,2022-06-01,"OXY, MOS",1,EQT,1.0907650474149855
S&P 500 Top2 PIT membership,S&P 500,2,2022-06-30,2022-07-01,"OXY, HAL",1,EQT,0.8713201654834122
S&P 500 Top2 PIT membership,S&P 500,2,2022-07-29,2022-08-01,"OXY, LLY",2,"EQT, TPL",0.8694777566686139
S&P 500 Top2 PIT membership,S&P 500,2,2022-08-31,2022-09-01,"EPAM, VLO",3,"EQT, TPL, FSLR",0.8627451744526895
S&P 500 Top2 PIT membership,S&P 500,2,2022-09-30,2022-10-03,"CEG, EPAM",2,"SMCI, FSLR",0.7874981200204525
S&P 500 Top2 PIT membership,S&P 500,2,2022-10-31,2022-11-01,"CEG, ALB",1,FSLR,0.8265109088216647
S&P 500 Top2 PIT membership,S&P 500,2,2022-11-30,2022-12-01,"DXCM, NFLX",2,"FSLR, ERIE",0.8310935638753352
S&P 500 Top2 PIT membership,S&P 500,2,2022-12-30,2023-01-03,"FSLR, RCL",3,"SMCI, AXON, TPL",0.816905122134779
S&P 500 Top2 PIT membership,S&P 500,2,2023-01-31,2023-02-01,"PCG, FSLR",0,,1.0069132024866474
S&P 500 Top2 PIT membership,S&P 500,2,2023-02-28,2023-03-01,"WYNN, NFLX",0,,1.0096800599796623
S&P 500 Top2 PIT membership,S&P 500,2,2023-03-31,2023-04-03,"NVDA, STLD",1,AXON,1.0685186708398946
S&P 500 Top2 PIT membership,S&P 500,2,2023-04-28,2023-05-01,"NVDA, WYNN",0,,1.0332056904510383
S&P 500 Top2 PIT membership,S&P 500,2,2023-05-31,2023-06-01,"META, NVDA",0,,1.1247283438696525
S&P 500 Top2 PIT membership,S&P 500,2,2023-06-30,2023-07-03,"NVDA, META",4,"CVNA, SMCI, APP, PLTR",1.2286082784376002
S&P 500 Top2 PIT membership,S&P 500,2,2023-07-31,2023-08-01,"NVDA, META",4,"CVNA, SMCI, APP, PLTR",1.35355299014198
S&P 500 Top2 PIT membership,S&P 500,2,2023-08-31,2023-09-01,"NVDA, META",5,"CVNA, SMCI, PLTR, APP, VRT",1.3633157674785823
S&P 500 Top2 PIT membership,S&P 500,2,2023-09-29,2023-10-02,"NVDA, LLY",6,"CVNA, APP, VRT, SMCI, PLTR, BLDR",1.2909663946636027
S&P 500 Top2 PIT membership,S&P 500,2,2023-10-31,2023-11-01,"NVDA, TSLA",6,"CVNA, SMCI, VRT, APP, PLTR, JBL",1.2674045092206565
S&P 500 Top2 PIT membership,S&P 500,2,2023-11-30,2023-12-01,"MPC, NRG",8,"VRT, CVNA, DELL, APP, TPL, JBL, VST, WSM",1.4484371813741395
S&P 500 Top2 PIT membership,S&P 500,2,2023-12-29,2024-01-02,"KEY, ANET",7,"COIN, VRT, CRWD, APP, WSM, DELL, ERIE",1.5069356682108666
S&P 500 Top2 PIT membership,S&P 500,2,2024-01-31,2024-02-01,"INTC, AXON",6,"COIN, VRT, CRWD, ERIE, WSM, DELL",1.6104434465942425
