variant,exit_vix_below,atr_window,atr_mult,cooldown_days,is_return_pct,is_max_drawdown_pct,is_sharpe,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,oos_exposure_days_pct,trades
exit VIX<20; ATR14 trail 3x; cooldown 21d,20,14.0,3.0,21,-29.1,-58.34,-0.014,1230.93,-56.04,1.051,843.6,-60.34,0.555,13.53,12
exit VIX<20; ATR14 trail 4x,20,14.0,4.0,0,-1.91,-53.17,0.14,1783.47,-68.14,1.066,1747.5,-68.14,0.627,15.71,12
exit VIX<20; ATR14 trail 4x; cooldown 21d,20,14.0,4.0,21,-21.66,-62.6,0.047,877.28,-73.27,0.931,665.59,-73.35,0.513,14.4,12
exit VIX<20; ATR14 trail 5x,20,14.0,5.0,0,8.08,-51.31,0.185,1316.27,-72.45,0.992,1430.67,-72.45,0.597,17.96,10
exit VIX<20; ATR14 trail 5x; cooldown 21d,20,14.0,5.0,21,8.08,-51.31,0.185,876.23,-73.15,0.921,955.09,-73.15,0.553,16.65,10
exit VIX<20; ATR14 trail 6x,20,14.0,6.0,0,61.05,-51.31,0.311,1461.39,-72.45,1.006,2414.62,-72.45,0.658,17.96,10
exit VIX<20; ATR14 trail 6x; cooldown 21d,20,14.0,6.0,21,61.05,-51.31,0.311,1021.78,-72.45,0.942,1706.63,-72.45,0.622,16.65,10
exit VIX<20; ATR21 trail 2x,20,21.0,2.0,0,-5.66,-46.04,0.11,1674.06,-66.93,1.063,1573.59,-66.93,0.621,13.53,20
exit VIX<20; ATR21 trail 2x; cooldown 21d,20,21.0,2.0,21,-36.4,-57.79,-0.124,1177.85,-38.56,1.097,712.75,-57.79,0.553,10.66,15
exit VIX<20; ATR21 trail 3x,20,21.0,3.0,0,27.94,-39.29,0.229,1674.85,-62.84,1.065,2170.71,-62.84,0.664,14.84,12
exit VIX<20; ATR21 trail 3x; cooldown 21d,20,21.0,3.0,21,-29.1,-58.34,-0.014,1230.93,-56.04,1.051,843.6,-60.34,0.555,13.53,12
exit VIX<20; ATR21 trail 4x,20,21.0,4.0,0,-1.91,-53.17,0.14,2097.19,-62.84,1.115,2055.24,-62.84,0.65,15.71,12
exit VIX<20; ATR21 trail 4x; cooldown 21d,20,21.0,4.0,21,-21.66,-62.6,0.047,1547.64,-56.04,1.105,1190.74,-62.6,0.597,14.4,12
exit VIX<20; ATR21 trail 5x,20,21.0,5.0,0,1.46,-51.56,0.166,1224.15,-72.45,0.98,1243.51,-72.45,0.581,15.71,11
exit VIX<20; ATR21 trail 5x; cooldown 21d,20,21.0,5.0,21,1.46,-51.56,0.166,812.74,-73.15,0.909,826.08,-73.15,0.536,14.4,11
exit VIX<20; ATR21 trail 6x,20,21.0,6.0,0,67.23,-49.45,0.323,1250.92,-72.45,0.975,2159.12,-72.45,0.647,17.96,10
exit VIX<20; ATR21 trail 6x; cooldown 21d,20,21.0,6.0,21,67.23,-49.45,0.323,1267.52,-72.45,0.995,2186.87,-72.45,0.654,16.33,10
