date,equity,units,exposure,allocation
2019-08-09,4714.069605833668,2.0,0.2,TQQQ
2019-08-12,4682.522584508554,2.0,0.2,TQQQ
2019-08-13,5094.377348411115,2.0,1.34,TQQQ
2019-08-14,5003.107797423094,2.0,0.2,TQQQ
2019-08-15,4998.865684824121,2.0,0.2,TQQQ
2019-08-16,5044.979034851322,2.0,0.2,TQQQ
2019-08-19,5361.3828353271265,2.0,1.34,TQQQ
2019-08-20,5339.3223446454895,2.0,0.2,TQQQ
2019-08-21,5521.562814532551,2.0,1.34,TQQQ
2019-08-22,5449.960848193723,2.0,1.34,TQQQ
2019-08-23,5350.192868471656,3.0,0.2,TQQQ
2019-08-26,5393.546788070364,3.0,0.2,TQQQ
2019-08-27,5387.041731075323,3.0,0.2,TQQQ
2019-08-28,5397.873809471777,3.0,0.2,TQQQ
2019-08-29,5888.8417573264105,2.0,2.0,TQQQ
2019-08-30,5880.5287886482565,2.0,0.2,TQQQ
2019-09-03,5846.30898448056,2.0,0.2,TQQQ
2019-09-04,6166.573155871703,1.0,0.67,SOXL
2019-09-05,6552.433359650969,1.0,0.67,SOXL
2019-09-06,6570.120458934183,1.0,0.67,SOXL
2019-09-09,6631.946137807888,1.0,0.67,SOXL
2019-09-10,6690.4738127222245,1.0,0.67,SOXL
2019-09-11,6891.319274832046,1.0,0.67,SOXL
2019-09-12,6932.004664559863,1.0,0.67,SOXL
2019-09-13,6889.961729351131,1.0,0.67,SOXL
2019-09-16,6796.003129696518,1.0,0.67,SOXL
2019-09-17,6837.469975637928,1.0,0.67,SOXL
2019-09-18,6846.381277881291,1.0,0.67,SOXL
2019-09-19,6776.61432303723,1.0,0.67,SOXL
2019-09-20,6523.475686063775,2.0,0.67,SOXL
2019-09-23,6790.672483954597,2.0,1.34,SOXL
2019-09-24,6350.132251754379,2.0,1.34,SOXL
2019-09-25,6785.2198867061825,1.0,1.34,SOXL
2019-09-26,6799.570562365545,1.0,0.67,SOXL
2019-09-27,6467.56147122021,2.0,0.67,SOXL
2019-09-30,6741.73976773095,2.0,1.34,SOXL
2019-10-01,6494.4223740586485,2.0,1.34,SOXL
2019-10-02,6433.149795699018,2.0,0.2,SOXL
2019-10-03,6874.143840059101,2.0,1.34,SOXL
2019-10-04,7373.541913414377,1.0,1.34,SOXL
2019-10-07,7261.064193166634,2.0,0.67,SOXL
2019-10-08,7127.514481970032,2.0,0.2,SOXL
2019-10-09,7608.997556290108,2.0,1.34,SOXL
2019-10-10,7905.608944237323,2.0,1.34,SOXL
2019-10-11,8616.978857139906,1.0,1.34,SOXL
2019-10-14,8616.010977254697,1.0,0.67,SOXL
2019-10-15,8994.493952896097,1.0,0.67,SOXL
2019-10-16,8732.439102195736,1.0,0.67,SOXL
2019-10-17,8793.721513889255,1.0,0.67,SOXL
2019-10-18,8597.07180565696,1.0,0.67,SOXL
2019-10-21,8924.673754294883,1.0,0.67,SOXL
2019-10-22,8784.906273384855,1.0,0.67,SOXL
2019-10-23,8442.651428554485,2.0,0.67,SOXL
2019-10-24,9263.28640252364,1.0,1.34,SOXL
2019-10-25,9645.276118020105,1.0,0.67,SOXL
2019-10-28,9984.224934043454,1.0,0.67,SOXL
2019-10-29,9808.832491651588,1.0,0.67,SOXL
2019-10-30,9809.806832401007,1.0,0.67,SOXL
2019-10-31,9686.20873312566,1.0,0.67,SOXL
2019-11-01,10133.654078530259,1.0,0.67,SOXL
2019-11-04,10254.808019445734,1.0,0.67,TQQQ
2019-11-05,10263.34722335005,1.0,0.67,TQQQ
2019-11-06,10219.734591463888,1.0,0.67,TQQQ
2019-11-07,10289.091030578811,1.0,0.67,TQQQ
2019-11-08,10370.526683315595,1.0,0.67,TQQQ
