date,equity,units,exposure,allocation
2022-07-18,1827971.335748278,2.0,0.2,TQQQ
2022-07-19,1859962.5662036196,2.0,0.2,TQQQ
2022-07-20,1878653.7237031313,1.0,0.2,TQQQ
2022-07-21,1894618.2043813467,1.0,0.2,TQQQ
2022-07-22,1874796.4415887357,2.0,0.2,TQQQ
2022-07-25,1869209.4994526035,2.0,0.2,TQQQ
2022-07-26,1846591.3652616,2.0,0.2,TQQQ
2022-07-27,1892671.7255010335,2.0,0.2,TQQQ
2022-07-28,1903508.0483959175,2.0,0.2,TQQQ
2022-07-29,2043869.0292313271,2.0,1.34,TQQQ
2022-08-01,2039764.4857642483,2.0,1.34,TQQQ
2022-08-02,2014327.3692476049,2.0,1.34,TQQQ
2022-08-03,2230262.348534604,1.0,1.34,TQQQ
2022-08-04,2251645.843673443,1.0,0.67,TQQQ
2022-08-05,2215756.0419921894,1.0,0.67,TQQQ
2022-08-08,2200611.8449822646,1.0,0.67,TQQQ
2022-08-09,2149959.1063022865,2.0,0.67,TQQQ
2022-08-10,2386551.1801831545,2.0,1.34,TQQQ
2022-08-11,2338362.725478193,2.0,1.34,TQQQ
2022-08-12,2515296.6322078146,2.0,1.34,TQQQ
2022-08-15,2596054.393981965,2.0,1.34,TQQQ
2022-08-16,2573690.928124739,2.0,1.34,TQQQ
2022-08-17,2454091.894434044,2.0,1.34,TQQQ
2022-08-18,2476132.9026142913,2.0,1.34,TQQQ
2022-08-19,2281735.366521995,2.0,1.34,TQQQ
2022-08-22,2041284.71124639,2.0,1.34,TQQQ
2022-08-23,2032046.7472378868,2.0,1.34,TQQQ
2022-08-24,2053018.1582078687,2.0,1.34,TQQQ
2022-08-25,2197677.035592392,2.0,1.34,TQQQ
2022-08-26,1839295.3791263595,3.0,1.34,TQQQ
2022-08-29,1827982.258811359,3.0,0.2,TQQQ
2022-08-30,1815758.2997696314,2.0,0.2,TQQQ
2022-08-31,1809092.6293728244,3.0,0.2,TQQQ
2022-09-01,1809482.9177496112,3.0,0.2,TQQQ
2022-09-02,1794403.9886170165,3.0,0.2,TQQQ
2022-09-06,1786198.6203958543,3.0,0.2,TQQQ
2022-09-07,1807301.3745895938,3.0,0.2,TQQQ
2022-09-08,1813192.582854579,3.0,0.2,TQQQ
2022-09-09,2043234.7787460003,3.0,2.0,TQQQ
2022-09-12,2192505.584663827,3.0,2.0,TQQQ
2022-09-13,2120343.581789981,3.0,0.2,TQQQ
2022-09-14,2129862.1736858534,3.0,0.2,TQQQ
2022-09-15,2108418.4235302256,3.0,0.2,TQQQ
2022-09-16,2100183.094097091,3.0,0.2,TQQQ
2022-09-19,2110257.1095698774,3.0,0.2,TQQQ
2022-09-20,2100204.3300482263,3.0,0.2,TQQQ
2022-09-21,2077143.852823348,2.0,0.2,TQQQ
2022-09-22,2061770.873316315,3.0,0.2,TQQQ
2022-09-23,2042056.033351286,3.0,0.2,TQQQ
2022-09-26,2036498.0449251588,3.0,0.2,TQQQ
2022-09-27,2036885.6478659832,3.0,0.2,TQQQ
2022-09-28,2060700.9416317625,3.0,0.2,TQQQ
2022-09-29,2025908.6055286196,3.0,0.2,TQQQ
2022-09-30,2007154.3182172026,1.0,0.2,SOXL
2022-10-03,2034996.9620685976,1.0,0.2,TQQQ
2022-10-04,2072820.663031666,1.0,0.2,TQQQ
2022-10-05,2072820.663031666,1.0,0.2,TQQQ
2022-10-06,2062355.6072388806,1.0,0.2,TQQQ
2022-10-07,2015317.7219952578,2.0,0.2,TQQQ
2022-10-10,2002709.1168712052,2.0,0.2,TQQQ
2022-10-11,1986806.1015160189,2.0,0.2,TQQQ
2022-10-12,1985929.9572846738,2.0,0.2,TQQQ
2022-10-13,2012482.1345289706,2.0,0.2,TQQQ
2022-10-14,1976213.681403562,3.0,0.2,TQQQ
2022-10-17,2015130.6124605313,3.0,0.2,TQQQ
2022-10-18,2025154.0989152396,3.0,0.2,TQQQ
2022-10-19,2020239.672224347,3.0,0.2,TQQQ
2022-10-20,2013415.8811953692,3.0,0.2,TQQQ
2022-10-21,2041924.501328397,3.0,0.2,TQQQ
2022-10-24,2055821.8614219627,3.0,0.2,TQQQ
2022-10-25,2080565.1334638926,1.0,0.2,TQQQ
2022-10-26,2053070.314759929,2.0,0.2,TQQQ
2022-10-27,2030453.4211781642,2.0,0.2,TQQQ
2022-10-28,2067185.2910096995,2.0,0.2,TQQQ
2022-10-31,2052895.9932533996,2.0,0.2,TQQQ
2022-11-01,2040157.2109697633,2.0,0.2,TQQQ
2022-11-02,1997947.0451680783,2.0,0.2,TQQQ
2022-11-03,1974893.8437577155,3.0,0.2,TQQQ
2022-11-04,2029960.648632683,1.0,0.2,SOXL
2022-11-07,2042852.7985090371,1.0,0.2,TQQQ
2022-11-08,2051677.214266371,1.0,0.2,TQQQ
2022-11-09,2023049.1460129581,2.0,0.2,TQQQ
2022-11-10,2111557.6350984904,1.0,0.2,TQQQ
