is_rank,profile_pair,date,action,symbol,fraction,price,remaining_before,r_multiple,reason
1,risk_first_trend_runner__one_r_invalidation,2020-05-11,scale_out,TQQQ,0.333333,9.15133,1.0,1.1394,recover risk
1,risk_first_trend_runner__one_r_invalidation,2020-06-03,scale_out,TQQQ,0.333333,10.34166,0.666667,2.031,lock profit
1,risk_first_trend_runner__one_r_invalidation,2020-06-11,stop_exit,TQQQ,0.333333,10.075588,0.333333,1.8317,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2020-06-11,entry,TQQQ,1.0,9.909464,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-06-17,scale_out,TQQQ,0.333333,11.142775,1.0,1.0199,recover risk
1,risk_first_trend_runner__one_r_invalidation,2020-07-01,scanner_exit,TQQQ,0.666667,12.075217,0.666667,1.791,target changed to SOXL
1,risk_first_trend_runner__one_r_invalidation,2020-07-01,entry,SOXL,1.0,11.657977,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2020-07-09,scale_out,SOXL,0.333333,13.619938,1.0,1.157,recover risk
1,risk_first_trend_runner__one_r_invalidation,2020-08-03,scanner_exit,SOXL,0.666667,15.51402,0.666667,2.2739,target changed to TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-08-03,entry,TQQQ,1.0,14.784203,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-08-20,scale_out,TQQQ,0.333333,16.527313,1.0,1.0712,recover risk
1,risk_first_trend_runner__one_r_invalidation,2020-08-26,scale_out,TQQQ,0.333333,18.712172,0.666667,2.4138,lock profit
1,risk_first_trend_runner__one_r_invalidation,2020-09-01,scanner_exit,TQQQ,0.333333,20.26545,0.333333,3.3683,target changed to SOXL
1,risk_first_trend_runner__one_r_invalidation,2020-09-01,entry,SOXL,1.0,18.238783,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2020-09-03,stop_exit,SOXL,1.0,16.414905,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2020-09-03,entry,SOXL,1.0,16.48304,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2020-09-04,stop_exit,SOXL,1.0,14.394193,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2020-09-04,entry,SOXL,1.0,16.026005,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2020-09-21,stop_exit,SOXL,1.0,13.678857,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2020-09-21,entry,SOXL,1.0,14.55405,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2020-10-01,scanner_exit,SOXL,1.0,17.383541,1.0,0.8531,target changed to TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-10-01,entry,TQQQ,1.0,16.360167,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-10-30,stop_exit,TQQQ,1.0,14.221871,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2020-10-30,entry,TQQQ,1.0,14.022487,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2020-11-02,scanner_exit,TQQQ,1.0,14.027262,1.0,0.0022,target changed to SOXL
1,risk_first_trend_runner__one_r_invalidation,2020-11-02,entry,SOXL,1.0,16.352459,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2020-11-04,scale_out,SOXL,0.333333,19.141222,1.0,1.1979,recover risk
1,risk_first_trend_runner__one_r_invalidation,2020-11-05,scale_out,SOXL,0.333333,21.665583,0.666667,2.2822,lock profit
1,risk_first_trend_runner__one_r_invalidation,2020-12-11,stop_exit,SOXL,0.333333,26.955765,0.333333,4.5546,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2020-12-11,entry,SOXL,1.0,27.309048,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2021-01-05,scale_out,SOXL,0.333333,31.465427,1.0,1.3291,recover risk
1,risk_first_trend_runner__one_r_invalidation,2021-01-07,scale_out,SOXL,0.333333,34.676044,0.666667,2.3558,lock profit
1,risk_first_trend_runner__one_r_invalidation,2021-01-27,stop_exit,SOXL,0.333333,33.675086,0.333333,2.0357,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2021-01-27,entry,SOXL,1.0,32.142338,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2021-02-08,scale_out,SOXL,0.333333,38.920437,1.0,1.1081,recover risk
1,risk_first_trend_runner__one_r_invalidation,2021-02-12,scale_out,SOXL,0.333333,44.388691,0.666667,2.0021,lock profit
1,risk_first_trend_runner__one_r_invalidation,2021-02-23,stop_exit,SOXL,0.333333,38.259145,0.333333,1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2021-02-23,entry,SOXL,1.0,38.770447,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2021-03-04,stop_exit,SOXL,1.0,32.290387,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2021-03-04,entry,SOXL,1.0,29.073952,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2021-04-01,scanner_exit,SOXL,1.0,41.146091,1.0,1.3463,target changed to TQQQ
1,risk_first_trend_runner__one_r_invalidation,2021-04-01,entry,TQQQ,1.0,22.899218,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2021-04-09,scale_out,TQQQ,0.333333,25.614172,1.0,1.0919,recover risk
1,risk_first_trend_runner__one_r_invalidation,2021-05-10,stop_exit,TQQQ,0.666667,22.899218,0.666667,0.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2021-05-10,entry,TQQQ,1.0,22.923092,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2021-06-10,scale_out,TQQQ,0.333333,25.874449,1.0,1.2616,recover risk
1,risk_first_trend_runner__one_r_invalidation,2021-06-23,scale_out,TQQQ,0.333333,27.639044,0.666667,2.0159,lock profit
1,risk_first_trend_runner__one_r_invalidation,2021-07-19,stop_exit,TQQQ,0.333333,28.793383,0.333333,2.5093,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2021-07-19,entry,TQQQ,1.0,29.255602,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2021-07-23,scale_out,TQQQ,0.333333,32.608101,1.0,1.1459,recover risk
1,risk_first_trend_runner__one_r_invalidation,2021-08-30,scale_out,TQQQ,0.333333,35.795849,0.666667,2.2356,lock profit
1,risk_first_trend_runner__one_r_invalidation,2021-09-20,stop_exit,TQQQ,0.333333,33.652952,0.333333,1.5031,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2021-09-20,entry,TQQQ,1.0,31.875038,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2021-10-04,stop_exit,TQQQ,1.0,28.687534,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2021-10-04,entry,TQQQ,1.0,28.424637,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2021-10-14,scale_out,TQQQ,0.333333,31.815351,1.0,1.0265,recover risk
1,risk_first_trend_runner__one_r_invalidation,2021-10-26,scale_out,TQQQ,0.333333,35.072338,0.666667,2.0126,lock profit
1,risk_first_trend_runner__one_r_invalidation,2021-11-26,stop_exit,TQQQ,0.333333,38.327277,0.333333,2.998,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2021-11-26,entry,TQQQ,1.0,38.405735,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2021-12-01,scanner_exit,TQQQ,1.0,37.035126,1.0,-0.3569,target changed to SOXL
1,risk_first_trend_runner__one_r_invalidation,2021-12-01,entry,SOXL,1.0,61.277695,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2022-01-19,stop_exit,SOXL,1.0,51.333167,1.0,-1.0,active stop breached
1,risk_first_trend_runner__one_r_invalidation,2022-01-19,entry,SOXL,1.0,49.317448,1.0,0.0,scanner target SOXL
1,risk_first_trend_runner__one_r_invalidation,2022-01-20,scanner_exit,SOXL,1.0,44.63026,1.0,-0.3996,target changed to CASH
1,risk_first_trend_runner__one_r_invalidation,2022-08-12,entry,TQQQ,1.0,18.137896,1.0,0.0,scanner target TQQQ
1,risk_first_trend_runner__one_r_invalidation,2022-08-19,scanner_exit,TQQQ,1.0,16.881908,1.0,-0.5724,target changed to CASH
1,risk_first_trend_runner__one_r_invalidation,2023-01-23,entry,SOXL,1.0,14.423315,1.0,0.0,scanner target SOXL
