variant,cash_mode,cash_sma,cash_exit_buffer,cash_reentry_buffer,unit_exposure,max_exposure,add1_drop,add2_drop,sell_mode,sell_param,max_extra_days,trend_guard_sma,trend_guard_exposure,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,max_exposure_used,trade_events,rotation_resets
"cash=selected SMA250 exit=0% reentry=0%; unit=1.25, cap=2.00, add=8%/20%, sell=extra_profit 10%, max_days=20, trend_sma=75, trend_exp=0.25",selected,250,0.0,0.0,1.25,2.0,0.08,0.2,extra_profit,0.1,20,75.0,0.25,2010-06-25 to 2019-12-31,724.49,-76.86,0.674,15.44,2020-01-02 to 2026-05-20,2028.58,-75.51,0.993,24.81,18818.16,-76.86,0.823,1.05,68.75,2.0,422,60
"cash=selected_and_qqq SMA150 exit=0% reentry=0%; unit=1.25, cap=1.50, add=5%/20%, sell=extra_profit 10%, max_days=5, trend_sma=100, trend_exp=0.5",selected_and_qqq,150,0.0,0.0,1.25,1.5,0.05,0.2,extra_profit,0.1,5,100.0,0.5,2010-06-25 to 2019-12-31,1169.93,-77.05,0.748,18.28,2020-01-02 to 2026-05-20,5632.3,-61.76,1.178,25.94,78371.2,-77.05,0.949,1.022,73.75,1.5,796,54
"cash=selected SMA200 exit=0% reentry=0%; unit=3.00, cap=3.00, add=5%/15%, sell=rebound_from_low 5%, max_days=20, trend_sma=none, trend_exp=none",selected,200,0.0,0.0,3.0,3.0,0.05,0.15,rebound_from_low,0.05,20,,,2010-06-25 to 2019-12-31,1522.36,-97.08,0.96,16.69,2020-01-02 to 2026-05-20,1063.01,-97.24,1.248,23.75,22298.4,-97.24,1.091,2.413,80.45,3.0,828,55
"cash=none SMA100 exit=0% reentry=2%; unit=1.25, cap=2.00, add=10%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.5",none,100,0.0,0.02,1.25,2.0,0.1,0.2,rebound_from_low,0.05,10,100.0,0.5,2010-06-25 to 2019-12-31,8264.36,-77.7,1.023,0.0,2020-01-02 to 2026-05-20,5556.18,-76.71,1.141,0.0,509886.36,-77.7,1.066,1.184,76.1,2.0,845,123
"cash=selected_and_qqq SMA200 exit=0% reentry=2%; unit=1.25, cap=1.50, add=8%/20%, sell=extra_profit 15%, max_days=10, trend_sma=75, trend_exp=0.25",selected_and_qqq,200,0.0,0.02,1.25,1.5,0.08,0.2,extra_profit,0.15,10,75.0,0.25,2010-06-25 to 2019-12-31,1759.01,-64.31,0.831,18.36,2020-01-02 to 2026-05-20,3366.64,-62.12,1.099,25.44,69369.24,-64.31,0.954,0.946,69.3,1.5,423,55
"cash=qqq SMA200 exit=3% reentry=3%; unit=1.25, cap=3.00, add=5%/15%, sell=rebound_from_low 5%, max_days=20, trend_sma=75, trend_exp=0.5",qqq,200,0.03,0.03,1.25,3.0,0.05,0.15,rebound_from_low,0.05,20,75.0,0.5,2010-06-25 to 2019-12-31,1285.46,-91.49,0.767,13.48,2020-01-02 to 2026-05-20,3920.84,-85.26,1.118,20.89,59950.21,-91.49,0.928,1.303,70.78,3.0,894,73
"cash=selected_and_qqq SMA150 exit=5% reentry=5%; unit=3.00, cap=3.00, add=10%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.25",selected_and_qqq,150,0.05,0.05,3.0,3.0,0.1,0.2,rebound_from_low,0.05,10,75.0,0.25,2010-06-25 to 2019-12-31,606.78,-93.7,0.794,27.0,2020-01-02 to 2026-05-20,344.75,-95.12,1.059,26.5,3631.56,-95.12,0.916,1.984,65.48,3.0,514,55
"cash=qqq SMA150 exit=5% reentry=5%; unit=1.50, cap=1.50, add=10%/20%, sell=extra_profit 10%, max_days=20, trend_sma=75, trend_exp=0.25",qqq,150,0.05,0.05,1.5,1.5,0.1,0.2,extra_profit,0.1,20,75.0,0.25,2010-06-25 to 2019-12-31,1848.68,-69.98,0.824,19.53,2020-01-02 to 2026-05-20,4017.23,-63.89,1.109,22.26,87637.55,-69.98,0.955,1.033,66.77,1.5,335,72
"cash=none SMA150 exit=0% reentry=2%; unit=1.50, cap=1.50, add=10%/20%, sell=extra_profit 10%, max_days=5, trend_sma=75, trend_exp=0.5",none,150,0.0,0.02,1.5,1.5,0.1,0.2,extra_profit,0.1,5,75.0,0.5,2010-06-25 to 2019-12-31,7851.35,-64.04,1.024,0.0,2020-01-02 to 2026-05-20,14096.75,-76.35,1.291,0.0,1234337.89,-76.35,1.143,1.238,73.83,1.5,814,123
"cash=qqq SMA100 exit=5% reentry=5%; unit=1.25, cap=1.50, add=10%/20%, sell=extra_profit 10%, max_days=5, trend_sma=200, trend_exp=0.5",qqq,100,0.05,0.05,1.25,1.5,0.1,0.2,extra_profit,0.1,5,200.0,0.5,2010-06-25 to 2019-12-31,2512.19,-72.8,0.877,20.78,2020-01-02 to 2026-05-20,3794.4,-66.65,1.1,22.01,109560.27,-72.8,0.976,0.998,74.1,1.5,560,70
"cash=selected_or_qqq SMA100 exit=0% reentry=2%; unit=1.50, cap=1.50, add=10%/20%, sell=extra_profit 15%, max_days=10, trend_sma=100, trend_exp=0.5",selected_or_qqq,100,0.0,0.02,1.5,1.5,0.1,0.2,extra_profit,0.15,10,100.0,0.5,2010-06-25 to 2019-12-31,2804.01,-77.55,0.869,19.91,2020-01-02 to 2026-05-20,5147.0,-68.62,1.136,25.0,166528.25,-77.55,0.991,1.145,75.45,1.5,354,51
"cash=selected_or_qqq SMA150 exit=5% reentry=5%; unit=1.50, cap=3.00, add=5%/15%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.5",selected_or_qqq,150,0.05,0.05,1.5,3.0,0.05,0.15,rebound_from_low,0.05,10,100.0,0.5,2010-06-25 to 2019-12-31,893.06,-97.58,0.789,11.98,2020-01-02 to 2026-05-20,1934.13,-91.2,1.119,21.01,21989.92,-97.58,0.94,1.619,74.48,3.0,951,73
"cash=selected SMA150 exit=3% reentry=3%; unit=1.00, cap=2.00, add=8%/20%, sell=extra_profit 15%, max_days=20, trend_sma=75, trend_exp=0.25",selected,150,0.03,0.03,1.0,2.0,0.08,0.2,extra_profit,0.15,20,75.0,0.25,2010-06-25 to 2019-12-31,564.66,-77.37,0.642,17.45,2020-01-02 to 2026-05-20,4079.01,-77.39,1.102,24.88,29408.4,-77.39,0.858,0.992,26.2,2.0,341,55
"cash=selected_or_qqq SMA150 exit=0% reentry=0%; unit=2.00, cap=3.00, add=5%/15%, sell=extra_profit 15%, max_days=20, trend_sma=75, trend_exp=0.5",selected_or_qqq,150,0.0,0.0,2.0,3.0,0.05,0.15,extra_profit,0.15,20,75.0,0.5,2010-06-25 to 2019-12-31,1558.97,-92.24,0.865,12.27,2020-01-02 to 2026-05-20,8802.49,-92.58,1.28,20.07,166012.15,-92.58,1.056,1.898,72.65,3.0,483,64
"cash=none SMA250 exit=5% reentry=5%; unit=1.25, cap=3.00, add=8%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=75, trend_exp=0.5",none,250,0.05,0.05,1.25,3.0,0.08,0.2,rebound_from_low,0.05,5,75.0,0.5,2010-06-25 to 2019-12-31,13373.12,-82.36,1.057,0.0,2020-01-02 to 2026-05-20,2642.5,-90.59,1.063,0.0,398207.14,-90.59,1.039,1.288,73.83,3.0,1133,123
"cash=selected_or_qqq SMA150 exit=3% reentry=3%; unit=1.25, cap=2.00, add=8%/20%, sell=extra_profit 15%, max_days=10, trend_sma=75, trend_exp=0.5",selected_or_qqq,150,0.03,0.03,1.25,2.0,0.08,0.2,extra_profit,0.15,10,75.0,0.5,2010-06-25 to 2019-12-31,2345.81,-73.07,0.837,12.19,2020-01-02 to 2026-05-20,10238.55,-76.6,1.235,20.14,272474.65,-76.6,1.02,1.148,71.85,2.0,470,70
"cash=none SMA200 exit=3% reentry=3%; unit=1.50, cap=3.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.25",none,200,0.03,0.03,1.5,3.0,0.05,0.15,extra_profit,0.12,10,75.0,0.25,2010-06-25 to 2019-12-31,5570.08,-90.44,0.962,0.0,2020-01-02 to 2026-05-20,4033.34,-97.16,1.198,0.0,256188.87,-97.16,1.064,1.741,73.83,3.0,813,123
"cash=selected_and_qqq SMA200 exit=5% reentry=5%; unit=1.00, cap=1.00, add=5%/20%, sell=extra_profit 15%, max_days=10, trend_sma=100, trend_exp=0.5",selected_and_qqq,200,0.05,0.05,1.0,1.0,0.05,0.2,extra_profit,0.15,10,100.0,0.5,2010-06-25 to 2019-12-31,1255.67,-53.68,0.856,21.87,2020-01-02 to 2026-05-20,2275.26,-50.42,1.114,24.5,34108.89,-53.68,0.974,0.736,0.0,1.0,519,60
"cash=selected_or_qqq SMA150 exit=5% reentry=5%; unit=3.00, cap=3.00, add=10%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=75, trend_exp=0.5",selected_or_qqq,150,0.05,0.05,3.0,3.0,0.1,0.2,rebound_from_low,0.05,5,75.0,0.5,2010-06-25 to 2019-12-31,753.82,-95.45,0.853,11.98,2020-01-02 to 2026-05-20,3776.28,-92.91,1.261,21.01,39188.97,-95.45,1.043,2.201,71.15,3.0,713,73
"cash=selected_or_qqq SMA150 exit=5% reentry=5%; unit=2.00, cap=3.00, add=5%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=200, trend_exp=0.5",selected_or_qqq,150,0.05,0.05,2.0,3.0,0.05,0.2,rebound_from_low,0.05,5,200.0,0.5,2010-06-25 to 2019-12-31,3232.72,-96.17,0.946,11.98,2020-01-02 to 2026-05-20,3463.04,-92.92,1.248,21.01,133457.88,-97.19,1.081,1.969,80.1,3.0,1072,73
"cash=selected_and_qqq SMA150 exit=5% reentry=5%; unit=1.50, cap=1.50, add=8%/20%, sell=extra_profit 15%, max_days=5, trend_sma=75, trend_exp=0.25",selected_and_qqq,150,0.05,0.05,1.5,1.5,0.08,0.2,extra_profit,0.15,5,75.0,0.25,2010-06-25 to 2019-12-31,1580.86,-69.29,0.802,27.0,2020-01-02 to 2026-05-20,3234.95,-63.89,1.072,26.5,61200.11,-69.29,0.926,1.001,65.48,1.5,557,55
"cash=selected_or_qqq SMA150 exit=3% reentry=3%; unit=1.25, cap=3.00, add=8%/20%, sell=rebound_from_low 5%, max_days=20, trend_sma=200, trend_exp=0.5",selected_or_qqq,150,0.03,0.03,1.25,3.0,0.08,0.2,rebound_from_low,0.05,20,200.0,0.5,2010-06-25 to 2019-12-31,6917.66,-89.51,0.962,12.19,2020-01-02 to 2026-05-20,4592.26,-85.71,1.16,20.14,354858.06,-91.4,1.044,1.356,80.25,3.0,700,70
"cash=selected_or_qqq SMA150 exit=5% reentry=5%; unit=1.25, cap=2.00, add=10%/20%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.5",selected_or_qqq,150,0.05,0.05,1.25,2.0,0.1,0.2,extra_profit,0.12,10,100.0,0.5,2010-06-25 to 2019-12-31,2010.87,-79.07,0.816,11.98,2020-01-02 to 2026-05-20,3449.62,-74.33,1.075,21.01,80669.12,-79.07,0.933,1.137,74.48,2.0,430,73
"cash=qqq SMA250 exit=0% reentry=2%; unit=3.00, cap=3.00, add=5%/15%, sell=extra_profit 12%, max_days=5, trend_sma=75, trend_exp=0.5",qqq,250,0.0,0.02,3.0,3.0,0.05,0.15,extra_profit,0.12,5,75.0,0.5,2010-06-25 to 2019-12-31,1073.37,-93.45,0.869,12.1,2020-01-02 to 2026-05-20,1228.82,-98.16,1.161,20.89,18409.27,-98.16,1.003,2.191,70.78,3.0,928,71
