strategy,top_n,date,equity,daily_return,holdings
Nasdaq-100 Top1 PIT membership,1,2022-05-24,5.201505984823409,0.020996047794484385,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-05-25,5.283590734828269,0.015780958484785224,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-05-26,5.305923731932608,0.004226859767378466,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-05-27,5.311996776627718,0.001144578211435876,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-05-31,5.36841786089303,0.010621445501164173,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-01,5.393885429107477,0.004743961605516711,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-02,5.26164873705752,-0.024516036498728133,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-03,5.262432529299623,0.00014896323971291814,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-06,5.317678224130932,0.010498128864117051,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-07,5.235005779409072,-0.015546718179882402,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-08,5.332567287439364,0.018636370644332878,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-09,5.351570213766801,0.0035635605334409792,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-10,5.025190395423467,-0.06098767376792136,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-13,4.913523616326846,-0.022221402635473786,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-14,4.825757717747927,-0.017862109848681085,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-15,4.913327817730898,0.018146393811050654,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-16,4.868073530946911,-0.009210516469240204,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-17,4.918617369113059,0.010382718717134143,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-21,5.2154151583646335,0.06034171129377652,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-22,5.229912026622859,0.0027796192283897625,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-23,5.387420787220468,0.03011690441365178,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-24,5.6080113714954996,0.040945490056818246,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-27,5.677557837059931,0.01240127042500716,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-28,5.650914879411484,-0.004692679214033935,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-29,5.403680739629697,-0.043751170395887384,VRTX
Nasdaq-100 Top1 PIT membership,1,2022-06-30,5.427581321218243,0.004423018816279045,VRTX
