strategy,signal_date,purchase_date,selected_ticker,selected_security,selected_score,selected_sp500_date_added,skipped_not_yet_sp500_count,first_skipped_tickers,prior_holding,equity_before_rebalance
Top1 current-member baseline,2022-12-30,2023-01-03,FSLR,First Solar,1.5316213487358659,2022-12-19,0,,FSLR,3.021509310502969
Top1 current-member baseline,2023-01-31,2023-02-01,PCG,PG&E Corporation,0.4977084634897635,2022-10-03,0,,FSLR,3.549538128200734
Top1 current-member baseline,2023-02-28,2023-03-01,WYNN,Wynn Resorts,0.6523345066860791,2008-11-14,0,,PCG,3.491127628906514
Top1 current-member baseline,2023-03-31,2023-04-03,AXON,Axon Enterprise,0.9123159649218946,2023-05-04,0,,WYNN,3.661603736482727
Top1 current-member baseline,2023-04-28,2023-05-01,NVDA,Nvidia,1.0933221313305976,2001-11-30,0,,AXON,3.4548028355031777
Top1 current-member baseline,2023-05-31,2023-06-01,META,Meta Platforms,1.2355214284760017,2013-12-23,0,,NVDA,4.776289503344902
Top1 current-member baseline,2023-06-30,2023-07-03,CVNA,Carvana,2.3733684103308392,2025-12-22,0,,META,5.14991486555843
Top1 current-member baseline,2023-07-31,2023-08-01,CVNA,Carvana,2.312741117853263,2025-12-22,0,,CVNA,8.880123924449338
Top1 current-member baseline,2023-08-31,2023-09-01,CVNA,Carvana,4.4751845792780784,2025-12-22,0,,CVNA,10.053270896335874
Top1 current-member baseline,2023-09-29,2023-10-02,CVNA,Carvana,4.629671691142371,2025-12-22,0,,CVNA,8.25179455268681
Top1 current-member baseline,2023-10-31,2023-11-01,CVNA,Carvana,4.4362880010567025,2025-12-22,0,,CVNA,5.271206516949371
Top1 current-member baseline,2023-11-30,2023-12-01,VRT,Vertiv,1.0242272280777773,2026-03-23,0,,CVNA,6.16796773457161
Top1 current-member baseline,2023-12-29,2024-01-02,COIN,Coinbase,0.7864429663596497,2025-05-19,0,,VRT,6.736032664436383
Top1 current-member baseline,2024-01-31,2024-02-01,COIN,Coinbase,0.8472649532686425,2025-05-19,0,,COIN,5.012508288813077
Top1 current-member baseline,2024-02-29,2024-03-01,CRWD,CrowdStrike,1.0541923133770488,2024-06-24,0,,COIN,7.891537202683101
Top1 current-member baseline,2024-03-28,2024-04-01,SMCI,Supermicro,2.1705366252933804,2024-03-18,0,,CRWD,7.934795433238133
Top1 current-member baseline,2024-04-30,2024-05-01,SMCI,Supermicro,3.296395980124383,2024-03-18,0,,SMCI,6.107121369133676
Top1 current-member baseline,2024-05-31,2024-06-03,CVNA,Carvana,1.7207121840832764,2025-12-22,0,,SMCI,6.300698708224006
Top1 current-member baseline,2024-06-28,2024-07-01,SMCI,Supermicro,1.8465084787142478,2024-03-18,0,,CVNA,7.869162776394298
Top1 current-member baseline,2024-07-31,2024-08-01,CVNA,Carvana,1.8171727056857159,2025-12-22,0,,SMCI,6.668307531293883
Top1 current-member baseline,2024-08-30,2024-09-03,CVNA,Carvana,0.7661525147873556,2025-12-22,0,,CVNA,6.734384107610955
Top1 current-member baseline,2024-09-30,2024-10-01,CVNA,Carvana,0.7292315411163957,2025-12-22,0,,CVNA,7.88891443768919
Top1 current-member baseline,2024-10-31,2024-11-01,APP,AppLovin,0.8126120932481071,2025-09-22,0,,CVNA,11.192745843223966
Top1 current-member baseline,2024-11-29,2024-12-02,APP,AppLovin,1.1066517774250646,2025-09-22,0,,APP,21.960711799461105
Top1 current-member baseline,2024-12-31,2025-01-02,APP,AppLovin,3.02425906754175,2025-09-22,0,,APP,21.65169115780547
Top1 current-member baseline,2025-01-31,2025-02-03,APP,AppLovin,3.3499352985770043,2025-09-22,0,,APP,23.11994686486828
Top1 current-member baseline,2025-02-28,2025-03-03,APP,AppLovin,3.0569211955387567,2025-09-22,0,,APP,22.906083959374584
Top1 current-member baseline,2025-03-31,2025-04-01,APP,AppLovin,1.5422615922967946,2025-09-22,0,,APP,17.280281237038103
Top1 current-member baseline,2025-04-30,2025-05-01,PLTR,Palantir Technologies,0.8814088358795829,2024-09-23,0,,APP,18.443112884456813
Top1 current-member baseline,2025-05-30,2025-06-02,PLTR,Palantir Technologies,0.832018556008782,2024-09-23,0,,PLTR,20.193856035100158
Top1 current-member baseline,2025-06-30,2025-07-01,NRG,NRG Energy,0.6743176004319931,2010-01-29,0,,PLTR,20.783071806485175
Top1 current-member baseline,2025-07-31,2025-08-01,HOOD,Robinhood Markets,0.8050830709035481,2025-09-22,0,,NRG,21.08625680124991
Top1 current-member baseline,2025-08-29,2025-09-02,HOOD,Robinhood Markets,1.0568863511041378,2025-09-22,0,,HOOD,21.63389431693079
Top1 current-member baseline,2025-09-30,2025-10-01,HOOD,Robinhood Markets,1.499519496613929,2025-09-22,0,,HOOD,30.456486983317728
Top1 current-member baseline,2025-10-31,2025-11-03,SNDK,Sandisk,2.6087207524179523,2025-11-28,0,,HOOD,32.07999907962434
Top1 current-member baseline,2025-11-28,2025-12-01,SNDK,Sandisk,4.422128099138006,2025-11-28,0,,SNDK,32.23062219979631
Top1 current-member baseline,2025-12-31,2026-01-02,SNDK,Sandisk,3.5481498016208795,2025-11-28,0,,SNDK,37.176892312057106
Top1 current-member baseline,2026-01-30,2026-02-02,SNDK,Sandisk,4.596924777935193,2025-11-28,0,,SNDK,89.58512512672083
Top1 current-member baseline,2026-02-27,2026-03-02,SNDK,Sandisk,9.892444670547254,2025-11-28,0,,SNDK,94.124406367972
Top1 current-member baseline,2026-03-31,2026-04-01,SNDK,Sandisk,4.454449489778359,2025-11-28,0,,SNDK,99.24335446541144
Top1 current-member baseline,2026-04-30,2026-05-01,SNDK,Sandisk,2.6195523914650924,2025-11-28,0,,SNDK,161.12573046446684
Top1 PIT S&P membership,2019-12-31,2020-01-02,TGT,Target Corporation,0.45585122228246133,1976-12-31,5,"DXCM, PODD, BLDR, CVNA, TSLA",CASH,1.0
Top1 PIT S&P membership,2020-01-31,2020-02-03,TGT,Target Corporation,0.5729961584384571,1976-12-31,1,TSLA,TGT,0.8632902600450687
Top1 PIT S&P membership,2020-02-28,2020-03-02,GE,GE Aerospace,0.6329638723882893,1957-03-04,1,TSLA,TGT,0.8075838374455534
Top1 PIT S&P membership,2020-03-31,2020-04-01,REGN,Regeneron Pharmaceuticals,0.6753785948526982,2013-05-01,3,"TSLA, DXCM, MRNA",GE,0.5422891340774032
Top1 PIT S&P membership,2020-04-30,2020-05-01,REGN,Regeneron Pharmaceuticals,0.5727951660622068,2013-05-01,4,"PCG, MRNA, DXCM, TSLA",REGN,0.5871941487496745
Top1 PIT S&P membership,2020-05-29,2020-06-01,NEM,Newmont,0.6452304565943132,1969-06-30,2,"TSLA, MRNA",REGN,0.6776653293656326
Top1 PIT S&P membership,2020-06-30,2020-07-01,DXCM,Dexcom,0.7516999302947409,2020-05-12,4,"MRNA, TSLA, CRWD, DDOG",NEM,0.713132034105034
Top1 PIT S&P membership,2020-07-31,2020-08-03,REGN,Regeneron Pharmaceuticals,0.8025976354337103,2013-05-01,3,"MRNA, DDOG, EQT",DXCM,0.7683397886117801
Top1 PIT S&P membership,2020-08-31,2020-09-01,PYPL,PayPal,0.7863521033887175,2015-07-20,7,"MRNA, EQT, DDOG, CRWD, CVNA, TSLA, VEEV",REGN,0.7450899713823732
Top1 PIT S&P membership,2020-09-30,2020-10-01,APA,APA Corporation,2.6992775260762403,1997-07-28,2,"TSLA, CVNA",PYPL,0.722149023523804
Top1 PIT S&P membership,2020-10-30,2020-11-02,FDX,FedEx,1.210008043386798,1980-12-31,4,"CVNA, TSLA, XYZ, DDOG",APA,0.6491594803833806
Top1 PIT S&P membership,2020-11-30,2020-12-01,FDX,FedEx,1.0049826626668454,1980-12-31,1,TSLA,FDX,0.7254178401649843
Top1 PIT S&P membership,2020-12-31,2021-01-04,TSLA,"Tesla, Inc.",1.419042607101007,2020-12-21,0,,FDX,0.6449170778655673
Top1 PIT S&P membership,2021-01-29,2021-02-01,TPR,"Tapestry, Inc.",1.263909154472723,2004-09-01,0,,TSLA,0.7299217428714483
Top1 PIT S&P membership,2021-02-26,2021-03-01,TPR,"Tapestry, Inc.",1.0612792726695885,2004-09-01,1,MRNA,TPR,0.9779135806819128
Top1 PIT S&P membership,2021-03-31,2021-04-01,OXY,Occidental Petroleum,1.7862411490673895,1957-03-04,0,,TPR,0.9436843066278221
Top1 PIT S&P membership,2021-04-30,2021-05-03,FANG,Diamondback Energy,2.0395008671218466,2018-12-03,1,TPL,OXY,0.9025170802433792
Top1 PIT S&P membership,2021-05-28,2021-06-01,FANG,Diamondback Energy,0.8686441986075122,2018-12-03,1,TPL,FANG,0.9005440357618523
Top1 PIT S&P membership,2021-06-30,2021-07-01,NUE,Nucor,1.1540872724972449,1985-04-30,1,TPL,FANG,1.053966980347622
Top1 PIT S&P membership,2021-07-30,2021-08-02,NUE,Nucor,0.9872412402297728,1985-04-30,0,,NUE,1.1376323128507395
Top1 PIT S&P membership,2021-08-31,2021-09-01,MRNA,Moderna,1.6414417171707538,2021-07-21,0,,NUE,1.2689981143240223
Top1 PIT S&P membership,2021-09-30,2021-10-01,MRNA,Moderna,1.8418709450675554,2021-07-21,0,,MRNA,1.1877641675083217
Top1 PIT S&P membership,2021-10-29,2021-11-01,MRNA,Moderna,1.068917194453256,2021-07-21,0,,MRNA,1.1103985761295185
Top1 PIT S&P membership,2021-11-30,2021-12-01,TSLA,"Tesla, Inc.",0.840957230808149,2020-12-21,0,,MRNA,1.093858147422161
Top1 PIT S&P membership,2021-12-31,2022-01-03,TSLA,"Tesla, Inc.",0.6129032040557227,2020-12-21,1,BLDR,TSLA,1.081653951831965
Top1 PIT S&P membership,2022-01-31,2022-02-01,DVN,Devon Energy,0.7764722643102326,2000-08-30,1,BLDR,TSLA,0.8813535666768434
Top1 PIT S&P membership,2022-02-28,2022-03-01,APA,APA Corporation,0.769144965413536,1997-07-28,0,,DVN,1.0517345805815306
Top1 PIT S&P membership,2022-03-31,2022-04-01,APA,APA Corporation,0.7780785860148236,1997-07-28,0,,APA,1.200409045050688
Top1 PIT S&P membership,2022-04-29,2022-05-02,CF,CF Industries,0.7697676075160873,2008-08-27,0,,APA,1.1715433493710457
Top1 PIT S&P membership,2022-05-31,2022-06-01,OXY,Occidental Petroleum,0.8376390751544469,1957-03-04,1,EQT,CF,1.2089419983956289
Top1 PIT S&P membership,2022-06-30,2022-07-01,OXY,Occidental Petroleum,1.3744161661715681,1957-03-04,0,,OXY,1.0188131011296637
Top1 PIT S&P membership,2022-07-29,2022-08-01,OXY,Occidental Petroleum,0.5929371040716089,1957-03-04,1,EQT,OXY,1.1175902586290443
Top1 PIT S&P membership,2022-08-31,2022-09-01,EPAM,EPAM Systems,0.4860300578915362,2021-12-14,2,"EQT, TPL",OXY,1.1873861845091278
Top1 PIT S&P membership,2022-09-30,2022-10-03,CEG,Constellation Energy,0.4566681544445226,2022-02-02,2,"SMCI, FSLR",EPAM,1.0318695773661697
Top1 PIT S&P membership,2022-10-31,2022-11-01,CEG,Constellation Energy,0.43547097414924973,2022-02-02,1,FSLR,CEG,1.1557716737239523
Top1 PIT S&P membership,2022-11-30,2022-12-01,DXCM,Dexcom,0.7020256640086218,2020-05-12,1,FSLR,CEG,1.1789307333414156
Top1 PIT S&P membership,2022-12-30,2023-01-03,FSLR,First Solar,1.5316213487358659,2022-12-19,0,,DXCM,1.1577608654126301
Top1 PIT S&P membership,2023-01-31,2023-02-01,PCG,PG&E Corporation,0.4977084634897635,2022-10-03,0,,FSLR,1.3600872652736347
Top1 PIT S&P membership,2023-02-28,2023-03-01,WYNN,Wynn Resorts,0.6523345066860791,2008-11-14,0,,PCG,1.337705937512376
Top1 PIT S&P membership,2023-03-31,2023-04-03,NVDA,Nvidia,0.9083440899136019,2001-11-30,1,AXON,WYNN,1.4030277835029012
Top1 PIT S&P membership,2023-04-28,2023-05-01,NVDA,Nvidia,1.0933221313305976,2001-11-30,0,,NVDA,1.4199095991553043
Top1 PIT S&P membership,2023-05-31,2023-06-01,META,Meta Platforms,1.2355214284760017,2013-12-23,0,,NVDA,1.9630351244505662
Top1 PIT S&P membership,2023-06-30,2023-07-03,NVDA,Nvidia,1.6959547825850376,2001-11-30,2,"CVNA, SMCI",META,2.1165935946599377
Top1 PIT S&P membership,2023-07-31,2023-08-01,NVDA,Nvidia,1.0050655038047065,2001-11-30,4,"CVNA, SMCI, APP, PLTR",NVDA,2.312885291203537
Top1 PIT S&P membership,2023-08-31,2023-09-01,NVDA,Nvidia,0.8993352042027241,2001-11-30,5,"CVNA, SMCI, PLTR, APP, VRT",NVDA,2.477266906639128
Top1 PIT S&P membership,2023-09-29,2023-10-02,NVDA,Nvidia,0.7992587639647544,2001-11-30,5,"CVNA, APP, VRT, SMCI, PLTR",NVDA,2.1920951377561217
Top1 PIT S&P membership,2023-10-31,2023-11-01,NVDA,Nvidia,0.5877463772789255,2001-11-30,6,"CVNA, SMCI, VRT, APP, PLTR, JBL",NVDA,2.0354671156561515
Top1 PIT S&P membership,2023-11-30,2023-12-01,MPC,Marathon Petroleum,0.43588910865450003,2011-07-01,4,"VRT, CVNA, DELL, APP",NVDA,2.3163125769763937
Top1 PIT S&P membership,2023-12-29,2024-01-02,KEY,KeyCorp,0.39594300269812366,1994-03-01,6,"COIN, VRT, CRWD, APP, WSM, DELL",MPC,2.3202045195807073
Top1 PIT S&P membership,2024-01-31,2024-02-01,INTC,Intel,0.41331318681258944,1976-12-31,6,"COIN, VRT, CRWD, ERIE, WSM, DELL",KEY,2.3607674514121975
Top1 PIT S&P membership,2024-02-29,2024-03-01,AMD,Advanced Micro Devices,0.6244335397754945,2017-03-20,2,"CRWD, SMCI",INTC,2.381953407044882
Top1 PIT S&P membership,2024-03-28,2024-04-01,SMCI,Supermicro,2.1705366252933804,2024-03-18,0,,AMD,2.167600501283831
Top1 PIT S&P membership,2024-04-30,2024-05-01,SMCI,Supermicro,3.296395980124383,2024-03-18,0,,SMCI,1.6683227000009877
