date,equity,units,exposure,allocation
2011-09-01,3.6436468246667237,2.0,0.25,TQQQ
2011-09-02,3.5798783166677546,2.0,0.25,TQQQ
2011-09-06,3.579735245289248,2.0,0.25,TQQQ
2011-09-07,3.647398300837247,2.0,0.25,TQQQ
2011-09-08,3.6347688805654808,2.0,0.25,TQQQ
2011-09-09,3.5749403596680684,2.0,0.25,TQQQ
2011-09-12,3.608458143639007,2.0,0.25,TQQQ
2011-09-13,3.6434583118867407,2.0,0.25,TQQQ
2011-09-14,3.682805657572856,2.0,0.25,TQQQ
2011-09-15,3.724636752577685,1.0,0.25,TQQQ
2011-09-16,3.748969662272525,1.0,0.25,TQQQ
2011-09-19,3.7513547049791547,1.0,0.25,TQQQ
2011-09-20,3.7380667237029654,1.0,0.25,TQQQ
2011-09-21,3.6905405836016945,2.0,0.25,TQQQ
2011-09-22,3.600770432723606,2.0,0.25,TQQQ
2011-09-23,3.6288379226333447,2.0,0.25,TQQQ
2011-09-26,3.6596109032607136,2.0,0.25,TQQQ
2011-09-27,3.687592412263158,2.0,0.25,TQQQ
2011-09-28,3.644165273235313,2.0,0.25,TQQQ
2011-09-29,3.6171720543954753,2.0,0.25,TQQQ
2011-09-30,3.5468733065849123,3.0,0.25,TQQQ
2011-10-03,3.477375367937616,3.0,0.25,TQQQ
2011-10-04,3.5302734911614047,3.0,0.25,TQQQ
2011-10-05,3.597366684608474,3.0,0.25,TQQQ
2011-10-06,3.643576576746638,3.0,0.25,TQQQ
2011-10-07,3.624794628008728,3.0,0.25,TQQQ
2011-10-10,3.7177750341278593,3.0,0.25,TQQQ
2011-10-11,3.7376239703002736,3.0,0.25,TQQQ
2011-10-12,3.752633249747993,3.0,0.25,TQQQ
2011-10-13,3.954117120296995,1.0,2.0,TQQQ
2011-10-14,4.100030842855786,1.0,0.67,TQQQ
2011-10-17,3.972871419222296,1.0,0.67,TQQQ
2011-10-18,4.069416361680391,1.0,0.67,TQQQ
2011-10-19,3.9122161148167116,2.0,0.67,TQQQ
2011-10-20,3.845657507862175,2.0,1.34,TQQQ
2011-10-21,4.028949210712624,2.0,1.34,TQQQ
2011-10-24,4.3662789127733355,2.0,1.34,TQQQ
2011-10-25,4.034565393737283,2.0,1.34,TQQQ
2011-10-26,4.013195419398047,2.0,1.34,TQQQ
2011-10-27,4.4465726318382295,2.0,1.34,TQQQ
2011-10-28,4.466268609697654,2.0,1.34,TQQQ
2011-10-31,4.169693827799172,2.0,1.34,TQQQ
2011-11-01,4.088972427970018,2.0,0.25,TQQQ
2011-11-02,4.223959030826922,2.0,1.34,TQQQ
2011-11-03,4.568450953430067,2.0,1.34,TQQQ
2011-11-04,4.473597402917577,2.0,1.34,TQQQ
2011-11-07,4.606927923733659,2.0,1.34,TQQQ
2011-11-08,4.812733051142124,2.0,1.34,TQQQ
2011-11-09,4.688280937715199,2.0,0.25,TQQQ
2011-11-10,4.683450593095698,2.0,0.25,TQQQ
2011-11-11,5.035713716973131,2.0,1.34,TQQQ
2011-11-14,4.9211613119204305,2.0,1.34,TQQQ
2011-11-15,5.133162093414446,2.0,1.34,TQQQ
2011-11-16,4.794107693952424,2.0,1.34,TQQQ
2011-11-17,4.711683508887966,2.0,0.25,TQQQ
2011-11-18,4.683432314158973,2.0,0.25,TQQQ
2011-11-21,4.6154185970899935,3.0,0.25,TQQQ
2011-11-22,4.625455118297948,3.0,0.25,TQQQ
2011-11-23,4.548591299944113,3.0,0.25,TQQQ
2011-11-25,4.522813259927114,3.0,0.25,TQQQ
2011-11-28,4.639574819154145,3.0,0.25,TQQQ
2011-11-29,4.618619455591351,3.0,0.25,TQQQ
2011-11-30,4.745348633476085,3.0,0.25,TQQQ
2011-12-01,4.948820463824329,3.0,2.0,TQQQ
2011-12-02,4.93704833779819,3.0,0.25,TQQQ
2011-12-05,5.260641196106862,3.0,2.0,TQQQ
2011-12-06,5.18006875713089,3.0,2.0,TQQQ
2011-12-07,5.195779812011717,3.0,2.0,TQQQ
2011-12-08,5.1296345636882785,3.0,0.25,TQQQ
2011-12-09,5.616107841782058,3.0,2.0,TQQQ
2011-12-12,5.570038307651509,3.0,0.25,TQQQ
2011-12-13,5.522999127157542,3.0,0.25,TQQQ
2011-12-14,5.45876532748686,3.0,0.25,TQQQ
2011-12-15,5.448164178072423,2.0,0.25,TQQQ
2011-12-16,5.465228558821944,3.0,0.25,TQQQ
2011-12-19,5.427404200236945,3.0,0.25,TQQQ
2011-12-20,5.5478288228004375,3.0,0.25,TQQQ
2011-12-21,5.490084097519165,3.0,0.25,TQQQ
2011-12-22,5.523558797982637,3.0,0.25,TQQQ
2011-12-23,5.809615463301636,3.0,2.0,TQQQ
2011-12-27,5.89893104598083,3.0,2.0,TQQQ
2011-12-28,5.8515898812224645,3.0,0.25,TQQQ
2011-12-29,6.079600965698671,3.0,2.0,TQQQ
2011-12-30,6.067187104843208,3.0,0.25,TQQQ
2012-01-03,6.757870561596079,3.0,2.0,TQQQ
2012-01-04,6.91961708193342,3.0,2.0,TQQQ
2012-01-05,7.2602706767418566,2.0,2.0,TQQQ
2012-01-06,7.360799350770268,2.0,1.34,TQQQ
2012-01-09,7.278259313310124,2.0,1.34,TQQQ
2012-01-10,7.478159504403674,2.0,1.34,TQQQ
2012-01-11,7.547863927875276,2.0,1.34,TQQQ
2012-01-12,7.6678581328095845,2.0,1.34,TQQQ
2012-01-13,7.550029828837242,2.0,1.34,TQQQ
2012-01-17,7.82166455387762,2.0,1.34,TQQQ
2012-01-18,8.238032216564436,2.0,1.34,TQQQ
2012-01-19,8.4590089349564,2.0,1.34,TQQQ
2012-01-20,8.40882209457753,2.0,1.34,TQQQ
2012-01-23,8.407466843038643,2.0,1.34,TQQQ
2012-01-24,8.34516035967013,2.0,1.34,TQQQ
2012-01-25,8.772363643958348,1.0,1.34,TQQQ
2012-01-26,8.710079240999466,1.0,0.67,TQQQ
2012-01-27,8.76777092350734,1.0,0.67,TQQQ
2012-01-30,8.777353223899537,1.0,0.67,TQQQ
