date,SOXL/TQQQ Rotation with cash daily scanner,SOXL buy-and-hold,TQQQ buy-and-hold
2022-09-19,-0.4135452403912111,-0.8317856988214675,-0.7155920946128451
2022-09-20,-0.4135452403912111,-0.8389437390080748,-0.7223664078765275
2022-09-21,-0.4135452403912111,-0.8430733718810076,-0.7376086465397472
2022-09-22,-0.4135452403912111,-0.8553246829413939,-0.7473184173893987
2022-09-23,-0.4135452403912111,-0.8619321305442171,-0.7593993038504672
2022-09-26,-0.4135452403912111,-0.8685395242914544,-0.7626735469941519
2022-09-27,-0.4135452403912111,-0.8649605109300988,-0.7624477200178389
2022-09-28,-0.4135452403912111,-0.8600049353259038,-0.7485603755726279
2022-09-29,-0.4135452403912111,-0.8721185645806029,-0.7697865556290575
2022-09-30,-0.4135452403912111,-0.8780377377939546,-0.781867374450257
2022-10-03,-0.4135452403912111,-0.8664747280508328,-0.7667381394616859
2022-10-04,-0.4135452403912111,-0.8480289744129956,-0.7450603279992533
2022-10-05,-0.4135452403912111,-0.842798089053012,-0.7450603279992533
2022-10-06,-0.4135452403912111,-0.845964151244581,-0.7514959458917122
2022-10-07,-0.4135452403912111,-0.8732198170676538,-0.7798350894898015
2022-10-10,-0.4135452403912111,-0.8860217341757208,-0.7867223613348864
2022-10-11,-0.4135452403912111,-0.8957952170423201,-0.7951901740013085
2022-10-12,-0.4135452403912111,-0.8989612859658375,-0.7956418054073116
2022-10-13,-0.4135452403912111,-0.8898760505609167,-0.7819803104850365
2022-10-14,-0.4135452403912111,-0.9046051426914523,-0.8016257693471445
2022-10-17,-0.4135452403912111,-0.8990989341117835,-0.782093223973193
2022-10-18,-0.4135452403912111,-0.8981353499665233,-0.7766737598342733
2022-10-19,-0.4135452403912111,-0.8957952170423201,-0.7793835257236676
2022-10-20,-0.4135452403912111,-0.8940057170935907,-0.7831093551801092
2022-10-21,-0.4135452403912111,-0.8818920609110986,-0.767754248121979
2022-10-24,-0.4135452403912111,-0.8805155121321556,-0.7598509127098471
2022-10-25,-0.4135452403912111,-0.8725315157503892,-0.7453990459170996
2022-10-26,-0.4135452403912111,-0.87597291462554,-0.762221938134772
2022-10-27,-0.4135452403912111,-0.8827179901784645,-0.7753188656162646
2022-10-28,-0.4135452403912111,-0.8692278256087189,-0.7549959934650867
2022-10-31,-0.4135452403912111,-0.8772118219904852,-0.7634638286781321
2022-11-01,-0.4135452403912111,-0.8747340207244911,-0.7708027319292199
2022-11-02,-0.4135452403912111,-0.8865723402234016,-0.7945127607122389
2022-11-03,-0.4135452403912111,-0.8913902676816505,-0.8063678652902404
2022-11-04,-0.4135452403912111,-0.8762482243813285,-0.7973353949965436
2022-11-07,-0.4135452403912111,-0.8679889586354632,-0.7908997771040847
2022-11-08,-0.4135452403912111,-0.8600049353259038,-0.7863836208704169
2022-11-09,-0.4135452403912111,-0.8728068524339709,-0.8012870739759211
2022-11-10,-0.4135452403912111,-0.8337128536480912,-0.7578186277493916
2022-11-11,-0.4135452403912111,-0.8180201975681403,-0.744044174245714
2022-11-14,-0.4135452403912111,-0.824214640145591,-0.7508185326026424
2022-11-15,-0.4135452403912111,-0.8090726305050103,-0.7407699311020293
2022-11-16,-0.4135452403912111,-0.8330245792586197,-0.7512701189153992
2022-11-17,-0.4135452403912111,-0.8297209025808459,-0.7531895129343212
2022-11-18,-0.4135452403912111,-0.8280690171183211,-0.7534153624572573
2022-11-21,-0.4135452403912111,-0.836328296328083,-0.7608670439167633
