Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
EQT,2013-03-01,2013-03-04,2013-05-28,31.71,40.0951,1128.505658,9462.68,26.44,time_stop,83.59,31.71,41.63,28.69,85
AET,2013-03-29,2013-04-01,2013-06-24,48.54,58.5453,751.592865,7519.91,20.61,time_stop,81.83,48.54,64.32,43.21,84
F,2013-05-24,2013-05-28,2013-08-20,7.96,8.5219,5169.109031,2904.35,7.06,time_stop,76.95,7.96,10.43,6.27,84
JBL,2013-09-06,2013-09-10,2013-09-26,21.49,19.95,1973.657325,-3039.43,-7.17,stop,75.71,21.49,28.02,19.95,16
DLTR,2013-09-13,2013-09-16,2013-12-09,55.09,55.28,765.937143,145.53,0.34,time_stop,88.15,55.09,74.2,50.33,84
JEF,2013-09-13,2013-09-17,2013-12-10,18.64,18.5376,2270.693323,-232.52,-0.55,time_stop,82.52,18.64,24.5,16.5,84
FCX,2013-10-18,2013-10-22,2014-01-16,29.72,31.4581,1335.163349,2320.62,5.85,time_stop,83.86,29.72,38.9,27.06,86
PHM,2014-02-21,2014-02-26,2014-04-29,17.85,15.64,2355.193999,-5204.98,-12.38,stop,78.5,17.85,24.09,15.64,62
HPQ,2014-02-14,2014-02-20,2014-05-15,9.25,9.9993,4556.247814,3413.98,8.1,time_stop,72.37,9.25,12.32,8.56,84
AAPL,2014-04-25,2014-04-28,2014-07-22,17.81,20.7659,2330.274698,6888.08,16.6,time_stop,78.58,17.81,23.88,15.93,85
ISRG,2014-10-03,2014-10-06,2014-10-15,53.51,50.17,773.599219,-2583.82,-6.24,stop,73.34,53.51,71.36,50.17,9
EW,2014-07-25,2014-07-30,2014-10-22,14.73,17.5433,2976.532191,8373.98,19.1,time_stop,74.86,14.73,19.43,13.02,84
VRTX,2014-09-19,2014-09-23,2014-12-16,105.53,110.86,438.674729,2338.14,5.05,time_stop,62.97,105.53,145.48,84.41,84
AIV,2014-10-31,2014-11-03,2015-01-29,1.45,1.6675,32319.825458,7028.9,15.0,time_stop,71.08,1.45,1.89,1.28,87
TSCO,2015-01-23,2015-01-28,2015-04-23,13.75,15.3828,3559.648128,5812.21,11.87,time_stop,81.31,13.75,17.91,12.54,85
WMB,2015-05-08,2015-05-13,2015-06-05,28.52,26.11,1835.757904,-4424.18,-8.45,stop,78.4,28.52,37.17,26.11,23
GT,2015-04-24,2015-04-29,2015-07-23,25.23,27.1518,2014.828422,3872.14,7.62,time_stop,82.67,25.23,33.5,22.49,85
VLO,2015-06-19,2015-06-23,2015-08-24,40.07,36.45,1285.429788,-4653.26,-9.03,stop,84.07,40.07,52.28,36.45,62
FSLR,2015-11-27,2015-12-02,2016-02-29,59.85,71.87,820.368001,9860.83,20.08,time_stop,67.3,59.85,80.56,52.16,89
TPR,2016-04-22,2016-04-26,2016-05-11,31.34,29.04,1671.536909,-3844.53,-7.34,stop,83.4,31.34,42.76,29.04,15
HAL,2016-06-03,2016-06-07,2016-08-30,35.67,36.4928,1432.701293,1178.82,2.31,time_stop,81.12,35.67,48.31,31.53,84
DHI,2016-07-01,2016-07-06,2016-09-28,28.71,27.1847,1787.924121,-2727.09,-5.31,time_stop,84.07,28.71,37.55,26.06,84
EOG,2016-08-05,2016-08-08,2016-10-31,66.21,66.0745,768.427861,-104.1,-0.2,time_stop,83.11,66.21,88.55,56.87,84
FFIV,2016-10-28,2016-10-31,2017-01-26,135.92,133.72,371.936907,-818.26,-1.62,time_stop,85.91,135.92,177.89,114.45,87
ADI,2016-11-11,2016-11-14,2017-02-09,55.17,64.3466,929.875969,8533.13,16.63,time_stop,83.37,55.17,72.14,49.79,87
DAL,2017-02-24,2017-03-01,2017-03-14,46.49,41.55,1162.600442,-5743.25,-10.63,stop,83.72,46.49,64.12,41.55,13
GT,2017-02-10,2017-02-13,2017-05-09,31.31,32.8048,1696.751452,2536.23,4.77,time_stop,78.6,31.31,41.2,27.64,85
ILMN,2017-04-07,2017-04-11,2017-07-06,169.57,167.6265,307.084708,-596.83,-1.15,time_stop,74.67,169.57,231.15,153.72,86
BWA,2017-07-07,2017-07-10,2017-10-02,34.67,40.0351,1495.740962,8024.84,15.47,time_stop,76.84,34.67,47.18,30.53,84
