period_end,filing_date,form,source_type,series,accession,source_url,security_name,ticker_guess,cusip,shares,market_value_usd,pct_value
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,Linear Technology Corp.,LLTC,,326943.0,9818098.0,
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,"Microchip Technology, Inc.",MCHP,,267895.0,9812994.0,
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,"Micron Technology, Inc.",MU,,1411142.0,8876083.0,
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,Avago Technologies Ltd.,AVGO,,289603.0,8357943.0,
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,Lam Research Corp.,LRCX,,177571.0,6573678.0,
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,Atmel Corp.,ATML,,647608.0,5245625.0,
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,ON Semiconductor Corp.,ON,,636619.0,4914699.0,
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,"Advanced Micro Devices, Inc.",AMD,,841463.0,4543900.0,
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,"Skyworks Solutions, Inc.",SWKS,,267230.0,4334471.0,
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,"Teradyne, Inc.",TER,,269800.0,3677374.0,
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,"Cree, Inc.",CREE,,165978.0,3658155.0,
2011-12-31,2012-02-27,N-Q,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,"Texas Instruments, Inc.",TXN,,938504.0,,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,Intel Corp.,INTC,,2230560.0,62701042.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,Taiwan Semiconductor Manufacturing Co. Ltd.,TSM,,2645333.0,40420688.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,"Texas Instruments, Inc.",TXN,,671719.0,22576476.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,Broadcom Corp.,BRCM,,426795.0,16773044.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,ASML Holding N.V.,ASML,,328787.0,16485380.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,"Applied Materials, Inc.",AMAT,,1116161.0,13885043.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,ARM Holdings Plc,ARMH,,465157.0,13159292.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,Altera Corp.,ALTR,,330286.0,13151989.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,"Analog Devices, Inc.",ADI,,299036.0,12081054.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,"Xilinx, Inc.",XLNX,,268264.0,9772858.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,KLA-Tencor Corp.,KLAC,,170825.0,9296297.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,NVIDIA Corp.,NVDA,,594353.0,9147093.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,Avago Technologies Ltd.,AVGO,,227863.0,8879821.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,"Maxim Integrated Products, Inc.",MXIM,,295951.0,8461239.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,"Micron Technology, Inc.",MU,,981703.0,7951794.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,Marvell Technology Group Ltd.,MRVL,,490206.0,7710940.0,
2012-03-31,2012-06-06,N-CSRS,SEC shareholder/N-Q report,VanEck/Market Vectors Semiconductor ETF,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,Linear Technology Corp.,LLTC,,213482.0,7194343.0,
