Family,Variant,IS_TotalReturnPct,IS_Sharpe,IS_Trades,OOS_TotalReturnPct,OOS_Sharpe,OOS_Trades,IS_Return_vs_SP500_PctPts,IS_Sharpe_vs_SP500,OOS_Return_vs_SP500_PctPts,OOS_Sharpe_vs_SP500
ATR exits,atr_3.5x_atrtrail_target_60d,256.76,1.077,93,77.26,0.705,68,71.6,0.292,-55.41,-0.042
ATR exits,wider_3.5x_atrtrail_target_60d,256.56,1.076,93,76.87,0.702,68,71.4,0.291,-55.8,-0.045
ATR exits,tighter_3.5x_atrtrail_target_60d,256.06,1.076,94,74.92,0.694,69,70.9,0.291,-57.75,-0.053
ATR exits,wider_3x_no_target_60d,256.01,0.846,67,107.44,0.776,48,70.85,0.061,-25.23,0.029
ATR exits,wider_2.5x_no_target_60d,251.61,0.838,68,112.48,0.802,49,66.45,0.053,-20.19,0.055
ATR exits,wider_3x_target_60d,245.46,0.882,70,113.14,0.829,51,60.3,0.097,-19.53,0.082
ATR exits,wider_2.5x_target_60d,244.36,0.878,71,117.2,0.851,52,59.2,0.093,-15.47,0.104
ATR exits,wider_1.5x_no_target_60d,241.88,0.824,69,119.24,0.837,49,56.72,0.039,-13.43,0.09
ATR exits,wider_3.5x_no_target_60d,239.13,0.81,67,104.16,0.743,48,53.97,0.025,-28.51,-0.004
ATR exits,wider_1.5x_target_60d,235.34,0.865,72,124.13,0.888,52,50.18,0.08,-8.54,0.141
ATR exits,wider_2x_no_target_60d,235.18,0.811,69,117.98,0.832,49,50.02,0.026,-14.69,0.085
ATR exits,wider_2x_target_60d,228.92,0.851,72,122.84,0.883,52,43.76,0.066,-9.83,0.136
ATR exits,wider_3.5x_target_60d,227.29,0.837,70,109.87,0.792,51,42.13,0.052,-22.8,0.045
ATR exits,atr_3x_no_target_60d,197.99,0.768,69,138.65,0.931,47,12.83,-0.017,5.98,0.184
ATR exits,atr_3x_target_60d,197.25,0.817,72,145.23,0.993,50,12.09,0.032,12.56,0.246
ATR exits,tighter_1.5x_no_target_60d,190.93,0.819,79,237.05,1.225,54,5.77,0.034,104.38,0.478
ATR exits,atr_2.5x_target_60d,189.6,0.826,75,146.65,1.011,52,4.44,0.041,13.98,0.264
ATR exits,atr_1.5x_no_target_60d,189.31,0.815,79,237.02,1.225,54,4.15,0.03,104.35,0.478
ATR exits,tighter_1.5x_target_60d,187.85,0.88,83,229.18,1.292,57,2.69,0.095,96.51,0.545
ATR exits,atr_1.5x_target_60d,186.25,0.875,83,229.14,1.292,57,1.09,0.09,96.47,0.545
ATR exits,atr_3.5x_no_target_60d,185.62,0.724,68,137.6,0.904,48,0.46,-0.061,4.93,0.157
ATR exits,tighter_2.5x_atrtrail_no_target_60d,184.0,1.0,111,104.87,1.044,75,-1.16,0.215,-27.8,0.297
ATR exits,atr_3.5x_target_60d,183.03,0.76,71,144.26,0.962,51,-2.13,-0.025,11.59,0.215
ATR exits,tighter_2.5x_target_60d,181.6,0.814,77,148.36,1.031,52,-3.56,0.029,15.69,0.284
ATR exits,atr_2.5x_atrtrail_no_target_60d,180.33,0.988,111,104.87,1.044,75,-4.83,0.203,-27.8,0.297
ATR exits,wider_2.5x_atrtrail_no_target_60d,179.78,0.986,111,102.57,1.026,75,-5.38,0.201,-30.1,0.279
ATR exits,tighter_2x_no_target_60d,178.81,0.762,76,189.61,1.105,49,-6.35,-0.023,56.94,0.358
ATR exits,tighter_3x_target_60d,173.21,0.765,76,159.58,1.065,51,-11.95,-0.02,26.91,0.318
ATR exits,tighter_2x_target_60d,173.14,0.802,80,181.23,1.135,51,-12.02,0.017,48.56,0.388
ATR exits,atr_2x_no_target_60d,171.87,0.744,76,188.23,1.101,49,-13.29,-0.041,55.56,0.354
ATR exits,tighter_3x_no_target_60d,170.97,0.712,73,153.64,1.003,48,-14.19,-0.073,20.97,0.256
ATR exits,atr_2.5x_no_target_60d,166.83,0.726,71,140.18,0.947,49,-18.33,-0.059,7.51,0.2
ATR exits,atr_2x_target_60d,166.35,0.782,80,179.88,1.13,51,-18.81,-0.003,47.21,0.383
ATR exits,tighter_3.5x_target_60d,164.11,0.727,75,157.26,1.053,52,-21.05,-0.058,24.59,0.306
ATR exits,tighter_3.5x_no_target_60d,162.25,0.681,72,151.56,0.992,49,-22.91,-0.104,18.89,0.245
ATR exits,tighter_2.5x_atrtrail_target_60d,161.74,0.975,112,103.61,1.045,76,-23.42,0.19,-29.06,0.298
ATR exits,tighter_2.5x_no_target_60d,159.1,0.712,73,141.86,0.965,49,-26.06,-0.073,9.19,0.218
ATR exits,atr_2.5x_atrtrail_target_60d,158.36,0.962,112,103.61,1.045,76,-26.8,0.177,-29.06,0.298
ATR exits,wider_2.5x_atrtrail_target_60d,157.85,0.96,112,101.33,1.027,76,-27.31,0.175,-31.34,0.28
ATR exits,tighter_1.5x_atrtrail_target_60d,116.74,1.218,132,99.07,1.314,96,-68.42,0.433,-33.6,0.567
ATR exits,tighter_1.5x_atrtrail_no_target_60d,116.74,1.218,132,99.07,1.314,96,-68.42,0.433,-33.6,0.567
ATR exits,atr_1.5x_atrtrail_target_60d,116.31,1.214,132,99.07,1.314,96,-68.85,0.429,-33.6,0.567
ATR exits,atr_1.5x_atrtrail_no_target_60d,116.31,1.214,132,99.07,1.314,96,-68.85,0.429,-33.6,0.567
ATR exits,wider_1.5x_atrtrail_target_60d,115.75,1.21,132,98.06,1.303,96,-69.41,0.425,-34.61,0.556
ATR exits,wider_1.5x_atrtrail_no_target_60d,115.75,1.21,132,98.06,1.303,96,-69.41,0.425,-34.61,0.556
ATR exits,tighter_2x_atrtrail_target_60d,97.06,0.878,122,72.63,0.926,82,-88.1,0.093,-60.04,0.179
ATR exits,tighter_2x_atrtrail_no_target_60d,97.0,0.876,121,72.63,0.926,82,-88.16,0.091,-60.04,0.179
ATR exits,handle_2x_atrtrail_target_60d,96.82,0.875,122,71.23,0.911,82,-88.34,0.09,-61.44,0.164
ATR exits,atr_2x_atrtrail_target_60d,95.97,0.871,122,72.63,0.926,82,-89.19,0.086,-60.04,0.179
ATR exits,atr_2x_atrtrail_no_target_60d,95.91,0.869,121,72.63,0.926,82,-89.25,0.084,-60.04,0.179
ATR exits,wider_2x_atrtrail_target_60d,95.73,0.868,122,71.23,0.911,82,-89.43,0.083,-61.44,0.164
ATR exits,wider_2x_atrtrail_no_target_60d,95.67,0.866,121,71.23,0.911,82,-89.49,0.081,-61.44,0.164
Entry window 3-10 days,3 trading days,185.62,0.724,68,137.6,0.904,48,0.46,-0.061,4.93,0.157
Entry window 3-10 days,4 trading days,210.27,0.753,77,105.21,0.77,47,25.11,-0.032,-27.46,0.023
Entry window 3-10 days,5 trading days,355.54,0.922,75,129.44,0.87,49,170.38,0.137,-3.23,0.123
Entry window 3-10 days,6 trading days,285.32,0.84,78,162.13,0.972,47,100.16,0.055,29.46,0.225
Entry window 3-10 days,7 trading days,391.64,0.977,75,263.74,1.212,48,206.48,0.192,131.07,0.465
Entry window 3-10 days,8 trading days,343.13,0.935,76,234.44,1.173,51,157.97,0.15,101.77,0.426
Entry window 3-10 days,9 trading days,462.02,1.027,79,233.81,1.127,49,276.86,0.242,101.14,0.38
Entry window 3-10 days,10 trading days,388.49,0.934,79,221.91,1.069,48,203.33,0.149,89.24,0.322
