Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
AMZN,2012-07-25,2012-07-27,2012-10-19,11.52,12.0,3469.118971,1665.18,4.17,time_stop,69.37,11.52,15.51,10.63,84
AKAM,2012-08-15,2012-08-16,2012-11-12,37.38,36.57,1225.045803,-992.29,-2.17,time_stop,76.49,37.38,50.39,34.28,88
GME,2012-11-19,2012-11-21,2013-02-19,4.54,4.4545,10984.870055,-939.7,-1.88,time_stop,83.57,4.54,6.26,3.71,90
VMC,2012-11-27,2012-11-29,2013-02-26,45.16,45.8508,1107.444751,765.06,1.53,time_stop,88.66,45.16,59.61,40.04,89
BAC,2012-12-04,2012-12-05,2013-03-04,7.78,8.9193,6392.084207,7282.5,14.64,time_stop,88.19,7.78,10.3,6.96,89
STX,2013-03-25,2013-03-26,2013-04-17,20.27,19.22,2577.23713,-2706.1,-5.18,stop,79.57,20.27,26.69,19.22,22
PBI,2013-04-23,2013-04-26,2013-04-30,8.49,7.81,6102.352577,-4149.6,-8.01,stop,81.2,8.49,11.38,7.81,4
WDC,2013-04-09,2013-04-11,2013-07-05,31.93,39.8571,1645.004877,13040.18,24.83,time_stop,80.79,31.93,42.95,28.74,85
STX,2013-04-30,2013-05-02,2013-07-26,21.37,23.3694,2412.855683,4824.26,9.36,time_stop,83.76,21.37,28.46,18.73,85
TRIP,2013-05-02,2013-05-07,2013-07-31,48.73,66.7134,939.428678,16894.17,36.9,time_stop,70.24,48.73,70.85,42.85,85
GT,2013-07-25,2013-07-30,2013-10-22,15.71,19.6305,3886.32999,15236.46,24.96,time_stop,68.18,15.71,20.89,14.69,84
NFX,2013-10-18,2013-10-22,2013-12-06,30.44,26.95,2188.580397,-7638.15,-11.47,stop,73.62,30.44,40.9,26.95,45
XYL,2014-01-14,2014-01-15,2014-01-24,30.33,28.93,2202.555775,-3083.58,-4.62,stop,63.26,30.33,39.59,28.93,9
CTSH,2013-11-01,2013-11-05,2014-01-31,39.42,42.4413,1696.677229,5126.17,7.66,time_stop,77.43,39.42,51.67,36.69,87
FSLR,2014-02-13,2014-02-18,2014-03-24,53.65,74.81,1239.469115,26227.17,39.44,target,82.24,53.65,74.81,47.04,34
EXPE,2014-02-06,2014-02-07,2014-05-05,67.21,66.9491,963.475713,-251.39,-0.39,time_stop,75.37,67.21,89.85,58.43,87
EA,2014-05-05,2014-05-07,2014-07-31,28.87,32.6074,2542.909432,9503.77,12.95,time_stop,81.35,28.87,37.88,25.85,85
NFX,2014-06-10,2014-06-12,2014-09-05,38.92,41.96,2002.121123,6086.45,7.81,time_stop,74.73,38.92,50.75,32.72,85
VRTX,2014-09-18,2014-09-19,2014-12-12,97.42,118.55,806.92398,17050.31,21.69,time_stop,77.2,97.42,130.36,88.38,84
GT,2015-01-06,2015-01-08,2015-01-13,26.0,23.5,3242.07575,-8105.19,-9.62,stop,74.29,26.0,34.77,23.5,5
LUV,2015-01-21,2015-01-22,2015-04-17,37.98,36.7964,2148.294885,-2542.82,-3.12,time_stop,63.67,37.98,50.8,33.64,85
GT,2015-02-11,2015-02-17,2015-05-12,23.8,26.7807,3412.295105,10171.18,12.52,time_stop,83.96,23.8,32.07,21.44,84
NFLX,2015-04-10,2015-04-13,2015-05-27,6.5,8.98,12611.054762,31275.42,38.15,target,78.75,6.5,8.98,5.85,44
EQT,2015-05-08,2015-05-12,2015-05-29,45.63,42.51,2013.15361,-6281.04,-6.84,stop,80.95,45.63,60.05,42.51,17
WMB,2015-05-08,2015-05-13,2015-06-05,28.52,26.11,2755.015011,-6639.59,-8.45,stop,80.64,28.52,37.17,26.11,23
THC,2015-06-22,2015-06-25,2015-08-20,53.89,50.65,1674.768811,-5426.25,-6.01,stop,72.75,53.89,70.81,50.65,56
GME,2015-07-07,2015-07-08,2015-08-24,8.72,8.09,10644.64117,-6706.12,-7.22,stop,76.97,8.72,11.44,8.09,47
FSLR,2016-01-04,2016-01-05,2016-01-12,67.8,63.29,1238.247693,-5584.5,-6.65,stop,79.97,67.8,94.2,63.29,7
LUV,2015-10-21,2015-10-22,2016-01-14,37.07,35.45,2325.577725,-3767.44,-4.37,stop,68.17,37.07,50.35,35.45,84
RCL,2015-10-21,2015-10-23,2016-01-15,86.08,75.06,1027.708398,-11325.35,-12.8,stop,68.18,86.08,114.49,75.06,84
MAT,2016-01-26,2016-01-29,2016-04-25,25.29,29.7088,3136.288641,13858.7,17.47,time_stop,74.57,25.29,33.06,21.81,87
PNR,2016-04-21,2016-04-25,2016-07-19,32.56,35.8091,2577.896348,8375.72,9.98,time_stop,84.36,32.56,42.56,28.69,85
AES,2016-06-17,2016-06-21,2016-09-14,7.98,8.5328,10805.278442,5973.65,6.93,time_stop,87.91,7.98,10.54,7.2,85
NAVI,2016-08-26,2016-08-31,2016-09-21,9.29,8.43,9127.596656,-7849.73,-9.26,stop,69.39,9.29,13.4,8.43,21
QRVO,2016-07-21,2016-07-26,2016-10-18,61.42,53.59,1451.695513,-11366.78,-12.75,time_stop,86.08,61.42,84.62,50.25,84
KSS,2016-10-04,2016-10-07,2016-12-08,27.42,36.72,3055.791931,28418.86,33.92,target,76.35,27.42,36.72,25.24,62
AAL,2016-10-18,2016-10-19,2017-01-13,38.55,46.0458,2117.104321,15869.35,19.44,time_stop,75.94,38.55,55.14,35.47,86
ALK,2016-11-30,2016-12-02,2017-03-01,78.42,94.4714,1039.755008,16689.56,20.47,time_stop,85.41,78.42,102.85,64.7,89
FCX,2017-01-23,2017-01-24,2017-03-03,14.39,11.85,6958.679668,-17675.05,-17.65,stop,87.24,14.39,18.79,11.85,38
CF,2017-01-23,2017-01-24,2017-04-17,27.53,21.65,3719.555148,-21870.98,-21.36,stop,83.75,27.53,36.4,21.65,83
QRVO,2017-05-15,2017-05-16,2017-06-27,72.42,65.39,1235.229269,-8683.66,-9.71,stop,83.56,72.42,95.31,65.39,42
VRTX,2017-04-19,2017-04-21,2017-07-17,117.65,129.21,760.372624,8789.91,9.83,time_stop,68.84,117.65,163.84,111.32,87
CNC,2017-04-19,2017-04-24,2017-07-18,36.17,42.22,2473.33079,14963.65,16.73,time_stop,80.71,36.17,47.66,32.51,85
AMD,2017-07-21,2017-07-26,2017-08-02,14.49,13.15,6520.437605,-8737.39,-9.25,stop,84.95,14.49,19.32,13.15,7
FCX,2017-08-18,2017-08-22,2017-09-14,13.79,12.48,6640.22326,-8698.69,-9.5,stop,74.3,13.79,18.75,12.48,23
CPRI,2017-09-14,2017-09-19,2017-12-05,46.26,60.14,1916.755612,26604.57,30.0,target,72.8,46.26,60.14,41.47,77
CF,2017-10-30,2017-11-02,2018-01-30,30.57,34.0074,2935.430447,10090.21,11.24,time_stop,90.99,30.57,40.19,26.76,89
SYF,2017-11-14,2017-11-17,2018-02-14,27.59,29.9551,3175.140285,7509.42,8.57,time_stop,70.14,27.59,36.64,25.65,89
HP,2018-01-04,2018-01-09,2018-04-05,44.56,45.3745,2379.137017,1937.92,1.83,time_stop,86.61,44.56,58.94,35.95,86
UA,2018-05-01,2018-05-02,2018-07-26,16.18,20.55,6430.767578,28102.45,27.01,time_stop,78.4,16.18,22.9,13.9,85
UAA,2018-05-15,2018-05-16,2018-08-09,19.43,20.72,5590.101042,7211.23,6.64,time_stop,75.54,19.43,27.48,15.91,85
ESRX,2018-11-27,2018-11-28,2018-12-20,100.43,92.95,1153.251466,-8626.32,-7.45,stop,65.02,100.43,133.81,92.95,22
APTV,2019-03-01,2019-03-04,2019-03-07,83.95,81.17,1352.229208,-3759.2,-3.31,stop,54.81,83.95,123.4,81.17,3
NCLH,2019-02-19,2019-02-22,2019-05-17,53.78,56.92,2100.141398,6594.44,5.84,time_stop,67.92,53.78,72.33,50.66,84
SYF,2019-03-12,2019-03-15,2019-06-10,27.85,28.084,4054.995388,948.82,0.84,time_stop,78.6,27.85,37.67,26.04,87
KMX,2019-06-19,2019-06-21,2019-09-16,84.99,84.26,1343.769374,-980.95,-0.86,time_stop,83.72,84.99,110.66,75.1,87
APTV,2019-06-25,2019-06-28,2019-09-23,78.47,87.5648,1465.925047,13332.36,11.59,time_stop,59.34,78.47,112.1,73.68,87
NWL,2019-09-27,2019-09-30,2019-10-03,13.58,12.74,8713.114517,-7319.02,-6.19,stop,72.99,13.58,19.33,12.74,3
COTY,2019-11-04,2019-11-06,2019-12-02,11.72,11.2,9520.404794,-4950.61,-4.44,stop,62.58,11.72,16.76,11.2,26
NVDA,2019-10-11,2019-10-15,2020-01-09,4.71,6.0482,24603.911481,32923.84,28.41,time_stop,81.9,4.71,6.22,4.21,86
BWA,2019-12-09,2019-12-12,2020-01-13,34.99,32.93,3047.40022,-6277.64,-5.89,stop,85.1,34.99,45.66,32.93,32
NWL,2019-11-01,2019-11-04,2020-01-30,15.08,14.6788,7970.139388,-3197.24,-2.66,time_stop,89.73,15.08,20.83,12.73,87
RL,2020-01-30,2020-02-04,2020-02-24,109.0,99.3,1119.729708,-10861.38,-8.9,stop,75.31,109.0,153.17,99.3,20
NOW,2020-02-11,2020-02-13,2020-02-24,71.2,66.82,1718.146424,-7525.48,-6.15,stop,67.55,71.2,99.6,66.82,11
FTNT,2020-04-03,2020-04-07,2020-07-01,20.8,27.844,5573.153124,39257.29,33.87,time_stop,60.95,20.8,31.01,19.2,85
NFLX,2020-04-13,2020-04-14,2020-07-08,40.05,50.278,2944.053545,30111.78,25.54,time_stop,82.49,40.05,52.83,33.92,85
ABBV,2020-05-08,2020-05-11,2020-08-04,69.56,75.3111,1637.921585,9419.87,8.27,time_stop,75.13,69.56,92.35,63.14,85
KEYS,2020-08-14,2020-08-19,2020-09-08,103.76,93.1,1333.53241,-14215.46,-10.27,stop,79.47,103.76,135.63,93.1,20
CAG,2020-06-30,2020-07-01,2020-09-24,26.96,26.2398,5270.630871,-3795.85,-2.67,time_stop,90.51,26.96,36.37,23.9,85
JBHT,2020-07-15,2020-07-17,2020-10-09,124.23,128.3621,1175.965246,4859.2,3.33,time_stop,87.92,124.23,166.7,104.48,84
PAYC,2020-12-15,2020-12-18,2021-02-23,431.7,363.26,319.204373,-21846.35,-15.85,stop,71.94,431.7,589.73,363.26,67
MTB,2021-01-05,2021-01-07,2021-04-05,110.13,130.7391,1240.789292,25571.5,18.71,time_stop,86.74,110.13,145.97,101.59,88
MPC,2021-01-07,2021-01-12,2021-04-08,38.94,46.9439,3568.385482,28560.87,20.55,time_stop,83.93,38.94,53.46,33.31,86
INTC,2021-04-09,2021-04-12,2021-04-23,62.21,55.46,2388.081253,-16119.55,-10.85,stop,83.66,62.21,83.27,55.46,11
APA,2021-05-28,2021-06-01,2021-07-07,19.37,17.13,7428.413627,-16639.65,-11.56,stop,75.87,19.37,25.89,17.13,36
HII,2021-05-03,2021-05-06,2021-07-14,192.79,180.95,742.721884,-8793.83,-6.14,stop,61.83,192.79,258.76,180.95,69
SBAC,2021-07-27,2021-07-30,2021-10-13,315.41,302.8,432.63705,-5455.55,-4.0,stop,71.91,315.41,413.51,302.8,75
ALB,2021-07-27,2021-07-29,2021-10-21,187.36,221.5818,718.998331,24605.45,18.27,time_stop,75.18,187.36,243.66,160.83,84
