segment_id,entry_date,exit_date,symbol,entry_price,exit_price,calendar_days,trading_days,symbol_return_%,strategy_segment_return_%,segment_max_drawdown_%,start_equity,end_equity,avg_exposure,max_exposure,days_above_1x_%
25,2017-04-04,2017-08-01,TQQQ,3.5116,4.3945,119,83,25.14,50.02,-13.05,6103.710104,9156.779007,1.071,1.5,44.58
26,2017-08-02,2017-09-01,SOXL,5.8929,6.4427,30,23,9.33,29.48,-3.16,9010.335026,11666.472814,0.683,1.5,26.09
27,2017-09-05,2017-11-01,TQQQ,4.46,5.1542,57,42,15.57,19.64,-5.05,11432.160318,13677.532436,0.929,1.5,23.81
28,2017-11-02,2017-12-04,SOXL,9.4403,8.2949,32,22,-12.13,-12.32,-27.04,13813.29914,12111.202589,1.216,2.0,59.09
29,2017-12-05,2017-12-05,TQQQ,5.1943,5.1943,0,1,0.0,0.0,0.0,12124.417548,12124.417548,0.75,0.75,0.0
30,2017-12-06,2018-01-02,SOXL,8.3897,9.4958,27,18,13.19,15.04,-6.75,12216.272497,14054.17022,0.917,1.5,22.22
31,2018-01-03,2018-02-08,TQQQ,5.9616,5.1633,36,26,-13.39,2.28,-14.66,14362.787966,14689.559005,0.833,2.0,11.54
32,2018-02-09,2018-02-09,SOXL,8.4888,8.4888,0,1,0.0,0.0,0.0,14957.165974,14957.165974,0.2,0.2,0.0
33,2018-02-12,2018-04-02,TQQQ,5.709,5.2082,49,34,-8.77,8.62,-17.33,15124.61476,16427.822161,0.847,1.5,32.35
34,2018-04-03,2018-04-25,SOXL,9.0881,7.7305,22,17,-14.94,-2.79,-5.19,16616.02766,16151.739772,0.2,0.2,0.0
35,2018-04-26,2018-04-26,TQQQ,5.8019,5.8019,0,1,0.0,0.0,0.0,16352.050509,16352.050509,0.2,0.2,0.0
36,2018-04-27,2018-05-01,SOXL,8.0212,8.1389,4,3,1.47,0.32,-0.66,16279.763786,16331.806069,0.2,0.2,0.0
37,2018-05-02,2018-11-20,TQQQ,5.7741,5.0517,202,142,-12.51,42.46,-12.35,16274.854553,23185.564312,0.871,1.5,35.21
38,2018-11-21,2018-11-21,SOXL,5.9184,5.9184,0,1,0.0,0.0,0.0,23240.804186,23240.804186,0.2,0.2,0.0
39,2018-11-23,2018-12-03,TQQQ,5.0505,6.3492,10,7,25.71,4.82,-0.18,23137.868663,24252.402835,0.2,0.2,0.0
40,2018-12-04,2018-12-04,SOXL,6.3077,6.3077,0,1,0.0,0.0,0.0,23544.964183,23544.964183,0.2,0.2,0.0
41,2018-12-06,2018-12-06,TQQQ,5.7332,5.7332,0,1,0.0,0.0,0.0,23613.469665,23613.469665,0.2,0.2,0.0
