date,same_close_equity,next_day_equity,same_exposure,next_exposure,allocation
2023-10-03,46479092.17465169,414.897525696497,0.2,0.2,TQQQ
2023-10-04,46855876.353354186,418.2609051462899,0.2,0.2,TQQQ
2023-10-05,46756794.71751528,417.3764488536185,0.2,0.2,TQQQ
2023-10-06,47227516.837645344,421.5783691966127,0.2,0.2,TQQQ
2023-10-09,47366607.46521505,422.8199673975715,0.2,0.2,TQQQ
2023-10-10,47521579.21022833,424.20332904579976,0.2,0.2,TQQQ
2023-10-11,47723905.19734946,426.00940028155503,0.2,0.2,TQQQ
2023-10-12,47612299.566475935,425.0131480327111,0.2,0.2,TQQQ
2023-10-13,47252266.01305067,421.79929372758494,0.2,0.2,TQQQ
2023-10-16,47570565.69200143,424.6406088877525,0.2,0.2,TQQQ
2023-10-17,47479533.31707403,423.82800465327796,0.2,0.2,TQQQ
2023-10-18,47077878.82304379,420.2426193120189,0.2,0.2,TQQQ
2023-10-19,46826317.00799041,417.9970424355779,0.2,0.2,TQQQ
2023-10-20,46403963.624730326,414.22688760928116,0.2,0.2,TQQQ
2023-10-23,46485635.7313769,414.95593702441937,0.2,0.2,TQQQ
2023-10-24,46747868.32693312,417.29676706138343,0.2,0.2,TQQQ
2023-10-25,46063044.22187944,411.18365655448224,0.2,0.2,TQQQ
2023-10-26,45526087.22775381,406.3904878877833,0.2,0.2,TQQQ
2023-10-27,45655909.41902332,407.54935101135334,0.2,0.2,TQQQ
2023-10-30,45950557.579525076,410.1795399204619,0.2,0.2,TQQQ
2023-10-31,46084243.02916344,411.37288857856737,0.2,0.2,TQQQ
2023-11-01,46559425.16169284,415.61462140546524,0.2,0.2,TQQQ
2023-11-02,47053787.5291323,420.02756738722763,0.2,0.2,TQQQ
2023-11-03,47385628.65146,422.9897607979931,0.2,0.2,TQQQ
2023-11-06,47494068.75722816,423.95775585694156,0.2,0.2,TQQQ
2023-11-07,50168038.12662603,426.3446855994215,2.0,0.2,TQQQ
2023-11-08,50347759.568626754,427.87201823084456,2.0,2.0,TQQQ
2023-11-09,50108557.70916475,407.5438480700507,0.2,2.0,TQQQ
2023-11-10,56794961.2776706,412.9820461835833,2.0,0.2,TQQQ
2023-11-13,55764076.83177925,405.4860155804174,2.0,2.0,TQQQ
2023-11-14,62775997.85978547,456.47288886423127,2.0,2.0,TQQQ
2023-11-15,63039163.89607642,459.0243557715886,1.5,2.0,TQQQ
2023-11-16,63192873.38431475,460.51668518405563,1.5,2.0,TQQQ
2023-11-17,63258812.19012398,461.15738866109893,1.5,2.0,TQQQ
2023-11-20,66644522.43502721,494.06653846956283,1.5,2.0,TQQQ
2023-11-21,64833061.43866772,487.3519411452554,1.5,0.75,TQQQ
2023-11-22,65963097.13471073,491.59919615534756,1.5,0.75,TQQQ
2023-11-24,65472809.172411405,489.77222639027747,1.5,0.75,TQQQ
2023-11-27,65183824.44424632,488.6913449106583,1.5,0.75,TQQQ
2023-11-28,65960728.25086173,491.603617774042,1.5,0.75,TQQQ
2023-11-29,65604183.09635072,490.27495682300764,1.5,0.75,TQQQ
2023-11-30,65192665.34161037,487.19959119973765,0.75,0.75,TQQQ
2023-12-01,65605050.80100968,490.2814413769511,0.75,0.75,TQQQ
2023-12-04,64203670.598138325,479.8086089137177,0.75,0.75,TQQQ
2023-12-05,64898303.24233707,484.99975639195424,1.5,1.5,TQQQ
2023-12-06,63166767.46351936,472.05959634224286,1.5,1.5,TQQQ
2023-12-07,67133260.64586557,501.70210055355926,1.5,1.5,TQQQ
2023-12-08,68338023.11643973,510.7055640579403,1.5,1.5,TQQQ
2023-12-11,70944712.96759777,530.1859492088464,1.5,1.5,TQQQ
2023-12-12,73514279.12126173,549.3889005388133,1.5,1.5,TQQQ
2023-12-13,77402356.05789502,578.4453823401766,1.5,1.5,TQQQ
2023-12-14,77307078.8900668,577.7333544306972,0.75,0.75,TQQQ
2023-12-15,77998166.66711225,582.8980103117748,0.75,0.75,TQQQ
2023-12-18,79221840.31954178,592.0428013722661,0.75,0.75,TQQQ
2023-12-19,80108301.76659429,598.6675290522165,0.75,0.75,TQQQ
2023-12-20,77438783.99577634,578.7176165915456,0.75,0.75,TQQQ
2023-12-21,79365172.8460859,593.1139578892148,0.75,0.75,TQQQ
2023-12-22,79602559.0208092,594.8879986754846,0.75,0.75,TQQQ
