Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
CCL,2023-06-08,2023-06-12,2023-06-26,13.04,14.3341,2670.281922,3455.64,9.92,atr_stop,78.45,13.04,17.24,14.3341,14
META,2023-04-25,2023-04-27,2023-07-21,220.38,292.5811,165.603444,11956.75,32.76,atr_stop,55.99,220.38,339.24,292.5811,85
NOW,2023-05-15,2023-05-17,2023-07-26,97.12,114.7013,387.273053,6808.76,18.1,atr_stop,74.48,97.12,131.97,114.7013,70
EQT,2023-08-07,2023-08-09,2023-09-07,41.12,40.2513,1063.14255,-923.53,-2.11,atr_stop,85.34,41.12,56.58,40.2513,29
WDC,2023-09-19,2023-09-20,2023-10-17,34.87,32.9218,1244.868912,-2425.23,-5.59,atr_stop,86.1,34.87,45.65,32.9218,27
STLD,2023-11-29,2023-11-30,2023-12-07,112.51,109.4754,378.634501,-1149.0,-2.7,atr_stop,73.07,112.51,148.3,109.4754,7
AMD,2023-12-06,2023-12-07,2024-01-02,125.73,137.7471,335.77641,4035.07,9.56,atr_stop,72.45,125.73,164.1,137.7471,26
CFG,2023-12-12,2023-12-13,2024-01-11,27.32,29.3646,1596.330883,3263.9,7.48,atr_stop,68.47,27.32,35.53,29.3646,29
LW,2024-01-02,2024-01-04,2024-01-25,102.3,98.9166,436.45011,-1476.66,-3.31,atr_stop,72.66,102.3,135.87,98.9166,21
CFG,2024-01-26,2024-01-31,2024-02-01,31.14,28.495,1470.623163,-3889.86,-8.49,atr_stop,87.35,31.14,41.42,28.495,1
AMD,2024-01-12,2024-01-16,2024-02-20,151.05,164.0207,295.18039,3828.7,8.59,atr_stop,82.38,151.05,200.06,164.0207,35
CFG,2024-03-04,2024-03-05,2024-04-10,29.99,30.9863,1471.742254,1466.34,3.32,atr_stop,87.09,29.99,39.67,30.9863,36
HCA,2024-03-01,2024-03-06,2024-04-12,313.02,316.9271,142.380136,556.3,1.25,atr_stop,78.25,313.02,410.72,316.9271,37
MRNA,2024-04-29,2024-05-02,2024-05-22,115.89,143.8738,386.674968,10820.63,24.15,atr_stop,71.99,115.89,171.41,143.8738,20
JCI,2024-05-15,2024-05-20,2024-06-06,66.55,68.0293,722.006308,1068.03,2.22,atr_stop,86.47,66.55,87.26,68.0293,17
PODD,2024-06-21,2024-06-24,2024-07-08,204.74,193.74,238.227264,-2620.5,-5.37,atr_stop,72.26,204.74,267.92,193.74,14
NEM,2024-07-08,2024-07-11,2024-07-25,43.27,44.0572,1107.02912,871.44,1.82,atr_stop,81.81,43.27,56.37,44.0572,14
GILD,2024-09-10,2024-09-12,2024-11-13,77.51,89.1367,621.747259,7228.88,15.0,atr_stop,74.2,77.51,100.9,89.1367,62
HPE,2024-11-22,2024-11-25,2024-11-27,21.54,20.078,2494.723001,-3647.2,-6.79,atr_stop,85.68,21.54,28.27,20.078,2
HPE,2024-12-02,2024-12-05,2024-12-11,21.75,20.8857,2380.382259,-2057.39,-3.97,atr_stop,85.89,21.75,28.48,20.8857,6
DAL,2024-11-05,2024-11-06,2024-12-12,58.17,61.2182,791.253916,2411.87,5.24,atr_stop,81.26,58.17,75.81,61.2182,36
EXPE,2024-11-05,2024-11-06,2024-12-16,164.57,178.6829,305.985416,4318.35,8.58,atr_stop,81.76,164.57,221.27,178.6829,40
LW,2024-12-13,2024-12-18,2024-12-19,77.61,68.9611,656.399124,-5677.11,-11.14,atr_stop,69.56,77.61,112.22,68.9611,1
HPE,2024-12-31,2025-01-06,2025-01-13,21.33,20.5152,2299.61398,-1873.64,-3.82,atr_stop,72.82,21.33,28.06,20.5152,7
CEG,2025-01-07,2025-01-10,2025-01-27,265.56,288.79,184.801316,4292.93,8.75,atr_stop,65.5,265.56,376.68,288.79,17
CVS,2025-02-11,2025-02-12,2025-04-04,55.82,61.6533,893.177992,5210.2,10.45,atr_stop,74.83,55.82,74.46,61.6533,51
LUV,2025-07-08,2025-07-10,2025-07-24,33.99,34.5856,1517.914981,904.0,1.75,atr_stop,82.81,33.99,45.19,34.5856,14
META,2025-07-28,2025-07-31,2025-08-20,746.15,737.3555,69.550712,-611.66,-1.18,atr_stop,82.69,746.15,1013.99,737.3555,20
