Variant,StopMode_IS,AtrMult_IS,UseTarget_IS,TrailMode_IS,TimeStopDays_IS,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,StopMode_OOS,AtrMult_OOS,UseTarget_OOS,TrailMode_OOS,TimeStopDays_OOS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
wider_2.5x_atrtrail_target_60d,wider,2.5,True,atr_trail,60,157.85,9.95,-15.91,0.96,112,48.21,wider,2.5,True,atr_trail,60,101.33,11.55,-10.68,1.027,76,51.32,False
tighter_1.5x_atrtrail_target_60d,tighter,1.5,True,atr_trail,60,116.74,8.05,-7.7,1.218,132,59.09,tighter,1.5,True,atr_trail,60,99.07,11.35,-5.02,1.314,96,65.62,False
tighter_1.5x_atrtrail_no_target_60d,tighter,1.5,False,atr_trail,60,116.74,8.05,-7.7,1.218,132,59.09,tighter,1.5,False,atr_trail,60,99.07,11.35,-5.02,1.314,96,65.62,False
atr_1.5x_atrtrail_target_60d,atr,1.5,True,atr_trail,60,116.31,8.03,-7.7,1.214,132,59.09,atr,1.5,True,atr_trail,60,99.07,11.35,-5.02,1.314,96,65.62,False
atr_1.5x_atrtrail_no_target_60d,atr,1.5,False,atr_trail,60,116.31,8.03,-7.7,1.214,132,59.09,atr,1.5,False,atr_trail,60,99.07,11.35,-5.02,1.314,96,65.62,False
wider_1.5x_atrtrail_target_60d,wider,1.5,True,atr_trail,60,115.75,8.0,-7.73,1.21,132,59.09,wider,1.5,True,atr_trail,60,98.06,11.26,-5.02,1.303,96,65.62,False
wider_1.5x_atrtrail_no_target_60d,wider,1.5,False,atr_trail,60,115.75,8.0,-7.73,1.21,132,59.09,wider,1.5,False,atr_trail,60,98.06,11.26,-5.02,1.303,96,65.62,False
tighter_2x_atrtrail_target_60d,tighter,2.0,True,atr_trail,60,97.06,7.03,-11.34,0.878,122,51.64,tighter,2.0,True,atr_trail,60,72.63,8.9,-6.63,0.926,82,58.54,False
tighter_2x_atrtrail_no_target_60d,tighter,2.0,False,atr_trail,60,97.0,7.02,-11.34,0.876,121,51.24,tighter,2.0,False,atr_trail,60,72.63,8.9,-6.63,0.926,82,58.54,False
handle_2x_atrtrail_target_60d,handle,2.0,True,atr_trail,60,96.82,7.01,-11.18,0.875,122,51.64,handle,2.0,True,atr_trail,60,71.23,8.76,-6.63,0.911,82,58.54,False
atr_2x_atrtrail_target_60d,atr,2.0,True,atr_trail,60,95.97,6.97,-11.34,0.871,122,51.64,atr,2.0,True,atr_trail,60,72.63,8.9,-6.63,0.926,82,58.54,False
atr_2x_atrtrail_no_target_60d,atr,2.0,False,atr_trail,60,95.91,6.97,-11.34,0.869,121,51.24,atr,2.0,False,atr_trail,60,72.63,8.9,-6.63,0.926,82,58.54,False
wider_2x_atrtrail_target_60d,wider,2.0,True,atr_trail,60,95.73,6.96,-11.18,0.868,122,51.64,wider,2.0,True,atr_trail,60,71.23,8.76,-6.63,0.911,82,58.54,False
wider_2x_atrtrail_no_target_60d,wider,2.0,False,atr_trail,60,95.67,6.95,-11.18,0.866,121,51.24,wider,2.0,False,atr_trail,60,71.23,8.76,-6.63,0.911,82,58.54,False
