rank_drawdown,variant,mode,sma_window,exit_buffer_pct,reentry_buffer_pct,unit_exposure,max_exposure,dca,add1_drop,add2_drop,sell_profit,max_extra_days,net_return_pct,cagr_pct,max_drawdown_pct,calmar,sharpe,return_2022_pct,drawdown_2022_pct,cash_days_pct,avg_exposure,days_above_1x_pct,trade_events,dca_events,base_rotation_return_pct,base_rotation_max_drawdown_pct,soxl_only_return_pct,soxl_only_max_drawdown_pct
189,selected_and_qqq_cash; SMA200; exit below SMA-3%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,selected_and_qqq_cash,200,3.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,4467.29,27.17,-32.35,0.84,1.01,-16.98,-16.98,20.88,0.396,0.0,106,0,775116.8,-79.24,41069.8,-66.18
190,selected_sma_cash; SMA150; exit below SMA-0%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,selected_sma_cash,150,0.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,5039.01,28.11,-32.39,0.868,1.04,-11.3,-11.3,21.73,0.391,0.0,141,0,775116.8,-79.24,41069.8,-66.18
191,qqq_sma_cash; SMA100; exit below SMA-3%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,100,3.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,1560.13,19.33,-32.39,0.597,0.83,-11.3,-11.3,37.2,0.314,0.0,86,0,775116.8,-79.24,41069.8,-66.18
192,selected_or_qqq_cash; SMA250; exit below SMA-1%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,selected_or_qqq_cash,250,1.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,6880.46,30.6,-32.4,0.945,1.08,-26.89,-26.89,18.9,0.406,0.0,93,0,775116.8,-79.24,41069.8,-66.18
193,selected_sma_cash; SMA150; exit below SMA-0%; reenter above SMA+2%; unit=0.50; cap=1.00; dca=False,selected_sma_cash,150,0.0,2.0,0.5,1.0,False,0.1,0.2,0.2,20,5209.32,28.38,-32.4,0.876,1.05,-11.3,-11.3,21.32,0.393,0.0,145,0,775116.8,-79.24,41069.8,-66.18
194,selected_sma_cash; SMA100; exit below SMA-1%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,selected_sma_cash,100,1.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,3808.37,25.93,-32.4,0.8,1.0,-17.73,-17.73,25.15,0.374,0.0,141,0,775116.8,-79.24,41069.8,-66.18
195,selected_and_qqq_cash; SMA100; exit below SMA-2%; reenter above SMA+2%; unit=0.50; cap=1.00; dca=False,selected_and_qqq_cash,100,2.0,2.0,0.5,1.0,False,0.1,0.2,0.2,20,2157.23,21.65,-32.41,0.668,0.89,-22.74,-22.74,27.02,0.365,0.0,138,0,775116.8,-79.24,41069.8,-66.18
196,selected_sma_else_other; SMA100; exit below SMA-2%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,selected_sma_else_other,100,2.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,2167.27,21.69,-32.49,0.668,0.88,-22.45,-22.45,27.82,0.361,0.0,129,0,775116.8,-79.24,41069.8,-66.18
197,qqq_sma_cash; SMA220; exit below SMA-0%; reenter above SMA+2%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,220,0.0,2.0,0.5,1.0,False,0.1,0.2,0.2,20,8056.53,31.89,-32.5,0.981,1.12,-19.04,-19.04,16.98,0.415,0.0,106,0,775116.8,-79.24,41069.8,-66.18
198,qqq_sma_cash; SMA200; exit below SMA-1%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,200,1.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,6565.72,30.23,-32.5,0.93,1.07,-19.04,-19.04,17.62,0.412,0.0,98,0,775116.8,-79.24,41069.8,-66.18
199,selected_and_qqq_cash; SMA150; exit below SMA-5%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,selected_and_qqq_cash,150,5.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,2025.71,21.19,-32.52,0.652,0.87,-11.3,-11.3,30.8,0.346,0.0,88,0,775116.8,-79.24,41069.8,-66.18
200,qqq_sma_cash; SMA150; exit below SMA-0%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,150,0.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,1780.14,20.26,-32.59,0.622,0.85,-11.3,-11.3,33.38,0.333,0.0,93,0,775116.8,-79.24,41069.8,-66.18
