Variant,StockCondition,MarketCondition,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma200,stock_close_gt_sma20_sma20_gt_sma50,market_spx_close_gt_sma200,72.39,5.6,-17.62,0.504,57,57.89,61.39,7.76,-12.61,0.679,37,54.05,False
stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50_sma50_rising,market_spx_close_gt_sma200_sma200_rising,71.22,5.53,-20.49,0.511,54,55.56,54.85,7.07,-10.48,0.689,32,53.12,False
stock_close_gt_sma20_sma20_gt_sma50__market_spx_sma50_gt_sma200,stock_close_gt_sma20_sma20_gt_sma50,market_spx_sma50_gt_sma200,71.01,5.52,-16.94,0.519,54,57.41,62.86,7.91,-17.81,0.727,33,57.58,False
stock_close_gt_sma50_rs63_gt_spx__market_none,stock_close_gt_sma50_rs63_gt_spx,market_none,69.97,5.45,-17.43,0.493,58,58.62,75.67,9.2,-12.72,0.789,40,52.5,False
stock_close_gt_sma200_sma200_rising__market_spx_sma200_rising,stock_close_gt_sma200_sma200_rising,market_spx_sma200_rising,69.92,5.45,-23.39,0.502,55,56.36,38.07,5.17,-17.0,0.531,33,48.48,False
stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma200_sma200_rising,market_spx_close_gt_sma50_sma50_gt_sma200,69.75,5.44,-18.47,0.554,47,57.45,52.97,6.86,-13.95,0.718,29,55.17,False
stock_none__market_none,stock_none,market_none,68.84,5.38,-18.14,0.484,61,55.74,48.38,6.36,-15.73,0.556,44,47.73,False
stock_close_gt_sma50__market_none,stock_close_gt_sma50,market_none,68.84,5.38,-18.14,0.484,61,55.74,53.55,6.93,-14.84,0.603,43,48.84,False
stock_close_gt_sma200__market_none,stock_close_gt_sma200,market_none,68.84,5.38,-18.14,0.484,61,55.74,48.38,6.36,-15.73,0.556,44,47.73,False
stock_close_gt_sma20_sma20_gt_sma50__market_spx_sma200_rising,stock_close_gt_sma20_sma20_gt_sma50,market_spx_sma200_rising,65.6,5.18,-20.63,0.481,54,57.41,63.25,7.95,-12.61,0.725,34,55.88,False
stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma200,stock_close_gt_sma200_sma200_rising,market_spx_close_gt_sma200,65.05,5.14,-18.14,0.469,58,55.17,39.93,5.39,-15.37,0.53,36,47.22,False
stock_close_gt_sma50_rs63_gt_spx__market_spx_sma50_gt_sma200,stock_close_gt_sma50_rs63_gt_spx,market_spx_sma50_gt_sma200,64.96,5.14,-16.67,0.488,54,57.41,67.41,8.38,-17.91,0.8,33,54.55,False
stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma20_sma20_gt_sma50,market_spx_close_gt_sma200_sma200_rising,64.87,5.13,-20.63,0.477,54,55.56,58.83,7.49,-12.61,0.69,34,55.88,False
stock_none__market_spx_sma50_gt_sma200,stock_none,market_spx_sma50_gt_sma200,63.86,5.07,-19.72,0.478,57,54.39,42.64,5.7,-20.75,0.547,37,48.65,False
stock_close_gt_sma50__market_spx_sma50_gt_sma200,stock_close_gt_sma50,market_spx_sma50_gt_sma200,63.86,5.07,-19.72,0.478,57,54.39,47.61,6.27,-17.99,0.6,36,50.0,False
stock_close_gt_sma200__market_spx_sma50_gt_sma200,stock_close_gt_sma200,market_spx_sma50_gt_sma200,63.86,5.07,-19.72,0.478,57,54.39,42.64,5.7,-20.75,0.547,37,48.65,False
stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma200_sma200_rising,market_spx_close_gt_sma200_sma200_rising,62.2,4.96,-23.39,0.466,54,53.7,41.73,5.6,-14.84,0.578,32,50.0,False
stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma200,stock_close_gt_sma50_sma50_gt_sma200,market_spx_close_gt_sma200,61.73,4.93,-18.14,0.451,60,55.0,45.23,6.0,-15.37,0.548,40,47.5,False
stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma200,stock_close_gt_sma200_sma50_gt_sma200,market_spx_close_gt_sma200,61.73,4.93,-18.14,0.451,60,55.0,40.34,5.43,-15.73,0.499,41,46.34,False
stock_close_gt_sma50_rs63_gt_spx__market_spx_sma200_rising,stock_close_gt_sma50_rs63_gt_spx,market_spx_sma200_rising,59.56,4.79,-20.49,0.451,54,57.41,62.2,7.84,-12.72,0.749,33,51.52,False
stock_close_gt_sma50_sma50_gt_sma200__market_spx_sma200_rising,stock_close_gt_sma50_sma50_gt_sma200,market_spx_sma200_rising,58.95,4.75,-23.39,0.453,56,55.36,51.18,6.67,-14.84,0.625,36,50.0,False
stock_close_gt_sma200_sma50_gt_sma200__market_spx_sma200_rising,stock_close_gt_sma200_sma50_gt_sma200,market_spx_sma200_rising,58.95,4.75,-23.39,0.453,56,55.36,46.09,6.1,-15.73,0.573,37,48.65,False
stock_none__market_spx_sma200_rising,stock_none,market_spx_sma200_rising,58.5,4.72,-23.39,0.442,57,54.39,46.09,6.1,-15.73,0.573,37,48.65,False
stock_close_gt_sma50__market_spx_sma200_rising,stock_close_gt_sma50,market_spx_sma200_rising,58.5,4.72,-23.39,0.442,57,54.39,51.18,6.67,-14.84,0.625,36,50.0,False
stock_close_gt_sma200__market_spx_sma200_rising,stock_close_gt_sma200,market_spx_sma200_rising,58.5,4.72,-23.39,0.442,57,54.39,46.09,6.1,-15.73,0.573,37,48.65,False
stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma200,stock_close_gt_sma50_rs63_gt_spx,market_spx_close_gt_sma200,54.98,4.48,-17.62,0.419,57,56.14,66.15,8.25,-12.72,0.74,37,51.35,False
stock_none__market_spx_close_gt_sma200,stock_none,market_spx_close_gt_sma200,53.96,4.41,-18.14,0.411,60,53.33,40.34,5.43,-15.73,0.499,41,46.34,False
stock_close_gt_sma50__market_spx_close_gt_sma200,stock_close_gt_sma50,market_spx_close_gt_sma200,53.96,4.41,-18.14,0.411,60,53.33,45.23,6.0,-15.37,0.548,40,47.5,False
stock_close_gt_sma200__market_spx_close_gt_sma200,stock_close_gt_sma200,market_spx_close_gt_sma200,53.96,4.41,-18.14,0.411,60,53.33,40.34,5.43,-15.73,0.499,41,46.34,False
stock_close_gt_sma200_sma200_rising__market_spx_sma50_gt_sma200,stock_close_gt_sma200_sma200_rising,market_spx_sma50_gt_sma200,52.58,4.32,-23.44,0.424,54,53.7,43.97,5.86,-17.0,0.589,34,50.0,False
stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50_rs63_gt_spx,market_spx_close_gt_sma200_sma200_rising,52.31,4.3,-20.49,0.414,53,54.72,57.81,7.38,-12.72,0.713,33,51.52,False
stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50_sma50_gt_sma200,market_spx_close_gt_sma200_sma200_rising,51.73,4.26,-23.39,0.416,55,52.73,47.09,6.21,-14.84,0.59,36,50.0,False
stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma200_sma50_gt_sma200,market_spx_close_gt_sma200_sma200_rising,51.73,4.26,-23.39,0.416,55,52.73,42.14,5.64,-15.73,0.538,37,48.65,False
stock_none__market_spx_close_gt_sma200_sma200_rising,stock_none,market_spx_close_gt_sma200_sma200_rising,51.3,4.23,-23.39,0.405,56,51.79,42.14,5.64,-15.73,0.538,37,48.65,False
stock_close_gt_sma50__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50,market_spx_close_gt_sma200_sma200_rising,51.3,4.23,-23.39,0.405,56,51.79,47.09,6.21,-14.84,0.59,36,50.0,False
stock_close_gt_sma200__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma200,market_spx_close_gt_sma200_sma200_rising,51.3,4.23,-23.39,0.405,56,51.79,42.14,5.64,-15.73,0.538,37,48.65,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_sma200_rising,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_sma200_rising,39.83,3.41,-21.75,0.39,44,56.82,32.01,4.43,-18.57,0.5,30,46.67,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_close_gt_sma50_sma50_gt_sma200,38.48,3.31,-18.93,0.4,37,59.46,33.21,4.58,-15.15,0.557,26,50.0,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma100,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_close_gt_sma100,34.22,2.99,-21.75,0.355,42,57.14,35.83,4.9,-14.38,0.537,31,48.39,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_close_gt_sma200_sma200_rising,34.07,2.98,-21.75,0.35,43,55.81,35.51,4.86,-14.38,0.552,29,48.28,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_none,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_none,30.55,2.71,-21.75,0.315,47,53.19,35.8,4.89,-18.57,0.51,35,48.57,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_sma50_gt_sma200,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_sma50_gt_sma200,29.33,2.61,-21.75,0.314,43,53.49,38.23,5.19,-18.57,0.574,30,50.0,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma200,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_close_gt_sma200,26.69,2.4,-21.75,0.289,45,53.33,35.51,4.86,-14.38,0.534,31,48.39,False
