Family,Variant,IS_TotalReturnPct,IS_Sharpe,IS_Trades,OOS_TotalReturnPct,OOS_Sharpe,OOS_Trades,IS_Return_vs_SP500_PctPts,IS_Sharpe_vs_SP500,OOS_Return_vs_SP500_PctPts,OOS_Sharpe_vs_SP500
ATR exits,tighter_3x_no_target_60d,81.76,0.613,56,44.23,0.584,37,-103.4,-0.172,-88.44,-0.163
ATR exits,wider_1.5x_target_60d,81.63,0.58,52,65.89,0.738,37,-103.53,-0.205,-66.78,-0.009
ATR exits,wider_1.5x_no_target_60d,81.63,0.58,52,54.24,0.643,36,-103.53,-0.205,-78.43,-0.104
ATR exits,wider_2x_target_60d,81.63,0.58,52,65.89,0.738,37,-103.53,-0.205,-66.78,-0.009
ATR exits,wider_2x_no_target_60d,81.63,0.58,52,54.24,0.643,36,-103.53,-0.205,-78.43,-0.104
ATR exits,wider_2.5x_target_60d,81.63,0.58,52,65.89,0.738,37,-103.53,-0.205,-66.78,-0.009
ATR exits,wider_2.5x_no_target_60d,81.63,0.58,52,54.24,0.643,36,-103.53,-0.205,-78.43,-0.104
ATR exits,atr_2.5x_target_60d,81.52,0.632,56,60.93,0.741,41,-103.64,-0.153,-71.74,-0.006
ATR exits,atr_2.5x_no_target_60d,81.52,0.632,56,49.65,0.639,40,-103.64,-0.153,-83.02,-0.108
ATR exits,tighter_2.5x_target_60d,81.52,0.632,56,60.93,0.741,41,-103.64,-0.153,-71.74,-0.006
ATR exits,tighter_2.5x_no_target_60d,81.52,0.632,56,49.65,0.639,40,-103.64,-0.153,-83.02,-0.108
ATR exits,tighter_3.5x_target_60d,81.16,0.599,56,71.48,0.806,38,-104.0,-0.186,-61.19,0.059
ATR exits,tighter_3.5x_no_target_60d,81.16,0.599,56,59.43,0.709,37,-104.0,-0.186,-73.24,-0.038
ATR exits,atr_1.5x_target_60d,80.03,0.673,62,52.33,0.745,44,-105.13,-0.112,-80.34,-0.002
ATR exits,atr_1.5x_no_target_60d,80.03,0.673,62,41.69,0.63,43,-105.13,-0.112,-90.98,-0.117
ATR exits,tighter_1.5x_target_60d,80.03,0.673,62,52.33,0.745,44,-105.13,-0.112,-80.34,-0.002
ATR exits,tighter_1.5x_no_target_60d,80.03,0.673,62,41.69,0.63,43,-105.13,-0.112,-90.98,-0.117
ATR exits,atr_3x_atrtrail_target_60d,58.92,0.707,70,13.76,0.316,53,-126.24,-0.078,-118.91,-0.431
ATR exits,atr_3x_atrtrail_no_target_60d,58.92,0.707,70,13.76,0.316,53,-126.24,-0.078,-118.91,-0.431
ATR exits,tighter_3x_atrtrail_target_60d,58.92,0.707,70,13.76,0.316,53,-126.24,-0.078,-118.91,-0.431
ATR exits,tighter_3x_atrtrail_no_target_60d,58.92,0.707,70,13.76,0.316,53,-126.24,-0.078,-118.91,-0.431
ATR exits,wider_3x_atrtrail_target_60d,58.92,0.707,70,13.64,0.314,53,-126.24,-0.078,-119.03,-0.433
ATR exits,wider_3x_atrtrail_no_target_60d,58.92,0.707,70,13.64,0.314,53,-126.24,-0.078,-119.03,-0.433
ATR exits,handle_3x_atrtrail_target_60d,58.92,0.707,70,13.64,0.314,53,-126.24,-0.078,-119.03,-0.433
ATR exits,atr_1.5x_atrtrail_target_60d,49.93,1.03,84,35.95,1.015,66,-135.23,0.245,-96.72,0.268
ATR exits,atr_1.5x_atrtrail_no_target_60d,49.93,1.03,84,35.95,1.015,66,-135.23,0.245,-96.72,0.268
ATR exits,tighter_1.5x_atrtrail_target_60d,49.93,1.03,84,35.95,1.015,66,-135.23,0.245,-96.72,0.268
ATR exits,tighter_1.5x_atrtrail_no_target_60d,49.93,1.03,84,35.95,1.015,66,-135.23,0.245,-96.72,0.268
ATR exits,wider_1.5x_atrtrail_target_60d,49.93,1.03,84,35.95,1.015,66,-135.23,0.245,-96.72,0.268
ATR exits,wider_1.5x_atrtrail_no_target_60d,49.93,1.03,84,35.95,1.015,66,-135.23,0.245,-96.72,0.268
ATR exits,atr_2.5x_atrtrail_target_60d,49.3,0.707,76,20.46,0.504,57,-135.86,-0.078,-112.21,-0.243
ATR exits,atr_2.5x_atrtrail_no_target_60d,49.3,0.707,76,20.46,0.504,57,-135.86,-0.078,-112.21,-0.243
ATR exits,tighter_2.5x_atrtrail_target_60d,49.3,0.707,76,20.46,0.504,57,-135.86,-0.078,-112.21,-0.243
ATR exits,tighter_2.5x_atrtrail_no_target_60d,49.3,0.707,76,20.46,0.504,57,-135.86,-0.078,-112.21,-0.243
ATR exits,wider_2.5x_atrtrail_target_60d,49.3,0.707,76,20.41,0.502,57,-135.86,-0.078,-112.26,-0.245
ATR exits,wider_2.5x_atrtrail_no_target_60d,49.3,0.707,76,20.41,0.502,57,-135.86,-0.078,-112.26,-0.245
ATR exits,atr_2x_atrtrail_target_60d,43.92,0.781,81,29.71,0.8,60,-141.24,-0.004,-102.96,0.053
ATR exits,atr_2x_atrtrail_no_target_60d,43.92,0.781,81,29.71,0.8,60,-141.24,-0.004,-102.96,0.053
ATR exits,tighter_2x_atrtrail_target_60d,43.92,0.781,81,29.71,0.8,60,-141.24,-0.004,-102.96,0.053
ATR exits,tighter_2x_atrtrail_no_target_60d,43.92,0.781,81,29.71,0.8,60,-141.24,-0.004,-102.96,0.053
ATR exits,wider_2x_atrtrail_target_60d,43.92,0.781,81,29.71,0.8,60,-141.24,-0.004,-102.96,0.053
ATR exits,wider_2x_atrtrail_no_target_60d,43.92,0.781,81,29.71,0.8,60,-141.24,-0.004,-102.96,0.053
ATR exits,handle_2x_atrtrail_target_60d,43.92,0.781,81,29.71,0.8,60,-141.24,-0.004,-102.96,0.053
ATR exits,atr_3.5x_atrtrail_target_60d,43.78,0.524,65,17.6,0.368,48,-141.38,-0.261,-115.07,-0.379
ATR exits,atr_3.5x_atrtrail_no_target_60d,43.78,0.524,65,17.6,0.368,48,-141.38,-0.261,-115.07,-0.379
ATR exits,tighter_3.5x_atrtrail_target_60d,43.78,0.524,65,17.6,0.368,48,-141.38,-0.261,-115.07,-0.379
ATR exits,tighter_3.5x_atrtrail_no_target_60d,43.78,0.524,65,17.6,0.368,48,-141.38,-0.261,-115.07,-0.379
ATR exits,wider_3.5x_atrtrail_target_60d,43.78,0.524,65,17.39,0.364,48,-141.38,-0.261,-115.28,-0.383
ATR exits,wider_3.5x_atrtrail_no_target_60d,43.78,0.524,65,17.39,0.364,48,-141.38,-0.261,-115.28,-0.383
Entry window 3-10 days,3 trading days,86.75,0.621,56,57.93,0.695,37,-98.41,-0.164,-74.74,-0.052
Entry window 3-10 days,4 trading days,131.03,0.719,70,61.14,0.676,42,-54.13,-0.066,-71.53,-0.071
Entry window 3-10 days,5 trading days,152.73,0.789,72,97.46,0.877,47,-32.43,0.004,-35.21,0.13
Entry window 3-10 days,6 trading days,241.24,1.032,72,84.53,0.775,49,56.08,0.247,-48.14,0.028
Entry window 3-10 days,7 trading days,256.61,1.051,74,87.04,0.796,50,71.45,0.266,-45.63,0.049
Entry window 3-10 days,8 trading days,284.44,1.159,71,98.21,0.859,51,99.28,0.374,-34.46,0.112
Entry window 3-10 days,9 trading days,230.22,1.05,72,102.21,0.831,55,45.06,0.265,-30.46,0.084
Entry window 3-10 days,10 trading days,192.81,0.921,71,97.19,0.868,49,7.65,0.136,-35.48,0.121
