Variant,StockCondition,MarketCondition,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma200,stock_close_gt_sma50_sma50_rising,market_spx_close_gt_sma200,206.54,11.87,-20.18,0.813,71,53.52,145.81,15.08,-14.37,1.058,49,51.02,True
stock_close_gt_sma50_sma50_rising__market_spx_sma200_rising,stock_close_gt_sma50_sma50_rising,market_spx_sma200_rising,202.65,11.73,-17.42,0.827,67,53.73,114.27,12.64,-16.44,0.888,51,47.06,True
stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50_sma50_rising,market_spx_close_gt_sma200_sma200_rising,199.35,11.6,-17.42,0.82,67,53.73,146.57,15.13,-14.37,1.067,47,51.06,True
stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma100,stock_close_gt_sma200_sma200_rising,market_spx_close_gt_sma100,199.09,11.59,-18.5,0.85,61,52.46,90.81,10.62,-14.37,0.787,46,45.65,True
stock_none__market_spx_close_gt_sma50_sma50_gt_sma200,stock_none,market_spx_close_gt_sma50_sma50_gt_sma200,197.01,11.52,-17.97,0.852,61,52.46,159.65,16.07,-14.37,1.092,47,55.32,True
stock_close_gt_sma50__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma50,market_spx_close_gt_sma50_sma50_gt_sma200,197.01,11.52,-17.97,0.852,61,52.46,159.65,16.07,-14.37,1.092,47,55.32,True
stock_close_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,stock_close_gt_sma200,market_spx_close_gt_sma50_sma50_gt_sma200,197.01,11.52,-17.97,0.852,61,52.46,159.65,16.07,-14.37,1.092,47,55.32,True
stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma200,stock_close_gt_sma200_sma200_rising,market_spx_close_gt_sma200,194.67,11.43,-18.5,0.842,61,52.46,74.62,9.1,-14.37,0.691,44,45.45,True
stock_close_gt_sma200_sma200_rising__market_none,stock_close_gt_sma200_sma200_rising,market_none,186.16,11.1,-17.42,0.809,65,50.77,110.26,12.31,-16.71,0.789,53,50.94,True
stock_close_gt_sma50_rs63_gt_spx__market_spx_sma50_gt_sma200,stock_close_gt_sma50_rs63_gt_spx,market_spx_sma50_gt_sma200,177.17,10.75,-16.81,0.789,67,50.75,104.03,11.78,-14.37,0.814,52,48.08,False
stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma100,stock_close_gt_sma20_sma20_gt_sma50,market_spx_close_gt_sma100,175.33,10.67,-24.08,0.756,68,52.94,119.43,13.06,-16.29,0.89,50,50.0,False
stock_close_gt_sma20_sma20_gt_sma50__market_none,stock_close_gt_sma20_sma20_gt_sma50,market_none,173.15,10.58,-22.01,0.743,72,51.39,130.21,13.91,-16.49,0.847,60,51.67,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_sma200_rising,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_sma200_rising,172.79,10.57,-17.36,1.072,34,52.94,69.25,8.56,-18.83,0.649,39,43.59,False
stock_close_gt_sma50_sma50_gt_sma150_gt_sma200__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50_sma50_gt_sma150_gt_sma200,market_spx_close_gt_sma200_sma200_rising,172.79,10.57,-17.36,1.072,34,52.94,69.25,8.56,-18.83,0.649,39,43.59,False
