Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2023-02-02,143125.4431912324,92475.94804258537,50649.49514864702,1,0
2023-02-03,143243.77522780042,92475.94804258537,50767.827185215036,1,0
2023-02-06,141153.1126644978,92475.94804258537,48677.16462191242,1,2
2023-02-07,141327.0323459112,92475.94804258537,48851.08430332581,1,2
2023-02-08,140568.59228280443,92475.94804258537,48092.644240219044,1,2
2023-02-09,139876.4665119936,92475.94804258537,47400.51846940825,1,0
2023-02-10,139872.89096284343,92475.94804258537,47396.94292025805,1,0
2023-02-13,140348.04359944013,92475.94804258537,47872.09555685477,1,2
2023-02-14,139930.26355797547,92475.94804258537,47454.3155153901,1,2
2023-02-15,140041.43319908937,92475.94804258537,47565.485156504,1,2
2023-02-16,139670.27933528714,92475.94804258537,47194.331292701776,1,0
2023-02-17,139661.31221952738,92475.94804258537,47185.36417694199,1,0
2023-02-21,139313.45873525843,92475.94804258537,46837.510692673066,1,2
2023-02-22,139390.5561607736,92475.94804258537,46914.60811818821,1,2
2023-02-23,139695.37031368396,92475.94804258537,47219.4222710986,1,2
2023-02-24,139508.90231878374,92475.94804258537,47032.95427619837,1,0
2023-02-27,139564.47301789856,92475.94804258537,47088.52497531318,1,2
2023-02-28,139611.1104927147,92475.94804258537,47135.16245012934,1,2
2023-03-01,139089.3373270324,92475.94804258537,46613.389284447025,1,2
2023-03-02,139469.45548230596,92475.94804258537,46993.507439720604,1,0
2023-03-03,141162.0713073923,92475.94804258537,48686.12326480693,1,0
2023-03-06,140421.54853007453,92475.94804258537,47945.60048748915,1,2
2023-03-07,139935.64100314293,92475.94804258537,47459.69296055754,1,2
2023-03-08,140097.02084393473,92475.94804258537,47621.07280134938,1,2
2023-03-09,140591.88701376086,92475.94804258537,48115.938971175485,1,0
2023-03-10,139935.64100314293,92475.94804258537,47459.69296055754,1,0
2023-03-13,140297.8333997622,92475.94804258537,47821.885357176834,1,2
2023-03-14,141907.9715298775,92475.94804258537,49432.02348729214,1,2
2023-03-15,141431.0339429941,92475.94804258537,48955.08590040875,1,2
2023-03-16,141821.909812891,92475.94804258537,49345.961770305636,1,0
2023-03-17,141683.84729736304,92475.94804258537,49207.89925477767,1,0
2023-03-20,142112.3822291626,92475.94804258537,49636.43418657723,1,2
2023-03-21,142343.67450570804,92475.94804258537,49867.72646312267,1,2
2023-03-22,141307.3188126818,92475.94804258537,48831.37077009643,1,2
2023-03-23,141655.16382408544,92475.94804258537,49179.215781500076,1,0
2023-03-24,142087.27995361207,92475.94804258537,49611.33191102669,1,0
2023-03-27,142341.88955542137,92475.94804258537,49865.941512836,1,2
2023-03-28,142216.38382624552,92475.94804258537,49740.435783660156,1,2
2023-03-29,142506.85059394027,92475.94804258537,50030.90255135489,1,2
2023-03-30,142943.71717660324,92475.94804258537,50467.76913401787,1,0
2023-03-31,143799.51611040963,92475.94804258537,51323.56806782426,1,0
2023-04-03,144175.25944290782,92475.94804258537,51699.31140032244,1,2
2023-04-04,144092.55862915097,144092.55862915097,0.0,0,3
2023-04-05,144092.55862915097,144092.55862915097,0.0,0,3
2023-04-06,144092.55862915097,144092.55862915097,0.0,0,0
2023-04-10,144092.55862915097,144092.55862915097,0.0,0,3
2023-04-11,143921.47602205156,96061.7057527673,47859.770269284265,1,2
2023-04-12,144060.68846527857,96061.7057527673,47998.982712511264,1,2
2023-04-13,144242.19810474524,96061.7057527673,48180.492351977955,1,0
2023-04-14,144231.6224293611,96061.7057527673,48169.916676593806,1,0
2023-04-17,143835.1309451515,96061.7057527673,47773.42519238419,1,2
2023-04-18,143896.812291848,96061.7057527673,47835.10653908072,1,2
2023-04-19,144168.19039824387,96061.7057527673,48106.48464547657,1,2
2023-04-20,143778.73468349857,96061.7057527673,47717.02893073126,1,0
2023-04-21,145616.71659746373,96061.7057527673,49555.01084469643,1,0
2023-04-24,146504.87513904343,96061.7057527673,50443.169386276124,1,2
2023-04-25,145754.1673456762,96061.7057527673,49692.46159290889,1,2
2023-04-26,145063.3902145848,96061.7057527673,49001.6844618175,1,2
2023-04-27,145833.48215840888,96061.7057527673,49771.776405641576,1,0
2023-04-28,146695.18774828588,96061.7057527673,50633.48199551859,1,0
2023-05-01,146258.1341630263,47358.32396948452,98899.81019354177,2,1
2023-05-02,143727.84582213577,46498.44235391956,97229.40346821622,2,1
2023-05-03,141969.68445779086,92943.33076047289,49026.353697317965,1,2
2023-05-04,141867.478620463,92943.33076047289,48924.14785999012,1,0
2023-05-05,141943.24802197894,92943.33076047289,48999.91726150604,1,0
2023-05-08,141893.9040456811,92943.33076047289,48950.57328520819,1,2
2023-05-09,141236.59911986592,92943.33076047289,48293.26835939304,1,2
2023-05-10,142027.8424144583,92943.33076047289,49084.51165398542,1,2
2023-05-11,141950.30581263092,92943.33076047289,49006.975052158035,1,0
2023-05-12,141557.32670785656,92943.33076047289,48613.99594738365,1,0
2023-05-15,141848.09997530308,92943.33076047289,48904.76921483019,1,2
2023-05-16,141504.47035212346,92943.33076047289,48561.13959165057,1,2
2023-05-17,141485.07519107277,92943.33076047289,48541.74443059989,1,2
2023-05-18,142179.38121749018,92943.33076047289,49236.05045701728,1,0
2023-05-19,142720.38124056425,92943.33076047289,49777.050480091355,1,0
2023-05-22,141763.50007752678,92943.33076047289,48820.169317053886,1,2
2023-05-23,140128.17364849968,92943.33076047289,47184.8428880268,1,2
2023-05-24,139444.8384905164,139444.8384905164,0.0,0,3
2023-05-25,139444.8384905164,139444.8384905164,0.0,0,0
2023-05-26,139444.8384905164,139444.8384905164,0.0,0,0
2023-05-30,140030.30453795305,92963.22566034427,47067.078877608794,1,2
2023-05-31,141000.16207324777,92963.22566034427,48036.93641290352,1,2
2023-06-01,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-02,137454.1263510017,137454.1263510017,0.0,0,0
2023-06-05,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-06,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-07,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-08,137454.1263510017,137454.1263510017,0.0,0,0
2023-06-09,137454.1263510017,137454.1263510017,0.0,0,0
2023-06-12,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-13,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-14,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-15,137454.1263510017,137454.1263510017,0.0,0,0
2023-06-16,137454.1263510017,137454.1263510017,0.0,0,0
2023-06-20,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-21,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-22,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-23,137454.1263510017,137454.1263510017,0.0,0,0
2023-06-26,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-27,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-28,137454.1263510017,137454.1263510017,0.0,0,3
2023-06-29,137454.1263510017,137454.1263510017,0.0,0,0
2023-06-30,137454.1263510017,137454.1263510017,0.0,0,0
2023-07-03,137454.1263510017,137454.1263510017,0.0,0,3
2023-07-05,137454.1263510017,137454.1263510017,0.0,0,3
2023-07-06,137454.1263510017,137454.1263510017,0.0,0,3
2023-07-07,137454.1263510017,137454.1263510017,0.0,0,0
2023-07-10,137454.1263510017,137454.1263510017,0.0,0,3
2023-07-11,138937.22069629695,45500.12324080528,93437.09745549168,2,1
2023-07-12,139261.31125641117,45500.12324080528,93761.18801560588,2,1
2023-07-13,138496.12449762612,45500.12324080528,92996.00125682085,2,0
2023-07-14,138533.1031040843,45500.12324080528,93032.97986327902,2,0
2023-07-17,138879.6591319654,45500.12324080528,93379.5358911601,2,1
2023-07-18,140450.16286149077,45500.12324080528,94950.03962068548,2,1
2023-07-19,139663.92154813997,45500.12324080528,94163.79830733468,2,1
2023-07-20,140143.08650565625,45500.12324080528,94642.96326485096,2,0
2023-07-21,138922.5555221812,45500.12324080528,93422.43228137592,2,0
2023-07-24,138858.6941193871,45500.12324080528,93358.57087858181,2,1
2023-07-25,139291.65129787807,0.0,139291.65129787807,3,0
2023-07-26,140274.83678480485,0.0,140274.83678480485,3,0
2023-07-27,138548.03636536407,44127.94075012362,94420.09561524044,2,0
2023-07-28,139719.65870500752,44127.94075012362,95591.7179548839,2,0
2023-07-31,140333.56584479238,44127.94075012362,96205.62509466877,2,1
2023-08-01,139653.58587535692,44127.94075012362,95525.6451252333,2,1
2023-08-02,137748.404043635,44127.94075012362,93620.46329351139,2,1
2023-08-03,136944.01149926698,44127.94075012362,92816.07074914337,2,0
2023-08-04,136175.50962191646,88571.08445691073,47604.42516500573,1,0
2023-08-07,136421.67715308315,88571.08445691073,47850.59269617242,1,2
